step_code,region,event_id,blocker_or_gate,status,blocking_reason,can_create_ground_reference,can_create_training_label,notes
v1uk,Recife,REC_2022_05_24_30,no_verified_observed_geometry,ACTIVE,,false,false,candidate coordinates are review candidates only | flags: evidence_count=0
v1uk,Recife,REC_2022_05_24_30,no_overlay,ACTIVE,,false,false,overlay not executed | flags: evidence_count=0
v1uk,Recife,REC_2022_05_24_30,no_supervisor_review,ACTIVE,,false,false,human review not completed | flags: evidence_count=1
v1uk,Recife,REC_2022_05_24_30,coordinate_absent_or_contextual,ACTIVE,,false,false,some rows are locality-only or contextual | flags: evidence_count=6672
v1uk,Recife,REC_2022_05_24_30,locality_only,ACTIVE,,false,false,locality cannot be converted to coordinates | flags: evidence_count=6672
v1uk,Recife,REC_2022_05_24_30,event_window_uncertainty,ACTIVE,,false,false,row dates parsed but not ground truth | flags: evidence_count=25668
v1uk,Recife,REC_2022_05_24_30,hazard_ambiguity,ACTIVE,,false,false,hazard terms need human review | flags: evidence_count=25668
v1uk,Recife,REC_2022_05_24_30,sensitive_data_redaction_required,ACTIVE,,false,false,row values are redacted | flags: evidence_count=25668
v1uk,Recife,REC_2022_05_24_30,label_forbidden,ACTIVE,,false,false,labels forbidden in v1uk | flags: evidence_count=0
v1ul,Recife,REC_2022_05_24_30,no_supervisor_review,ACTIVE,,false,false,v1ul blocks promotion before supervisor review and overlay execution | flags: evidence_count=6672
v1ul,Recife,REC_2022_05_24_30,no_overlay_executed,ACTIVE,,false,false,v1ul blocks promotion before supervisor review and overlay execution | flags: evidence_count=25668
v1ul,Recife,REC_2022_05_24_30,locality_only,ACTIVE,,false,false,v1ul blocks promotion before supervisor review and overlay execution | flags: evidence_count=6672
v1ul,Recife,REC_2022_05_24_30,no_coordinates,ACTIVE,,false,false,v1ul blocks promotion before supervisor review and overlay execution | flags: evidence_count=25668
v1ul,Recife,REC_2022_05_24_30,contextual_layer,INACTIVE,,false,false,v1ul blocks promotion before supervisor review and overlay execution | flags: evidence_count=0
v1ul,Recife,REC_2022_05_24_30,sensitive_review_required,ACTIVE,,false,false,v1ul blocks promotion before supervisor review and overlay execution | flags: evidence_count=25668
v1ul,Recife,REC_2022_05_24_30,schema_ambiguity,INACTIVE,,false,false,v1ul blocks promotion before supervisor review and overlay execution | flags: evidence_count=0
v1ul,Recife,REC_2022_05_24_30,event_window_uncertainty,ACTIVE,,false,false,v1ul blocks promotion before supervisor review and overlay execution | flags: evidence_count=14505
v1ul,Recife,REC_2022_05_24_30,hazard_ambiguity,ACTIVE,,false,false,v1ul blocks promotion before supervisor review and overlay execution | flags: evidence_count=12093
v1ul,Recife,REC_2022_05_24_30,label_forbidden,ACTIVE,,false,false,v1ul blocks promotion before supervisor review and overlay execution | flags: evidence_count=25668
v1um,Recife,REC_2022_05_24_30,locality_only_no_geometry,ACTIVE,,false,false,Revisao Humana locality-only sem overlay e sem promocao operacional. | flags: evidence_count=6672; ground_truth_operational=false; human_review_status=PREPARED_NOT_OPERATIONAL
v1um,Recife,REC_2022_05_24_30,no_coordinates,ACTIVE,,false,false,Revisao Humana locality-only sem overlay e sem promocao operacional. | flags: evidence_count=6672; ground_truth_operational=false; human_review_status=PREPARED_NOT_OPERATIONAL
v1um,Recife,REC_2022_05_24_30,no_overlay,ACTIVE,,false,false,Revisao Humana locality-only sem overlay e sem promocao operacional. | flags: evidence_count=6672; ground_truth_operational=false; human_review_status=PREPARED_NOT_OPERATIONAL
