risk_id,target_id,asset_id,patch_id,severity,risk_type,evidence,mitigation,blocks_next_step
MV2_DATA_01_RISK_00001,MV2_DATA_01_TGT_00001,92505e20b69dd028,CUR_00038,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00002,MV2_DATA_01_TGT_00001,92505e20b69dd028,CUR_00038,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00003,MV2_DATA_01_TGT_00001,92505e20b69dd028,CUR_00038,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00004,MV2_DATA_01_TGT_00002,a876d490e5812896,CUR_00249,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00005,MV2_DATA_01_TGT_00002,a876d490e5812896,CUR_00249,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00006,MV2_DATA_01_TGT_00002,a876d490e5812896,CUR_00249,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00007,MV2_DATA_01_TGT_00003,c61f82fb1021cbfb,CUR_00350,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00008,MV2_DATA_01_TGT_00003,c61f82fb1021cbfb,CUR_00350,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00009,MV2_DATA_01_TGT_00003,c61f82fb1021cbfb,CUR_00350,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00010,MV2_DATA_01_TGT_00004,31f6daa6af24b8c6,CUR_00357,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00011,MV2_DATA_01_TGT_00004,31f6daa6af24b8c6,CUR_00357,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00012,MV2_DATA_01_TGT_00004,31f6daa6af24b8c6,CUR_00357,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00013,MV2_DATA_01_TGT_00005,f3fa8cabe2db7f58,CUR_00367,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00014,MV2_DATA_01_TGT_00005,f3fa8cabe2db7f58,CUR_00367,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00015,MV2_DATA_01_TGT_00005,f3fa8cabe2db7f58,CUR_00367,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00016,MV2_DATA_01_TGT_00006,72334dc260eeeaf5,CUR_00402,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00017,MV2_DATA_01_TGT_00006,72334dc260eeeaf5,CUR_00402,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00018,MV2_DATA_01_TGT_00006,72334dc260eeeaf5,CUR_00402,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
