codigo_interno,nome_publico,finalidade,entradas_principais,saidas_principais,status_cientifico,executavel,somente_auditoria,depende_revisao_humana
v1fu,Manifesto de entrada DINOv2,Inventaria assets Sentinel candidatos para extração de embeddings,Lista de patches e assets locais,Manifesto CSV com inventário e QA,Concluído,Sim,Não,Não
v1fv,Preflight de assets locais,Verifica condições locais antes da extração de embeddings,Manifesto v1fu,Relatório de preflight e checks locais,Concluído,Sim,Não,Não
v1fw,Contrato de extração de embeddings,Define estrutura esperada da extração antes de executar,Preflight v1fv,Esqueleto de contrato de extração,Concluído,Sim,Não,Não
v1fx,Extração experimental de embeddings,Executa extração de 1–4 embeddings por região como ensaio,Assets locais GeoTIFF,Embeddings .npz locais (não publicados),Concluído,Local apenas,Não,Não
v1fz,Corpus balanceado de embeddings,Verifica equilíbrio do corpus entre regiões,Manifesto de embeddings,Relatório de balanceamento,Concluído,Sim,Não,Não
v1ge-v1gg,Trilha de revisão DINOv2,Gera pacote de revisão estrutural (similaridade k-NN PCA),Embeddings locais,Figuras e tabelas públicas de análise estrutural,Concluído,Local apenas,Não,Não
v1gh-v1gj,Proveniência longitudinal e prontidão,Audita rastreabilidade dos embeddings e estado de prontidão,Manifesto e embeddings,Relatório de proveniência e prontidão,Concluído,Sim,Não,Não
v1gk,Fechamento de reprodutibilidade DINOv2,Verifica que os resultados são reprodutíveis localmente,Embeddings e tabelas,Relatório de reprodutibilidade,Concluído,Local apenas,Não,Não
v1gp,Auditoria de prontidão para publicação,Verifica que os artefatos públicos estão prontos para entrega,outputs_public,Relatório de prontidão,Concluído,Sim,Sim,Não
v1gq,Linha de base multicritério de vulnerabilidade GIS,Cria matriz de vulnerabilidade física com dados GIS,Dados GIS locais,Tabela de vulnerabilidade,Concluído,Sim,Não,Não
v1gr,Auditoria de prontidão de uso do solo,Verifica disponibilidade e prontidão de dados de uso do solo,Dados GIS,Relatório de auditoria,Concluído,Sim,Sim,Não
v1gs,Habilitação de geometria de uso do solo,Ativa uso de geometrias de cobertura do solo,Camadas GIS locais,Registro de habilitação,Concluído,Sim,Não,Não
v1gt,Expansão de cobertura GIS,Estende análise GIS para áreas de cobertura adicional,Geometrias locais,Relatório de expansão,Concluído,Sim,Não,Não
v1gv,Matriz de cobertura de evidência externa,Mapeia disponibilidade de evidência por região e patch,Registries de evidência,Tabela de cobertura,Concluído,Sim,Sim,Não
v1if,Aquisição de vetores oficiais observados,Busca e audita vetores oficiais de eventos observados,Repositórios públicos SGB/CPRM,Registry de vetores auditados,Bloqueado — 0 vetores encontrados,Sim,Sim,Sim
v1ih,Descoberta de vetores em bases abertas,Valida candidatos de bases geoespaciais abertas,Bases abertas locais,Registry de descoberta,Bloqueado — 0 confirmados,Sim,Sim,Sim
v1ii,Mineração dirigida em repositórios oficiais,Audita repositórios oficiais com APIs para vetores de evento,APIs RIGeo/CKAN/GeoCuritiba,Registry de mineração,Bloqueado — 0 confirmados,Sim,Sim,Sim
v1hq,Referências observacionais candidatas,Organiza 9 eventos candidatos com G1–G3 documentados,Fontes locais adquiridas,Registry de referências candidatas,Em andamento,Sim,Sim,Sim
v1hr,Preflight de ligação evento-patch,Prepara estrutura para patch-linking sem executá-lo,Candidatos v1hq,Registry de preflight e dependências,Aguardando geometria,Sim,Sim,Sim
v1ib,Consolidação de referências observacionais,Classifica eventos por nível de evidência acumulada (L0–L6),Gates G1–G7 por evento,Registry de promoção graduada,PET_2022 em L5 / PET_2024 em L6,Sim,Sim,Sim
v1ic,Separação de fenômeno por localidade,Classifica fenômeno (inundação vs. deslizamento) por localidade,Fontes textuais locais,Registry de separação fenomenológica,Bloqueado em Petrópolis 2022,Sim,Sim,Sim
v2at,Vinculação evento-patch Recife,Registra vínculos entre eventos observados e patches Recife,Registry de eventos e patches,Registry de vínculos evento-patch,Concluído (metadata),Sim,Sim,Sim
v2au,Sobreposição de geometria de evento,Prepara sobreposição espacial evento-patch,Geometria de evento (ausente),Registry de sobreposição,Bloqueado por geometria ausente,Sim,Sim,Sim
v2av,Construção de limites de patch,Gera limites geométricos dos patches,Corpus de patches,Geometrias de limites de patch,Concluído,Sim,Não,Não
v2aw,Entrada de fonte geométrica,Organiza intake de fontes geométricas externas,Fontes geométricas externas,Registry de intake,Concluído,Sim,Sim,Sim
