blocker_id,blocker_code,description,blocks_17b,blocks_score_v7,blocks_training,review_only,trainable,ground_truth
S17C8_BLOCKER_001,candidate_patches_not_official,candidate grid remains review-only and outside official patch registry,true,true,true,true,false,false
S17C8_BLOCKER_002,candidate_patch_policy_missing,no accepted policy allows candidate patches to feed official score or 17B,true,true,true,true,false,false
S17C8_BLOCKER_003,qa_not_accepted,candidate links and evidence are not QA-accepted scientific features,true,true,true,true,false,false
S17C8_BLOCKER_004,sentinel2_spectral_missing,Sentinel-2 candidate-specific tiles were not extracted in 17C8,true,true,true,true,false,false
S17C8_BLOCKER_005,sar_runtime_missing,SAR runtime and post-event observational package remain outside this milestone,true,true,true,true,false,false
S17C8_BLOCKER_006,real_embedding_tile_missing,no real candidate tile exists for DINO/SatMAE embedding,true,true,true,true,false,false
S17C8_BLOCKER_007,score_policy_missing_for_candidate_grid,no score v7 policy exists for candidate grid use,true,true,true,true,false,false
S17C8_BLOCKER_008,p0_official_packages_missing,official P0 package remains unavailable for promotion,true,true,true,true,false,false
S17C8_BLOCKER_009,17b_blocked_until_official_patch_or_policy,17B remains blocked without official patch or explicit candidate policy,true,true,true,true,false,false
S17C8_BLOCKER_010,scientific_use_blocked_until_feature_policy,candidate feature use remains blocked until feature provenance policy is accepted,true,true,true,true,false,false
