decision_id,patch_id,gate_name,gate_passed,gate_status,required_condition,observed_value,severity,blocking_reason,recommended_action
PBD_6e3c9fb2ad65,CUR_00038,PATCH_BOUNDARY_GATE_01_PATCH_ID_EXISTS,true,PASS,typed patch_id present,CUR_00038,BLOCKING,,None
PBD_dcd994bae37e,CUR_00038,PATCH_BOUNDARY_GATE_02_SOURCE_METADATA_FOUND,false,FAIL,spatial source metadata found,none,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_cf59a10dd1af,CUR_00038,PATCH_BOUNDARY_GATE_03_CRS_EXISTS,false,FAIL,CRS present,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_37b5be315689,CUR_00038,PATCH_BOUNDARY_GATE_04_CRS_ACCEPTED,false,FAIL,CRS in accepted list,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_f0650137d708,CUR_00038,PATCH_BOUNDARY_GATE_05_BOUNDARY_METHOD_ALLOWED,false,FAIL,a build method is available/allowed,NONE,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_4326213ecf7c,CUR_00038,PATCH_BOUNDARY_GATE_06_GEOMETRY_VALID,false,FAIL,geometry parses to a valid polygon,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_414f3686f7b0,CUR_00038,PATCH_BOUNDARY_GATE_07_AREA_COMPUTABLE,false,FAIL,polygon area computable,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_1736621adcee,CUR_00038,PATCH_BOUNDARY_GATE_08_NOT_BUILT_FROM_UNVERIFIED_DEFAULT,true,PASS,boundary not fabricated from an unverified default size,not_default,GUARDRAIL,,None
PBD_b540dca1a51d,CUR_00038,PATCH_BOUNDARY_GATE_09_NO_EVENT_LABEL_CREATED,true,PASS,no event label / ground truth created,no_label_created,GUARDRAIL,,None
PBD_12863a6ed415,CUR_00038,PATCH_BOUNDARY_GATE_10_READY_FOR_V2AU_OVERLAY,false,PENDING,patch boundary ready for v2au overlay,false,INFO,,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_64ebd5257718,CUR_00249,PATCH_BOUNDARY_GATE_01_PATCH_ID_EXISTS,true,PASS,typed patch_id present,CUR_00249,BLOCKING,,None
PBD_b8f50a991939,CUR_00249,PATCH_BOUNDARY_GATE_02_SOURCE_METADATA_FOUND,false,FAIL,spatial source metadata found,none,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_1c87e5053d2a,CUR_00249,PATCH_BOUNDARY_GATE_03_CRS_EXISTS,false,FAIL,CRS present,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_5eb902527950,CUR_00249,PATCH_BOUNDARY_GATE_04_CRS_ACCEPTED,false,FAIL,CRS in accepted list,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_ba1d7c1a9e86,CUR_00249,PATCH_BOUNDARY_GATE_05_BOUNDARY_METHOD_ALLOWED,false,FAIL,a build method is available/allowed,NONE,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_614d541635ed,CUR_00249,PATCH_BOUNDARY_GATE_06_GEOMETRY_VALID,false,FAIL,geometry parses to a valid polygon,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_4da48553bd1b,CUR_00249,PATCH_BOUNDARY_GATE_07_AREA_COMPUTABLE,false,FAIL,polygon area computable,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_08a2af024cef,CUR_00249,PATCH_BOUNDARY_GATE_08_NOT_BUILT_FROM_UNVERIFIED_DEFAULT,true,PASS,boundary not fabricated from an unverified default size,not_default,GUARDRAIL,,None
PBD_3aaefecf97b9,CUR_00249,PATCH_BOUNDARY_GATE_09_NO_EVENT_LABEL_CREATED,true,PASS,no event label / ground truth created,no_label_created,GUARDRAIL,,None
PBD_1b263c6ae592,CUR_00249,PATCH_BOUNDARY_GATE_10_READY_FOR_V2AU_OVERLAY,false,PENDING,patch boundary ready for v2au overlay,false,INFO,,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_9c69532556c6,CUR_00350,PATCH_BOUNDARY_GATE_01_PATCH_ID_EXISTS,true,PASS,typed patch_id present,CUR_00350,BLOCKING,,None
PBD_c406c609db4b,CUR_00350,PATCH_BOUNDARY_GATE_02_SOURCE_METADATA_FOUND,false,FAIL,spatial source metadata found,none,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_ae08662e807f,CUR_00350,PATCH_BOUNDARY_GATE_03_CRS_EXISTS,false,FAIL,CRS present,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_e9839aa8a41c,CUR_00350,PATCH_BOUNDARY_GATE_04_CRS_ACCEPTED,false,FAIL,CRS in accepted list,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_9706607fd5ea,CUR_00350,PATCH_BOUNDARY_GATE_05_BOUNDARY_METHOD_ALLOWED,false,FAIL,a build method is available/allowed,NONE,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_37002de16006,CUR_00350,PATCH_BOUNDARY_GATE_06_GEOMETRY_VALID,false,FAIL,geometry parses to a valid polygon,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_e17dcf9131ca,CUR_00350,PATCH_BOUNDARY_GATE_07_AREA_COMPUTABLE,false,FAIL,polygon area computable,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_f3cc70f47c12,CUR_00350,PATCH_BOUNDARY_GATE_08_NOT_BUILT_FROM_UNVERIFIED_DEFAULT,true,PASS,boundary not fabricated from an unverified default size,not_default,GUARDRAIL,,None
PBD_3b8f56ea7a9f,CUR_00350,PATCH_BOUNDARY_GATE_09_NO_EVENT_LABEL_CREATED,true,PASS,no event label / ground truth created,no_label_created,GUARDRAIL,,None
PBD_d7fea015903c,CUR_00350,PATCH_BOUNDARY_GATE_10_READY_FOR_V2AU_OVERLAY,false,PENDING,patch boundary ready for v2au overlay,false,INFO,,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_4df879d09625,CUR_00357,PATCH_BOUNDARY_GATE_01_PATCH_ID_EXISTS,true,PASS,typed patch_id present,CUR_00357,BLOCKING,,None
PBD_97aae698fcdb,CUR_00357,PATCH_BOUNDARY_GATE_02_SOURCE_METADATA_FOUND,false,FAIL,spatial source metadata found,none,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_3d963d115218,CUR_00357,PATCH_BOUNDARY_GATE_03_CRS_EXISTS,false,FAIL,CRS present,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_5315fd2aa417,CUR_00357,PATCH_BOUNDARY_GATE_04_CRS_ACCEPTED,false,FAIL,CRS in accepted list,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
