agent_action_id,formal_request_id,action_mode,action_description,command_example,requires_user_confirmation,requires_env_opt_in,has_external_effect,allowed_by_default,expected_local_output,blocked_reason,review_only
S17C12_ACTION_00001,P0_COMPDEC_RECIFE_PKG_FR_REC_002,plan,Listar fila priorizada sem efeito externo.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py plan,false,false,false,true,nenhum_arquivo,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00002,P0_COMPDEC_RECIFE_PKG_FR_REC_002,prepare,Gerar pacote local copiavel para revisao humana.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py prepare --request-id P0_COMPDEC_RECIFE_PKG_FR_REC_002,false,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/packages,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00003,P0_COMPDEC_RECIFE_PKG_FR_REC_002,open-channel,Imprimir URL e instrucao do canal para acao humana.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py open-channel --request-id P0_COMPDEC_RECIFE_PKG_FR_REC_002,false,false,true,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00004,P0_COMPDEC_RECIFE_PKG_FR_REC_002,submit-assisted,Tentar fluxo assistido somente com opt-in completo; portais permanecem bloqueados para acao manual.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py submit-assisted --request-id P0_COMPDEC_RECIFE_PKG_FR_REC_002,true,true,true,false,local_runs/suscetibilidade/17c12_submission_orchestrator/attempts,external_action_blocked_by_default,true
S17C12_ACTION_00005,P0_COMPDEC_RECIFE_PKG_FR_REC_002,record-submission,"Registrar envio manual ja feito fora do agente, com evidencia literal informada pela pessoa.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py record-submission --request-id P0_COMPDEC_RECIFE_PKG_FR_REC_002,true,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/state/submission_records.csv,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00006,P0_COMPDEC_RECIFE_PKG_FR_REC_002,intake-response,"Registrar resposta recebida manualmente, calcular hash e gerar manifesto local.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py intake-response --request-id P0_COMPDEC_RECIFE_PKG_FR_REC_002,true,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/intake,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00007,P0_COMPDEC_RECIFE_PKG_FR_REC_002,status,Mostrar estado operacional atual sem efeito externo.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py status,false,false,false,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00008,P0_COMPDEC_RECIFE_PKG_FR_REC_002,audit,"Validar guardrails contra envio, protocolo, resposta e score inventados.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py audit,false,false,false,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00009,P0_DRM_RJ_PKG_FR_PET_001,plan,Listar fila priorizada sem efeito externo.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py plan,false,false,false,true,nenhum_arquivo,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00010,P0_DRM_RJ_PKG_FR_PET_001,prepare,Gerar pacote local copiavel para revisao humana.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py prepare --request-id P0_DRM_RJ_PKG_FR_PET_001,false,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/packages,not_blocked_local_or_instruction_only,true
