case_id,section_order,section_key,section_text,review_only,automated_review
CASE_PET_C3E253E01A,0,case_header,Caso CASE_PET_C3E253E01A | PET | FLOOD_LANDSLIDE | janela 2022-02-12 to 2022-02-20.,true,true
CASE_PET_C3E253E01A,1,evidence_summary,Externa: EXTERNAL_SOURCE_ABSENT_LOCAL; Patch: PATCH_LINK_ABSENT; Estado Protocolo C: PROTOCOL_C_BLOCKED_INSUFFICIENT_EVIDENCE.,true,true
CASE_PET_C3E253E01A,2,hydromet_summary,"Hidromet: HYDROMET_CONTEXT_AVAILABLE_REVIEW_ONLY — contexto, não validação.",true,true
CASE_PET_C3E253E01A,3,dino_limitation,"DINO: DINO_NOT_PRESENT_CONTEXT_ONLY — representação review-only, nunca prova.",true,true
CASE_PET_C3E253E01A,4,reviewer_a_decision,"Reviewer A (conservador): AUTOMATED_REVIEW_NEEDS_SPATIAL_PRECISION (conf 0.33, overclaim MODERATE).",true,true
CASE_PET_C3E253E01A,5,reviewer_b_decision,"Reviewer B (integrador): AUTOMATED_REVIEW_VALIDATED_FOR_REVIEW_ONLY_USE (conf 0.50, overclaim LOW).",true,true
CASE_PET_C3E253E01A,6,consensus_divergence,Consenso: AUTOMATED_DIVERGENCE_REQUIRES_SUPERVISOR_ADJUDICATION (divergência VALIDATION_THRESHOLD_DISAGREEMENT).,true,true
CASE_PET_C3E253E01A,7,supervisor_adjudication,Supervisor automatizado: AUTOMATED_SUPERVISOR_VALIDATED_FOR_REVIEW_ONLY_USE (final review-only true; validação operacional false).,true,true
CASE_PET_C3E253E01A,8,blockers,Blockers: NO_EXTERNAL_OBSERVATIONAL_SOURCE;NO_PATCH_LINK.,true,true
CASE_PET_C3E253E01A,9,next_action,Próxima ação: COLLECT_EXTERNAL_OBSERVATIONAL_SOURCE_FOR_OPERATIONAL_CLAIM.,true,true
CASE_PET_C3E253E01A,10,claim_safety_status,"REVIEW_ONLY_SAFE: sem C3 automático, sem C4, sem ground truth, sem label/target/negativo formal; fonte externa exigida p/ operacional.",true,true
CASE_PET_C3E253E01A,11,tcc_ready_summary,"Pronto para discussão no TCC: true (uso review-only, não operacional).",true,true
CASE_PET_A96F79E34C,0,case_header,Caso CASE_PET_A96F79E34C | PET | FLOOD_LANDSLIDE | janela 2022-02-13 to 2022-02-21.,true,true
CASE_PET_A96F79E34C,1,evidence_summary,Externa: EXTERNAL_SOURCE_ABSENT_LOCAL; Patch: PATCH_LINK_ABSENT; Estado Protocolo C: PROTOCOL_C_BLOCKED_INSUFFICIENT_EVIDENCE.,true,true
CASE_PET_A96F79E34C,2,hydromet_summary,"Hidromet: HYDROMET_CONTEXT_AVAILABLE_REVIEW_ONLY — contexto, não validação.",true,true
CASE_PET_A96F79E34C,3,dino_limitation,"DINO: DINO_NOT_PRESENT_CONTEXT_ONLY — representação review-only, nunca prova.",true,true
CASE_PET_A96F79E34C,4,reviewer_a_decision,"Reviewer A (conservador): AUTOMATED_REVIEW_NEEDS_SPATIAL_PRECISION (conf 0.33, overclaim MODERATE).",true,true
CASE_PET_A96F79E34C,5,reviewer_b_decision,"Reviewer B (integrador): AUTOMATED_REVIEW_VALIDATED_FOR_REVIEW_ONLY_USE (conf 0.50, overclaim LOW).",true,true
CASE_PET_A96F79E34C,6,consensus_divergence,Consenso: AUTOMATED_DIVERGENCE_REQUIRES_SUPERVISOR_ADJUDICATION (divergência VALIDATION_THRESHOLD_DISAGREEMENT).,true,true
CASE_PET_A96F79E34C,7,supervisor_adjudication,Supervisor automatizado: AUTOMATED_SUPERVISOR_VALIDATED_FOR_REVIEW_ONLY_USE (final review-only true; validação operacional false).,true,true
CASE_PET_A96F79E34C,8,blockers,Blockers: NO_EXTERNAL_OBSERVATIONAL_SOURCE;NO_PATCH_LINK.,true,true
CASE_PET_A96F79E34C,9,next_action,Próxima ação: COLLECT_EXTERNAL_OBSERVATIONAL_SOURCE_FOR_OPERATIONAL_CLAIM.,true,true
CASE_PET_A96F79E34C,10,claim_safety_status,"REVIEW_ONLY_SAFE: sem C3 automático, sem C4, sem ground truth, sem label/target/negativo formal; fonte externa exigida p/ operacional.",true,true
CASE_PET_A96F79E34C,11,tcc_ready_summary,"Pronto para discussão no TCC: true (uso review-only, não operacional).",true,true
CASE_PET_85AA83E768,0,case_header,Caso CASE_PET_85AA83E768 | PET | FLOOD_LANDSLIDE | janela 2022-02-15 to 2022-02-23.,true,true
CASE_PET_85AA83E768,1,evidence_summary,Externa: EXTERNAL_SOURCE_ABSENT_LOCAL; Patch: PATCH_LINK_ABSENT; Estado Protocolo C: PROTOCOL_C_BLOCKED_INSUFFICIENT_EVIDENCE.,true,true
CASE_PET_85AA83E768,2,hydromet_summary,"Hidromet: HYDROMET_CONTEXT_AVAILABLE_REVIEW_ONLY — contexto, não validação.",true,true
CASE_PET_85AA83E768,3,dino_limitation,"DINO: DINO_NOT_PRESENT_CONTEXT_ONLY — representação review-only, nunca prova.",true,true
CASE_PET_85AA83E768,4,reviewer_a_decision,"Reviewer A (conservador): AUTOMATED_REVIEW_NEEDS_SPATIAL_PRECISION (conf 0.33, overclaim MODERATE).",true,true
CASE_PET_85AA83E768,5,reviewer_b_decision,"Reviewer B (integrador): AUTOMATED_REVIEW_VALIDATED_FOR_REVIEW_ONLY_USE (conf 0.50, overclaim LOW).",true,true
CASE_PET_85AA83E768,6,consensus_divergence,Consenso: AUTOMATED_DIVERGENCE_REQUIRES_SUPERVISOR_ADJUDICATION (divergência VALIDATION_THRESHOLD_DISAGREEMENT).,true,true
CASE_PET_85AA83E768,7,supervisor_adjudication,Supervisor automatizado: AUTOMATED_SUPERVISOR_VALIDATED_FOR_REVIEW_ONLY_USE (final review-only true; validação operacional false).,true,true
CASE_PET_85AA83E768,8,blockers,Blockers: NO_EXTERNAL_OBSERVATIONAL_SOURCE;NO_PATCH_LINK.,true,true
CASE_PET_85AA83E768,9,next_action,Próxima ação: COLLECT_EXTERNAL_OBSERVATIONAL_SOURCE_FOR_OPERATIONAL_CLAIM.,true,true
CASE_PET_85AA83E768,10,claim_safety_status,"REVIEW_ONLY_SAFE: sem C3 automático, sem C4, sem ground truth, sem label/target/negativo formal; fonte externa exigida p/ operacional.",true,true
CASE_PET_85AA83E768,11,tcc_ready_summary,"Pronto para discussão no TCC: true (uso review-only, não operacional).",true,true
CASE_PET_3BB6F6D1E4,0,case_header,Caso CASE_PET_3BB6F6D1E4 | PET | FLOOD_LANDSLIDE | janela 2022-02-21 to 2022-03-01.,true,true
CASE_PET_3BB6F6D1E4,1,evidence_summary,Externa: EXTERNAL_SOURCE_ABSENT_LOCAL; Patch: PATCH_LINK_ABSENT; Estado Protocolo C: PROTOCOL_C_BLOCKED_INSUFFICIENT_EVIDENCE.,true,true
CASE_PET_3BB6F6D1E4,2,hydromet_summary,"Hidromet: HYDROMET_CONTEXT_AVAILABLE_REVIEW_ONLY — contexto, não validação.",true,true
CASE_PET_3BB6F6D1E4,3,dino_limitation,"DINO: DINO_NOT_PRESENT_CONTEXT_ONLY — representação review-only, nunca prova.",true,true
CASE_PET_3BB6F6D1E4,4,reviewer_a_decision,"Reviewer A (conservador): AUTOMATED_REVIEW_NEEDS_SPATIAL_PRECISION (conf 0.33, overclaim MODERATE).",true,true
CASE_PET_3BB6F6D1E4,5,reviewer_b_decision,"Reviewer B (integrador): AUTOMATED_REVIEW_VALIDATED_FOR_REVIEW_ONLY_USE (conf 0.50, overclaim LOW).",true,true
CASE_PET_3BB6F6D1E4,6,consensus_divergence,Consenso: AUTOMATED_DIVERGENCE_REQUIRES_SUPERVISOR_ADJUDICATION (divergência VALIDATION_THRESHOLD_DISAGREEMENT).,true,true
CASE_PET_3BB6F6D1E4,7,supervisor_adjudication,Supervisor automatizado: AUTOMATED_SUPERVISOR_VALIDATED_FOR_REVIEW_ONLY_USE (final review-only true; validação operacional false).,true,true
CASE_PET_3BB6F6D1E4,8,blockers,Blockers: NO_EXTERNAL_OBSERVATIONAL_SOURCE;NO_PATCH_LINK.,true,true
CASE_PET_3BB6F6D1E4,9,next_action,Próxima ação: COLLECT_EXTERNAL_OBSERVATIONAL_SOURCE_FOR_OPERATIONAL_CLAIM.,true,true
CASE_PET_3BB6F6D1E4,10,claim_safety_status,"REVIEW_ONLY_SAFE: sem C3 automático, sem C4, sem ground truth, sem label/target/negativo formal; fonte externa exigida p/ operacional.",true,true
CASE_PET_3BB6F6D1E4,11,tcc_ready_summary,"Pronto para discussão no TCC: true (uso review-only, não operacional).",true,true
CASE_PET_7BE58263D6,0,case_header,Caso CASE_PET_7BE58263D6 | PET | FLOOD_LANDSLIDE | janela 2022-02-16 to 2022-02-24.,true,true
CASE_PET_7BE58263D6,1,evidence_summary,Externa: EXTERNAL_SOURCE_ABSENT_LOCAL; Patch: PATCH_LINK_ABSENT; Estado Protocolo C: PROTOCOL_C_BLOCKED_INSUFFICIENT_EVIDENCE.,true,true
CASE_PET_7BE58263D6,2,hydromet_summary,"Hidromet: HYDROMET_CONTEXT_AVAILABLE_REVIEW_ONLY — contexto, não validação.",true,true
CASE_PET_7BE58263D6,3,dino_limitation,"DINO: DINO_NOT_PRESENT_CONTEXT_ONLY — representação review-only, nunca prova.",true,true
CASE_PET_7BE58263D6,4,reviewer_a_decision,"Reviewer A (conservador): AUTOMATED_REVIEW_NEEDS_SPATIAL_PRECISION (conf 0.33, overclaim MODERATE).",true,true
CASE_PET_7BE58263D6,5,reviewer_b_decision,"Reviewer B (integrador): AUTOMATED_REVIEW_VALIDATED_FOR_REVIEW_ONLY_USE (conf 0.50, overclaim LOW).",true,true
CASE_PET_7BE58263D6,6,consensus_divergence,Consenso: AUTOMATED_DIVERGENCE_REQUIRES_SUPERVISOR_ADJUDICATION (divergência VALIDATION_THRESHOLD_DISAGREEMENT).,true,true
CASE_PET_7BE58263D6,7,supervisor_adjudication,Supervisor automatizado: AUTOMATED_SUPERVISOR_VALIDATED_FOR_REVIEW_ONLY_USE (final review-only true; validação operacional false).,true,true
CASE_PET_7BE58263D6,8,blockers,Blockers: NO_EXTERNAL_OBSERVATIONAL_SOURCE;NO_PATCH_LINK.,true,true
CASE_PET_7BE58263D6,9,next_action,Próxima ação: COLLECT_EXTERNAL_OBSERVATIONAL_SOURCE_FOR_OPERATIONAL_CLAIM.,true,true
CASE_PET_7BE58263D6,10,claim_safety_status,"REVIEW_ONLY_SAFE: sem C3 automático, sem C4, sem ground truth, sem label/target/negativo formal; fonte externa exigida p/ operacional.",true,true
