handoff_id,sentinel1_target_id,checklist_group,handoff_status,reason_pt,unblockable_after_visualization,depends_on_footprint,depends_on_qa_human,future_decision_possible_pt,accepted_future_is_review_only,current_qa_status,review_only
HO_00001,S1_0547,decisao,depende_de_qa_humano,decisao final exige QA humano,false,false,true,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00002,S1_0547,espacialidade,desbloqueavel_apos_visualizacao,overlay AOI/patch permite conferir relacao espacial,true,false,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00003,S1_0547,exclusoes,depende_de_footprint,exige footprint e mascaras futuras,false,true,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00004,S1_0547,fenomeno,desbloqueavel_apos_visualizacao,visualizacao ajuda a confirmar inundacao vs outro fenomeno,true,false,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00005,S1_0547,fonte,ja_disponivel,fonte/autoridade ja registrada,false,false,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00006,S1_0547,footprint_futuro,depende_de_footprint,exige footprint SAR pos-evento futuro,false,true,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00007,S1_0547,incerteza,depende_de_footprint,incerteza depende do footprint futuro,false,true,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00008,S1_0547,leakage,depende_de_qa_humano,auditoria de leakage exige revisao humana,false,false,true,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00009,S1_0547,temporalidade,desbloqueavel_apos_visualizacao,datas e janelas ja conhecidas; visualizacao confirma,true,false,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00010,S1_0548,decisao,depende_de_qa_humano,decisao final exige QA humano,false,false,true,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00011,S1_0548,espacialidade,desbloqueavel_apos_visualizacao,overlay AOI/patch permite conferir relacao espacial,true,false,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
