sar_plan_id,sar_target_id,step_order,action_pt,expected_artifact_pt,success_criteria_pt,fail_closed_outcome_pt,requires_network_future,requires_sentinel1_future,requires_dem_or_hand_future,requires_permanent_water_mask_future,requires_manual_qa_future,can_be_automated_future,no_execution_now
SPL_00001,SAR_0001,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00002,SAR_0002,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00003,SAR_0003,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00004,SAR_0004,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00005,SAR_0005,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00006,SAR_0006,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00007,SAR_0007,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00008,SAR_0008,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00009,SAR_0009,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00010,SAR_0010,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00011,SAR_0011,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00012,SAR_0012,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00013,SAR_0013,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00014,SAR_0014,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00015,SAR_0015,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00016,SAR_0016,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00017,SAR_0017,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00018,SAR_0018,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00019,SAR_0019,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00020,SAR_0020,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00021,SAR_0021,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00022,SAR_0022,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00023,SAR_0023,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00024,SAR_0024,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00025,SAR_0025,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00026,SAR_0026,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00027,SAR_0027,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00028,SAR_0028,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00029,SAR_0029,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00030,SAR_0030,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00031,SAR_0031,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00032,SAR_0032,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00033,SAR_0033,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00034,SAR_0034,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00035,SAR_0035,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00036,SAR_0036,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00037,SAR_0037,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00038,SAR_0038,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00039,SAR_0039,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00040,SAR_0040,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00041,SAR_0041,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00042,SAR_0042,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00043,SAR_0043,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00044,SAR_0044,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00045,SAR_0045,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00046,SAR_0046,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00047,SAR_0047,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00048,SAR_0048,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
SPL_00049,SAR_0049,1,sem plano SAR neste marco; resolver bloqueio antes de preparar canario,nenhum artefato SAR neste marco,bloqueio resolvido em marco futuro,"permanece review-only, sem SAR e sem promocao",false,false,false,false,false,false,true
