acquisition_id,region,target_source_name,source_family,institution_or_provider,acquisition_status,access_mode,request_required,request_status,source_reference,expected_event_link,expected_gate_closure,expected_artifact_type,raw_data_expected,local_only_required,public_metadata_allowed,license_status,redistribution_status,privacy_or_sensitivity_status,current_blocker,next_action,forbidden_use,notes
ACQ_REC_DC_001,RECIFE,Defesa Civil Municipal - Relatório 2021,CIVIL_DEFENSE_RECORD,COMPDEC Recife,IDENTIFIED,FORMAL_REQUEST,true,NOT_STARTED,,EVT_REC_2021_FLOOD,G1_EVENT_CONFIRMATION;G2_SOURCE_AVAILABILITY;G3_TEMPORAL_ALIGNMENT;G4_SPATIAL_ALIGNMENT;G8_INDEPENDENT_CORROBORATION,Event map polygon; affected areas list,false,true,true,UNKNOWN,UNKNOWN,POSSIBLE_SENSITIVE_INFRASTRUCTURE,LICENSE_UNKNOWN,"Contact COMPDEC Recife; request event maps for 2021 flood; clarify license for academic use","OPERATIONAL_GROUND_TRUTH_DECLARATION,SUPERVISED_TRAINING,FLOOD_LABEL_CREATION,FLOOD_DETECTION_SOLO,FLOOD_PREDICTION",Priority HIGH; formal request required; no data received; license must be clarified before any use
ACQ_REC_DC_002,RECIFE,Defesa Civil Municipal - Relatório 2022,CIVIL_DEFENSE_RECORD,COMPDEC Recife,IDENTIFIED,FORMAL_REQUEST,true,NOT_STARTED,,EVT_REC_2022_FLOOD,G1_EVENT_CONFIRMATION;G2_SOURCE_AVAILABILITY;G3_TEMPORAL_ALIGNMENT;G4_SPATIAL_ALIGNMENT;G8_INDEPENDENT_CORROBORATION,Event map polygon; affected areas list,false,true,true,UNKNOWN,UNKNOWN,POSSIBLE_SENSITIVE_INFRASTRUCTURE,LICENSE_UNKNOWN,"Contact COMPDEC Recife; request event maps for 2022 events; clarify license for academic use","OPERATIONAL_GROUND_TRUTH_DECLARATION,SUPERVISED_TRAINING,FLOOD_LABEL_CREATION,FLOOD_DETECTION_SOLO,FLOOD_PREDICTION",Priority HIGH; same institution as 2021; can be bundled in same request
ACQ_REC_PE3D_001,RECIFE,PE3D - Plataforma de Dados Geoespaciais de Pernambuco,MUNICIPAL_GIS_LAYER,Secretaria de Gestão da Cidade - PE,IDENTIFIED,PUBLIC_PORTAL_REVIEW,false,NOT_APPLICABLE,,NOT_EVENT_SPECIFIC,G2_SOURCE_AVAILABILITY;G4_SPATIAL_ALIGNMENT;G5_SOURCE_STRENGTH,Drainage network; hidrography; topography layers,false,false,true,UNKNOWN,UNKNOWN,NONE_IDENTIFIED,LICENSE_UNKNOWN,"Navigate PE3D portal; check license terms; if public reuse allowed, download drenagem and hidrografia layers; document CRS","OPERATIONAL_GROUND_TRUTH_DECLARATION,SUPERVISED_TRAINING,FLOOD_LABEL_CREATION,FLOOD_DETECTION_SOLO",Priority MEDIUM; baseline spatial context; not event-specific; license expected to be public but must be confirmed
ACQ_REC_CPRM_001,RECIFE,CPRM - Post-event geological assessment (2021 or 2022),OFFICIAL_OBSERVED_FLOOD_MAP,Serviço Geológico do Brasil (CPRM),IDENTIFIED,PUBLIC_PORTAL_REVIEW,false,NOT_APPLICABLE,,EVT_REC_2021_FLOOD,G1_EVENT_CONFIRMATION;G2_SOURCE_AVAILABILITY;G5_SOURCE_STRENGTH;G6_UNCERTAINTY_AND_LIMITATIONS;G8_INDEPENDENT_CORROBORATION,Post-event geological report with maps,false,false,true,UNKNOWN,UNKNOWN,NONE_IDENTIFIED,LICENSE_UNKNOWN,"Search CPRM portal (rigeo.cprm.gov.br) for 2021/2022 Recife event reports; check license; document methodology","OPERATIONAL_GROUND_TRUTH_DECLARATION,SUPERVISED_TRAINING,FLOOD_LABEL_CREATION",Priority HIGH; CPRM reports typically public access; must confirm license
ACQ_REC_SENT2_001,RECIFE,Sentinel-2 L2A post-event (2021 event),SENTINEL_EVENT_IMAGE,ESA/Copernicus,NOT_STARTED,PUBLIC_DOWNLOAD,false,NOT_APPLICABLE,,EVT_REC_2021_FLOOD,G3_TEMPORAL_ALIGNMENT;G4_SPATIAL_ALIGNMENT;G5_SOURCE_STRENGTH,Sentinel-2 L2A raster (10m),true,true,true,PUBLIC_REUSE_ALLOWED,PUBLIC_METADATA_ONLY,NONE_IDENTIFIED,NONE,"Query ESA Scihub or Copernicus Data Space; filter by Recife area; date 2021-05 to 2021-07; check cloud cover","OPERATIONAL_GROUND_TRUTH_DECLARATION,SUPERVISED_TRAINING,FLOOD_LABEL_CREATION,FLOOD_DETECTION_SOLO,FLOOD_PREDICTION",Priority HIGH; license known (Copernicus open); raw data local-only; human annotation required for gate G4/G5
ACQ_REC_GFM_001,RECIFE,Copernicus GFM - Flood mapping (2021 event),OPERATIONAL_FLOOD_PRODUCT,Copernicus Emergency Management Service (CEMS),NOT_STARTED,PUBLIC_DOWNLOAD,false,NOT_APPLICABLE,,EVT_REC_2021_FLOOD,G2_SOURCE_AVAILABILITY;G4_SPATIAL_ALIGNMENT;G6_UNCERTAINTY_AND_LIMITATIONS,GFM flood extent raster,true,true,true,PUBLIC_REUSE_ALLOWED,PUBLIC_METADATA_ONLY,NONE_IDENTIFIED,NONE,"Access CEMS portal; search for 2021 Recife activation; download GFM product; document methodology and uncertainty","OPERATIONAL_GROUND_TRUTH_DECLARATION,SUPERVISED_TRAINING,FLOOD_LABEL_CREATION",Priority HIGH; algorithmic product only; uncertainty must be documented; cannot be ground truth alone
ACQ_PET_DC_001,PETROPOLIS,Defesa Civil Municipal - Relatório Fevereiro 2022,CIVIL_DEFENSE_RECORD,Defesa Civil Municipal Petrópolis,IDENTIFIED,FORMAL_REQUEST,true,NOT_STARTED,,EVT_PET_2022_FLOOD,G1_EVENT_CONFIRMATION;G2_SOURCE_AVAILABILITY;G3_TEMPORAL_ALIGNMENT;G4_SPATIAL_ALIGNMENT;G7_HUMAN_REVIEW;G8_INDEPENDENT_CORROBORATION,Event map; affected areas polygon; casualties/damage registry,false,true,true,UNKNOWN,UNKNOWN,POSSIBLE_SENSITIVE_INFRASTRUCTURE,LICENSE_UNKNOWN,"Contact Defesa Civil Petrópolis; request Feb 2022 event documentation; clarify spatial data availability and license","OPERATIONAL_GROUND_TRUTH_DECLARATION,SUPERVISED_TRAINING,FLOOD_LABEL_CREATION,FLOOD_DETECTION_SOLO,FLOOD_PREDICTION",Priority HIGH; major event Feb 2022; high-profile event increases availability of official records
ACQ_PET_CPRM_001,PETROPOLIS,CPRM - Post-event geological assessment Feb 2022,OFFICIAL_OBSERVED_FLOOD_MAP,Serviço Geológico do Brasil (CPRM),IDENTIFIED,PUBLIC_PORTAL_REVIEW,false,NOT_APPLICABLE,,EVT_PET_2022_FLOOD,G1_EVENT_CONFIRMATION;G2_SOURCE_AVAILABILITY;G5_SOURCE_STRENGTH;G6_UNCERTAINTY_AND_LIMITATIONS;G8_INDEPENDENT_CORROBORATION,Post-event geological report with slope and valley maps,false,false,true,UNKNOWN,UNKNOWN,NONE_IDENTIFIED,LICENSE_UNKNOWN,"Search CPRM RIGeo portal for Feb 2022 Petrópolis report; download if public; document methodology","OPERATIONAL_GROUND_TRUTH_DECLARATION,SUPERVISED_TRAINING,FLOOD_LABEL_CREATION",Priority HIGH; CPRM published Feb 2022 analysis; critical for geomorphological grounding
ACQ_PET_SENT2_001,PETROPOLIS,Sentinel-2 L2A post-event (Feb 2022),SENTINEL_EVENT_IMAGE,ESA/Copernicus,NOT_STARTED,PUBLIC_DOWNLOAD,false,NOT_APPLICABLE,,EVT_PET_2022_FLOOD,G3_TEMPORAL_ALIGNMENT;G4_SPATIAL_ALIGNMENT;G5_SOURCE_STRENGTH,Sentinel-2 L2A raster (10m),true,true,true,PUBLIC_REUSE_ALLOWED,PUBLIC_METADATA_ONLY,NONE_IDENTIFIED,NONE,"Query Copernicus Data Space; filter Petrópolis area; date 2022-02-10 to 2022-03-15; check cloud cover","OPERATIONAL_GROUND_TRUTH_DECLARATION,SUPERVISED_TRAINING,FLOOD_LABEL_CREATION,FLOOD_DETECTION_SOLO,FLOOD_PREDICTION",Priority HIGH; cloud cover risk in Feb; human interpretation required; SAR complement recommended
ACQ_CUR_DC_001,CURITIBA,Defesa Civil Municipal - Relatório 2022-2023,CIVIL_DEFENSE_RECORD,Defesa Civil Municipal Curitiba,IDENTIFIED,FORMAL_REQUEST,true,NOT_STARTED,,EVT_CUR_2022_2023,G1_EVENT_CONFIRMATION;G2_SOURCE_AVAILABILITY;G3_TEMPORAL_ALIGNMENT;G4_SPATIAL_ALIGNMENT;G8_INDEPENDENT_CORROBORATION,Event map; urban alagamento zones; response records,false,true,true,UNKNOWN,UNKNOWN,POSSIBLE_SENSITIVE_INFRASTRUCTURE,LICENSE_UNKNOWN,"Contact Defesa Civil Curitiba; request 2022-2023 event documentation; clarify spatial data availability","OPERATIONAL_GROUND_TRUTH_DECLARATION,SUPERVISED_TRAINING,FLOOD_LABEL_CREATION,FLOOD_DETECTION_SOLO,FLOOD_PREDICTION",Priority HIGH; systematic urban alagamento events; Curitiba has well-organized municipal records
