adjudication_id,package_id,adjudication_status,trigger_condition,reviewer_a_status,reviewer_b_status,conflict_type,required_adjudicator_action,can_promote_after_adjudication,still_requires_external_evidence
ADJ_v2ai_00000,EPC_v1us_00000,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00001,EPC_v1us_00001,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00002,EPC_v1us_00002,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00003,EPC_v1us_00003,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00004,EPC_v1us_00004,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00005,EPC_v1us_00005,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00006,EPC_v1us_00006,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00007,EPC_v1us_00007,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00008,EPC_v1us_00008,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00009,EPC_v1us_00009,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
