id,ambito,lacuna_encontrada,evidencia_arquivo,impacto_cientifico,impacto_tecnico,gate_ou_dia_afetado,severidade,tipo,acao_recomendada,pode_resolver_agora,depende_dado_externo,prioridade
GAP_001,Temporal,0 de 128 assets com datetime de aquisição confirmado; 0 com cloud cover,outputs_public/mv2_temporal/sentinel_asset_temporal_manifest_summary.json,Trilha A inteiramente bloqueada; sem série temporal não há deslocamento temporal nem análise multi-data,Manifesto temporal existe mas todos os campos estão MISSING_DATE ou SENSOR_UNKNOWN,DIA_02 DIA_03 G2,CRITICA,dado_faltante,Recuperar scene IDs via histórico GEE ou re-exportação por patch auditável,nao,sim,P1
GAP_002,Temporal,156 de 164 patches sem metadados temporais; 162 sem cloud cover por patch,outputs_public/metrics/revp_auditoria_prontidao_temporal_assets_mv1.json,Confound temporal não controlável sobre os 12 embeddings DINOv2 existentes,Audit confirmou bloqueio; patch_corpus_registry registra 0 patches elegíveis para deslocamento temporal,DIA_02 G2,CRITICA,dado_faltante,Registrar data e cloud_cover dos 12 patches com embedding; expandir para corpus completo,nao,sim,P1
GAP_003,Espacial,Geometria de evento null em todos os GeoJSON candidates (9 eventos auditados),docs/protocolo_c/v2aq_event_geometry_patch_link/geojson_candidates/,Overlay patch-evento impossível; gate G3 permanece bloqueado,GeoJSONs existem mas com geometry=null; REC_00019 tem boundary; evento não tem,G2 G3 DIA_18,CRITICA,dado_faltante,Digitalizar footprint de evento observado para REC_2022_05_24_30 como prioridade; usar Charter758 PNG como base,nao,sim,P1
GAP_004,Embeddings,n=60 DINOv2 total (após MV2-10) mas cobertura Recife=5.4% e Petrópolis=6.25%; Curitiba=100%,outputs_public/mv2_dinov2_hardening/mv2_10_dinov2_hardening_summary.json,Viés de cidade extremo invalida qualquer análise comparativa intercidade; city_confounder_risk=ALTO,48 assets canônicos PNG existem somente para assets Curitiba-dominantes; REC e PET sub-representados,DIA_08 DIA_10,CRITICA,viés,Exportar assets canônicos PNG de Recife e Petrópolis para balancear corpus; ou usar embeddings de raster espectral,nao,sim,P1
GAP_005,Embeddings,DINOv2 aplicado sobre PNG renderizado (visual), não sobre raster Sentinel espectral,outputs_public/mv2_visual_embeddings/canonical_visual_baseline_features.csv — campo is_spectral_baseline=false,Embeddings visuais não capturam informação espectral (NDWI/NDVI/bandas); são proxies de aparência visual,feature_status=CREATED_FROM_REAL_CANONICAL_VISUAL_PIXELS; is_spectral_baseline=false,DIA_10,CRITICA,bloqueio_metodologico,Obter rasters Sentinel espectrais legíveis para extrair DINOv2 do canal espectral nativo; não confundir PNG com GeoTIFF,nao,sim,P1
GAP_006,Baseline_espectral,0 features espectrais reais extraídas de rasters Sentinel; spectral_baseline_features=0,outputs_public/mv2_asset_embeddings/spectral_baseline_features.csv — 0 linhas válidas,Dia 10 inteiramente bloqueado; NDWI/NDVI/NDBI/cloud_mask inexistentes,129 linhas no CSV mas todas com status de bloqueio; nenhum raster espectral legível,DIA_10 G1,CRITICA,dado_faltante,Localizar ou restaurar GeoTIFFs Sentinel originais com bandas; verificar diretório PROJETO local,nao,sim,P1
GAP_007,Ground_truth,0 positivos formais; 0 geometrias de evento observado fechadas,outputs_public/tables/revp_dashboard_bloqueio_treino_ground_truth_mv1.csv,Treino supervisionado não possível; nenhum dado de verdade operacional,G3/G5 bloqueados; formal_silver_items=0; candidate_positive≠label,G2 G3 G5 G_GT,CRITICA,bloqueio_metodologico,Executar revisão humana + digitalização de evento após obter geometria observacional (Charter758/Defesa Civil),nao,sim,P1
GAP_008,Ground_truth,0 negativos formais; política existe mas sem fonte de não-ocorrência confirmada,docs/metodologia_cientifica/revp_politica_evidencia_negativa_mv1.md,Sem negativo formal não há treino supervisionado; matched negatives são scaffolds,G6 bloqueado; formal_negative_items=0; unknown≠negativo,G6 DIA_21,CRITICA,bloqueio_metodologico,Identificar janelas temporais sem evento e fonte independente de confirmação; CEMADEN/ANA são candidatos,nao,sim,P1
GAP_009,Lineage,0 de 128 assets com scene ID ou product ID confirmado; 91 SPATIAL_ONLY; 37 PARTIAL_LINEAGE,outputs_public/mv2_lineage/asset_scene_lineage_manifest_summary.json,Sem scene ID não é possível confirmar data de aquisição nem re-download auditável,Log de exportação GEE ausente; lineage_confidence=LOW/MEDIUM apenas,DIA_03 G1 reprodutibilidade,ALTA,dado_faltante,Recuperar histórico de tasks GEE (probe_gee_task_history) ou reconstruir log de exportação,nao,sim,P1
GAP_010,Corpus,Patch_boundary REC_00019 tem geometria real mas 36 demais Recife têm boundaries de bounds estimados — can_be_gt=false,datasets/external_sources/recife_minimal_tp/derived/patch_boundary_REC_00019_from_lineage.geojson,Overlay confiável só para REC_00019; demais 36 Recife com boundaries inferidas de header raster,36 boundaries = reprojected_bounds_estimated não digitalizadas; CRS OK mas polígono inexato,G3,ALTA,dado_faltante,Digitalizar ou validar vetorialmente as boundaries dos 36 patches Recife restantes; source=PROJETO,nao,sim,P1
