bundle_id,seed_id,evidence_type,evidence_source,evidence_date,evidence_summary,supports_temporal_component,supports_spatial_component,supports_hazard_component,limitation,evidence_strength,can_create_ground_truth,can_create_patch_truth,can_create_label,can_create_negative,can_train_model,seed_is_not_final_ground_truth,temporal_seed_is_not_spatial_truth,local_station_is_not_patch_geometry,sentinel_context_is_not_ground_truth,dino_signal_is_not_ground_truth,no_geometry_no_final_truth,raw_data_versioned
BUNDLE_v2bc_0001,SEED_v2bc_0001,INMET_TEMPORAL_SERIES,INMET A807,2023-10-28,Window total 132.800 mm; max24h 78.800 mm; missing 0.000.,true,false,true,Rainfall does not prove patch event extent.,STRONG,false,false,false,false,false,true,true,true,true,true,true,false
BUNDLE_v2bc_0002,SEED_v2bc_0001,PATCH_CONTEXT,v2az assisted review packet,2023-10-28,Patch/event package exists but patch link is not established.,false,true,false,Patch context is not event geometry.,WEAK,false,false,false,false,false,true,true,true,true,true,true,false
BUNDLE_v2bc_0003,SEED_v2bc_0001,TEXTUAL_CONTEXT,Prefeitura de Curitiba,2023-10-28,Evento mais forte de Curitiba para iniciar ground reference; ainda sem patch-link; Caximba e Cajuru mencionados nas fontes,true,true,true,Textual context is not geometry.,MODERATE,false,false,false,false,false,true,true,true,true,true,true,false
BUNDLE_v2bc_0004,SEED_v2bc_0001,GEOMETRY_GAP,v2ba/v2bb geometry audits,,No explicit event geometry or candidate geometry.,false,false,false,No geometry means no final truth.,STRONG_BLOCKER,false,false,false,false,false,true,true,true,true,true,true,false
BUNDLE_v2bc_0005,SEED_v2bc_0002,INMET_TEMPORAL_SERIES,INMET A807,2022-01-15,Window total 80.800 mm; max24h 50.400 mm; missing 0.000.,true,false,true,Rainfall does not prove patch event extent.,STRONG,false,false,false,false,false,true,true,true,true,true,true,false
BUNDLE_v2bc_0006,SEED_v2bc_0002,PATCH_CONTEXT,v2az assisted review packet,2022-01-15,Patch/event package exists but patch link is not established.,false,true,false,Patch context is not event geometry.,WEAK,false,false,false,false,false,true,true,true,true,true,true,false
BUNDLE_v2bc_0007,SEED_v2bc_0002,TEXTUAL_CONTEXT,Prefeitura de Curitiba,2022-01-15,Evento candidato municipal; ainda sem dados espaciais fortes no repositório,true,true,true,Textual context is not geometry.,MODERATE,false,false,false,false,false,true,true,true,true,true,true,false
BUNDLE_v2bc_0008,SEED_v2bc_0002,GEOMETRY_GAP,v2ba/v2bb geometry audits,,No explicit event geometry or candidate geometry.,false,false,false,No geometry means no final truth.,STRONG_BLOCKER,false,false,false,false,false,true,true,true,true,true,true,false
BUNDLE_v2bc_0009,SEED_v2bc_0003,INMET_TEMPORAL_SERIES,INMET A807,2024-02-18,Window total 97.400 mm; max24h 47.400 mm; missing 0.000.,true,false,true,Rainfall does not prove patch event extent.,STRONG,false,false,false,false,false,true,true,true,true,true,true,false
BUNDLE_v2bc_0010,SEED_v2bc_0003,PATCH_CONTEXT,v2az assisted review packet,2024-02-18,Patch/event package exists but patch link is not established.,false,true,false,Patch context is not event geometry.,WEAK,false,false,false,false,false,true,true,true,true,true,true,false
BUNDLE_v2bc_0011,SEED_v2bc_0003,TEXTUAL_CONTEXT,Prefeitura de Curitiba,2024-02-18,Evento candidato com boa fonte municipal; precisa de detalhe espacial para avançar,true,true,true,Textual context is not geometry.,MODERATE,false,false,false,false,false,true,true,true,true,true,true,false
BUNDLE_v2bc_0012,SEED_v2bc_0003,GEOMETRY_GAP,v2ba/v2bb geometry audits,,No explicit event geometry or candidate geometry.,false,false,false,No geometry means no final truth.,STRONG_BLOCKER,false,false,false,false,false,true,true,true,true,true,true,false
