action_id,priority,action_type,region,related_stage,blocker,recommended_action,required_external_source,blocks_c3,blocks_c4,review_only,can_create_operational_label,can_train_model,target_created,ground_truth_operational,formal_negative,dino_validates_event,absence_as_negative,notes
V1RR_ACT_0000,P0,COLLECT_EXTERNAL_SOURCE,RECIFE,BLOCKED_INSUFFICIENT_EVIDENCE,EXTERNAL_SOURCE_NOT_LOCAL,MANUAL_EXTERNAL_COLLECTION (ver v1ra task board),INMET / BDMEP,true,false,true,false,false,false,false,false,false,false,manual_required
V1RR_ACT_0001,P0,COLLECT_EXTERNAL_SOURCE,RECIFE,BLOCKED_INSUFFICIENT_EVIDENCE,EXTERNAL_SOURCE_NOT_LOCAL,MANUAL_EXTERNAL_COLLECTION (ver v1ra task board),CEMADEN,true,false,true,false,false,false,false,false,false,false,manual_required
V1RR_ACT_0002,P1,COLLECT_EXTERNAL_SOURCE,RECIFE,BLOCKED_INSUFFICIENT_EVIDENCE,EXTERNAL_SOURCE_NOT_LOCAL,MANUAL_EXTERNAL_COLLECTION (ver v1ra task board),ANA / HidroWeb,true,false,true,false,false,false,false,false,false,false,manual_required
V1RR_ACT_0003,P0,COLLECT_EXTERNAL_SOURCE,PET,BLOCKED_INSUFFICIENT_EVIDENCE,EXTERNAL_SOURCE_NOT_LOCAL,MANUAL_EXTERNAL_COLLECTION (ver v1ra task board),CEMADEN,true,false,true,false,false,false,false,false,false,false,manual_required
V1RR_ACT_0004,P1,COLLECT_EXTERNAL_SOURCE,PET,BLOCKED_INSUFFICIENT_EVIDENCE,EXTERNAL_SOURCE_NOT_LOCAL,MANUAL_EXTERNAL_COLLECTION (ver v1ra task board),INMET / BDMEP,true,false,true,false,false,false,false,false,false,false,manual_required
V1RR_ACT_0005,P0,COLLECT_EXTERNAL_SOURCE,CURITIBA,BLOCKED_INSUFFICIENT_EVIDENCE,EXTERNAL_SOURCE_NOT_LOCAL,MANUAL_EXTERNAL_COLLECTION (ver v1ra task board),INMET / BDMEP,true,false,true,false,false,false,false,false,false,false,manual_required
V1RR_ACT_0006,P1,COLLECT_EXTERNAL_SOURCE,CURITIBA,BLOCKED_INSUFFICIENT_EVIDENCE,EXTERNAL_SOURCE_NOT_LOCAL,MANUAL_EXTERNAL_COLLECTION (ver v1ra task board),ANA / HidroWeb,true,false,true,false,false,false,false,false,false,false,manual_required
V1RR_ACT_0007,P1,COLLECT_EXTERNAL_SOURCE,CURITIBA,BLOCKED_INSUFFICIENT_EVIDENCE,EXTERNAL_SOURCE_NOT_LOCAL,MANUAL_EXTERNAL_COLLECTION (ver v1ra task board),CEMADEN,true,false,true,false,false,false,false,false,false,false,manual_required
V1RR_ACT_0008,P0,RUN_DOUBLE_REVIEW,ALL,C2_REVIEW_ONLY_CANDIDATE,DOUBLE_REVIEW_NOT_COMPLETED,PREENCHER respostas A/B (v1rg) e validar (v1rh),,true,false,true,false,false,false,false,false,false,false,manual_required
V1RR_ACT_0009,P1,INTAKE_EXTERNAL_DOCUMENTS,ALL,BLOCKED_INSUFFICIENT_EVIDENCE,EXTERNAL_DOCUMENTS_NOT_INTAKEN,COLETAR documentos (v1rb template) e validar (v1rc),,true,false,true,false,false,false,false,false,false,false,manual_required
