synthesis_id,region,event_id,dimension,classification,basis,ground_truth_operational,can_create_ground_reference,can_create_training_label,can_reopen_protocol_b,dino_usage,no_overlay_executed,no_coordinates_invented,patch_bound_truth,operational_validation,event_candidate_only,context_only_hold,controlled_feature_download_executed,geocoding_executed,centroid_used,raw_data_versioned,notes
RS_v1uz_0000,PET,PET_2022_02_15,event_registry,STRONG,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0001,PET,PET_2022_02_15,official_source,STRONG,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0002,PET,PET_2022_02_15,temporal_support,STRONG,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0003,PET,PET_2022_02_15,hazard_support,MODERATE,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0004,PET,PET_2022_02_15,locality_support,MODERATE,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0005,PET,PET_2022_02_15,contextual_coordinate_support,ABSENT,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0006,PET,PET_2022_02_15,occurrence_coordinate_support,ABSENT,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0007,PET,PET_2022_02_15,observed_geometry_support,ABSENT,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0008,PET,PET_2022_02_15,sentinel_date_support,WEAK,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0009,PET,PET_2022_02_15,overlay_readiness,BLOCKED,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0010,PET,PET_2022_02_15,ground_reference_readiness,BLOCKED,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0011,PET,PET_2022_02_15,training_readiness,BLOCKED,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0012,PET,PET_2024_03_21_28,event_registry,STRONG,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0013,PET,PET_2024_03_21_28,official_source,STRONG,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0014,PET,PET_2024_03_21_28,temporal_support,STRONG,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0015,PET,PET_2024_03_21_28,hazard_support,MODERATE,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0016,PET,PET_2024_03_21_28,locality_support,MODERATE,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0017,PET,PET_2024_03_21_28,contextual_coordinate_support,ABSENT,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0018,PET,PET_2024_03_21_28,occurrence_coordinate_support,ABSENT,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0019,PET,PET_2024_03_21_28,observed_geometry_support,ABSENT,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0020,PET,PET_2024_03_21_28,sentinel_date_support,WEAK,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0021,PET,PET_2024_03_21_28,overlay_readiness,BLOCKED,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
