prioridade,frente,tarefa,depende_de,artefato_entrada,artefato_saida_esperado,comando_ou_acao,bloqueio,impacto,proximo_marco_sugerido
P0,curitiba_oficial,aguardar e ingerir a resposta oficial de Curitiba,SUSC-18D,resposta oficial com geometria de ocorrencia,geometria oficial de ocorrencia ingerida e validada,acao externa manual: acompanhar resposta do orgao e ingerir quando chegar,resposta_oficial_ainda_nao_recebida,desbloqueia segunda regiao oficial,SUSC-18I
P0,sar_curitiba,recuperar e validar os exports SAR finais,SUSC-18G,"exports GEE (flood_mask, flood_vector, patch_stats)",vetor SAR final validado sem misturar patch_stats com footprint,python scripts/suscetibilidade/build_susc_18g_recuperacao_compactacao_vetorial_sar_curitiba.py,vetor_completo_excedeu_limite_de_feicoes,consolida referencia tecnica SAR,SUSC-18I
P0,integridade,manter patch_stats separado de footprint vetorial,SUSC-18F,patch_stats SAR real de 43 linhas,"matriz que trata patch_stats como estatistica pos-evento, nao como footprint",revisao das matrizes de linhagem e qualidade,risco_de_confundir_patch_stats_com_footprint,preserva rigor da evidencia,SUSC-18I
P1,sar_curitiba,consolidar a interpretacao dos 2 overlays SAR,SUSC-18G,overlays tecnicos CUR_01050 e CUR_01101,leitura tecnica fechada dos overlays somente revisao,consolidar overlays em relatorio tecnico review-only,not_available,fecha a evidencia tecnica de Curitiba,SUSC-18I
P1,curitiba_oficial,buscar geometria oficial e resolver patch-links oficiais,SUSC-18C,43 poligonos de patch CUR e prelinks region-only,patch-links oficiais fortes quando houver geometria,acao externa manual: buscar geometria oficial de ocorrencia,ausencia_de_geometria_oficial,eleva Curitiba de tecnico para oficial,SUSC-19A
P2,petropolis,separar o fenomeno de Petropolis (deslizamento e inundacao),SUSC-18B,registros de fenomeno misto,subconjunto de inundacao separado do deslizamento,classificar registros por fenomeno antes de qualquer promocao,fenomeno_misto_sem_separacao,habilita terceira regiao no futuro,SUSC-19A
P2,petropolis,buscar evento PET 2024 com geometria,SUSC-18B,1 candidato contextual de 2024,evento 2024 com geometria de ocorrencia,acao externa manual: buscar geometria oficial do evento 2024,sem_geometria_forte,converte contexto em evento utilizavel,SUSC-19A
P2,recife,ampliar eventos de Recife alem do canario atual,SUSC-18A,5 canarios fortes de um unico evento,novos eventos de Recife com evidencia comparavel,acao externa manual: buscar novos eventos de Recife,amostra_de_um_unico_evento,reduz dependencia de um evento,SUSC-19A
P3,matriz_multimodal,construir matriz multimodal escalavel por patch,SUSC-18G,"features fisicas, urbanas, espectrais e chuva das regioes",matriz multimodal por patch em todas as regioes,"desenhar matriz por patch com HAND, slope, elevacao, TWI, NDVI, NDWI, MNDWI, NDBI, chuva e score_v6",cobertura_multimodal_incompleta,vira o eixo estrutural do projeto,SUSC-19A
P3,cobertura,consolidar cobertura multimodal por regiao e feature,SUSC-19A,matriz multimodal por patch,auditoria de missingness por regiao e feature,medir completude por regiao e por familia de feature,not_available,define onde ha lacuna de dado,SUSC-19B
P3,estrutura,preparar embeddings quando houver fluxo consolidado,SUSC-19A,matriz multimodal por patch,"espaco de representacao por patch, se e quando houver fluxo",avaliar viabilidade de embeddings apos matriz multimodal estavel,fluxo_de_embeddings_ainda_nao_definido,base estrutural futura,SUSC-19C
