vinculo_id,regiao,candidate_event_id,geometry_id,geometry_type,patch_id,classe_vinculo,vinculo_forte,review_only,justificativa_tecnica
S18A_LINK_0001,REC,S17C_REF_0063,S17C5_GEOM_0063,technical_footprint,S17C6_CANARY_REC_00001,exact_polygon_overlap,true,true,vinculo forte review-only herdado do 17D: canario com overlap exato de poligono sobre o footprint tecnico; geometria e patch presentes
S18A_LINK_0002,REC,S17C_REF_0063,S17C5_GEOM_0063,technical_footprint,S17C6_CANARY_REC_00002,exact_polygon_overlap,true,true,vinculo forte review-only herdado do 17D: canario com overlap exato de poligono sobre o footprint tecnico; geometria e patch presentes
S18A_LINK_0003,REC,S17C_REF_0063,S17C5_GEOM_0063,technical_footprint,S17C6_CANARY_REC_00003,exact_polygon_overlap,true,true,vinculo forte review-only herdado do 17D: canario com overlap exato de poligono sobre o footprint tecnico; geometria e patch presentes
S18A_LINK_0004,REC,S17C_REF_0063,S17C5_GEOM_0063,technical_footprint,S17C6_CANARY_REC_00004,exact_polygon_overlap,true,true,vinculo forte review-only herdado do 17D: canario com overlap exato de poligono sobre o footprint tecnico; geometria e patch presentes
S18A_LINK_0005,REC,S17C_REF_0063,S17C5_GEOM_0063,technical_footprint,S17C6_CANARY_REC_00005,exact_polygon_overlap,true,true,vinculo forte review-only herdado do 17D: canario com overlap exato de poligono sobre o footprint tecnico; geometria e patch presentes
S18A_LINK_0006,PET,S17C_REF_0001,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0007,PET,S17C_REF_0002,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0008,PET,S17C_REF_0003,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0009,PET,S17C_REF_0004,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0010,PET,S17C_REF_0005,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0011,PET,S17C_REF_0006,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0012,PET,S17C_REF_0007,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0013,PET,S17C_REF_0008,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0014,PET,S17C_REF_0009,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0015,PET,S17C_REF_0010,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0016,CUR,S17C_REF_0012,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0017,PET,S17C_REF_0013,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0018,PET,S17C_REF_0014,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0019,PET,S17C_REF_0015,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0020,PET,S17C_REF_0016,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0021,PET,S17C_REF_0017,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0022,PET,S17C_REF_0018,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0023,PET,S17C_REF_0019,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0024,PET,S17C_REF_0020,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0025,PET,S17C_REF_0021,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0026,PET,S17C_REF_0022,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0027,PET,S17C_REF_0023,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0028,CUR,S17C_REF_0035,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0029,CUR,S17C_REF_0036,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0030,CUR,S17C_REF_0037,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0031,CUR,S17C_REF_0038,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0032,PET,S17C_REF_0039,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
