componente,status_atual,pode_liberar_treino,bloqueador_principal,evidencia_atual,acao_para_desbloquear,observacao_metodologica
ground_truth_patch_level,ausente,false,ground truth operacional ausente,Restauração v2dz-v2ef é trilha forense e não fecha estado operacional.,"Fechar evento, geometria, janela temporal, revisão humana e anti-leakage por patch.","Estado atual é candidato para revisão, não amostra de treino."
positivos_formais,ausente,false,sem evento observado independente fechado por patch,Não há positivo ouro aprovado.,"Registrar fonte independente, geometria compatível, janela temporal e adjudicação.",Positivo prata não entra no treino principal.
negativos_formais,ausente,false,sem evidência explícita de não inundação,Não há negativo pareado ou negativo difícil aprovado.,Formalizar evidência negativa explícita e revisão humana.,Curitiba e unknown não viram negativo por default.
geometria_evento_patch,bloqueado,false,geometria operacional não fechada,Trilha forense mantém lacunas de geometria e CRS.,"Validar vetor de evento, CRS, patch boundary e interseção.",Artefatos visuais ou textuais não bastam como geometria.
janela_temporal_evento_patch,bloqueado,false,metadados temporais insuficientes,Auditoria temporal MV1 bloqueou Trilha A.,Registrar múltiplas datas Sentinel e cobertura de nuvem por patch.,Sem janela temporal fechada não há readiness de treino.
revisao_humana,bloqueado,false,decisões humanas vazias,A restauração preservou revisão como pendente.,"Executar revisão primária, secundária quando necessária e adjudicação.",Revisão humana é gate obrigatório.
anti_leakage,em_preparacao,false,nenhuma amostra aprovada contra a política,Política formalizada neste protocolo.,Aplicar matriz label-feature em cada amostra candidata.,Fonte de label e fonte de feature devem ser independentes.
feature_table_multimodal,bloqueado,false,gates de label e anti-leakage não satisfeitos,"Marco label-free existe, mas não gera alvo supervisionado.",Fechar G0 a G8 antes de construir tabela de treino.,Tabela multimodal antes dos gates criaria risco de circularidade.
baselines_supervisionados,bloqueado,false,G8 bloqueado,Nenhum treino supervisionado liberado no estado atual.,Satisfazer todos os gates e revisar política de negativos.,Baseline supervisionado só pode ser avaliado depois de ground truth real.
DINOv2_label_free,liberado_com_restricoes,false,uso restrito a análise label-free,12 embeddings válidos no piloto MV1.,Não aplicável para treino; expandir apenas análise estrutural.,DINOv2 não prova inundação e não cria label.
evidencias_externas_contextuais,parcial,false,contexto não é fonte de label,Pode apoiar priorização de revisão humana.,Separar contexto de fonte independente de label e documentar anti-leakage.,"Evidência contextual é probe externo, não alvo supervisionado."
