assignment_id,package_id,event_id,region,patch_id,hazard_type,review_round,reviewer_slot,reviewer_role,assignment_status,source_queue_rank,dominant_blocker,allowed_use,forbidden_use
ASN_v2ai_00000,EPC_v1us_00000,PET_2022_02_15,PET,PET_00016,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_a,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,1,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00001,EPC_v1us_00000,PET_2022_02_15,PET,PET_00016,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_b,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,1,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00002,EPC_v1us_00001,PET_2022_02_15,PET,PET_00104,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_a,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,2,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00003,EPC_v1us_00001,PET_2022_02_15,PET,PET_00104,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_b,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,2,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00004,EPC_v1us_00002,PET_2022_02_15,PET,PET_00119,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_a,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,3,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00005,EPC_v1us_00002,PET_2022_02_15,PET,PET_00119,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_b,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,3,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00006,EPC_v1us_00003,PET_2022_02_15,PET,PET_00140,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_a,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,4,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00007,EPC_v1us_00003,PET_2022_02_15,PET,PET_00140,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_b,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,4,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00008,EPC_v1us_00004,PET_2022_02_15,PET,PET_00240,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_a,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,5,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00009,EPC_v1us_00004,PET_2022_02_15,PET,PET_00240,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_b,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,5,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00010,EPC_v1us_00005,PET_2022_02_15,PET,PET_00257,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_a,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,6,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00011,EPC_v1us_00005,PET_2022_02_15,PET,PET_00257,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_b,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,6,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00012,EPC_v1us_00006,PET_2022_02_15,PET,PET_00275,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_a,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,7,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00013,EPC_v1us_00006,PET_2022_02_15,PET,PET_00275,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_b,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,7,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00014,EPC_v1us_00007,PET_2022_02_15,PET,PET_00291,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_a,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,8,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00015,EPC_v1us_00007,PET_2022_02_15,PET,PET_00291,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_b,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,8,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00016,EPC_v1us_00008,PET_2022_02_15,PET,PET_00315,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_a,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,9,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00017,EPC_v1us_00008,PET_2022_02_15,PET,PET_00315,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_b,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,9,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00018,EPC_v1us_00009,PET_2022_02_15,PET,PET_00360,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_a,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,10,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00019,EPC_v1us_00009,PET_2022_02_15,PET,PET_00360,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_b,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,10,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00020,EPC_v1us_00010,PET_2022_02_15,PET,PET_00362,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_a,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,11,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00021,EPC_v1us_00010,PET_2022_02_15,PET,PET_00362,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_b,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,11,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00022,EPC_v1us_00011,PET_2022_02_15,PET,PET_00396,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_a,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,12,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
ASN_v2ai_00023,EPC_v1us_00011,PET_2022_02_15,PET,PET_00396,MIXED_FLOOD_AND_MASS_MOVEMENT,round_1,reviewer_b,independent_human_reviewer_slot,ASSIGNED_SLOT_PENDING_HUMAN_REVIEW,12,no observed geometry,future_human_review_assignment_only,real_reviewer_identity|ground_reference|label|training|overlay|prediction|protocol_b_reopen
