patch_id,region,boundary_available,boundary_source,bounds_available,crs,crs_known,geometry_file_available,raster_available,sentinel_source_available,human_review_required,pairing_ready,patch_boundary_status,blocking_reason,allowed_claim,forbidden_claim
ARP_v2az_0005,Recife,false,outputs_public/tables/revp_external_patch_pairing_v2cr.csv,false,,false,false,false,false,true,false,NO_BOUNDARY_AVAILABLE,PATCH_BOUNDARY_MISSING,"Uso permitido apenas como prontidao cientifica review-only; nao fecha TP2, TP3, treino ou validacao operacional.",ground_truth_operacional|label_binario|negativo_formal|dataset_treino|claim_deteccao|claim_predicao|intersecao_observada_automatica
PET_PACKAGES,Petropolis,false,outputs_public/tables/revp_external_patch_pairing_v2cr.csv,false,,false,false,false,false,true,false,NO_BOUNDARY_AVAILABLE,PATCH_BOUNDARY_MISSING,"Uso permitido apenas como prontidao cientifica review-only; nao fecha TP2, TP3, treino ou validacao operacional.",ground_truth_operacional|label_binario|negativo_formal|dataset_treino|claim_deteccao|claim_predicao|intersecao_observada_automatica
CTB_SEEDS_x3,Curitiba,false,outputs_public/tables/revp_external_patch_pairing_v2cr.csv,false,,false,false,false,false,true,false,NO_BOUNDARY_AVAILABLE,PATCH_BOUNDARY_MISSING,"Uso permitido apenas como prontidao cientifica review-only; nao fecha TP2, TP3, treino ou validacao operacional.",ground_truth_operacional|label_binario|negativo_formal|dataset_treino|claim_deteccao|claim_predicao|intersecao_observada_automatica
758,Recife,false,outputs_public/tables/revp_tp2_candidate_priority_v2cj.csv,false,,false,false,false,false,true,false,NO_BOUNDARY_AVAILABLE,PATCH_BOUNDARY_MISSING,"Uso permitido apenas como prontidao cientifica review-only; nao fecha TP2, TP3, treino ou validacao operacional.",ground_truth_operacional|label_binario|negativo_formal|dataset_treino|claim_deteccao|claim_predicao|intersecao_observada_automatica
CH758_OLINDA_20220603_UNTITLED,Olinda/PE,false,outputs_public/tables/revp_tp2_candidate_priority_v2cj.csv,false,,false,false,false,false,true,false,NO_BOUNDARY_AVAILABLE,PATCH_BOUNDARY_MISSING,"Uso permitido apenas como prontidao cientifica review-only; nao fecha TP2, TP3, treino ou validacao operacional.",ground_truth_operacional|label_binario|negativo_formal|dataset_treino|claim_deteccao|claim_predicao|intersecao_observada_automatica
CH758_RECIFE_20220602_001,Recife,false,outputs_public/tables/revp_tp2_candidate_priority_v2cj.csv,false,,false,false,false,false,true,false,NO_BOUNDARY_AVAILABLE,PATCH_BOUNDARY_MISSING,"Uso permitido apenas como prontidao cientifica review-only; nao fecha TP2, TP3, treino ou validacao operacional.",ground_truth_operacional|label_binario|negativo_formal|dataset_treino|claim_deteccao|claim_predicao|intersecao_observada_automatica
CH758_REMAINING_PRODUCTS_NOT_INVENTORIED,UNKNOWN,false,outputs_public/tables/revp_tp2_candidate_priority_v2cj.csv,false,,false,false,false,false,true,false,NO_BOUNDARY_AVAILABLE,PATCH_BOUNDARY_MISSING,"Uso permitido apenas como prontidao cientifica review-only; nao fecha TP2, TP3, treino ou validacao operacional.",ground_truth_operacional|label_binario|negativo_formal|dataset_treino|claim_deteccao|claim_predicao|intersecao_observada_automatica
CG_v2ba_0001,UNKNOWN,false,outputs_public/tables/revp_tp2_candidate_priority_v2cj.csv,false,,false,false,false,false,true,false,NO_BOUNDARY_AVAILABLE,PATCH_BOUNDARY_MISSING,"Uso permitido apenas como prontidao cientifica review-only; nao fecha TP2, TP3, treino ou validacao operacional.",ground_truth_operacional|label_binario|negativo_formal|dataset_treino|claim_deteccao|claim_predicao|intersecao_observada_automatica
CG_v2ba_0002,UNKNOWN,false,outputs_public/tables/revp_tp2_candidate_priority_v2cj.csv,false,,false,false,false,false,true,false,NO_BOUNDARY_AVAILABLE,PATCH_BOUNDARY_MISSING,"Uso permitido apenas como prontidao cientifica review-only; nao fecha TP2, TP3, treino ou validacao operacional.",ground_truth_operacional|label_binario|negativo_formal|dataset_treino|claim_deteccao|claim_predicao|intersecao_observada_automatica
CG_v2ba_0004,UNKNOWN,false,outputs_public/tables/revp_tp2_candidate_priority_v2cj.csv,false,,false,false,false,false,true,false,NO_BOUNDARY_AVAILABLE,PATCH_BOUNDARY_MISSING,"Uso permitido apenas como prontidao cientifica review-only; nao fecha TP2, TP3, treino ou validacao operacional.",ground_truth_operacional|label_binario|negativo_formal|dataset_treino|claim_deteccao|claim_predicao|intersecao_observada_automatica
