execution_task_id,formal_request_id,provider_name,priority,task_order,task_description,task_status,requires_human_action,evidence_required_to_mark_done,done,review_only
S17C13_TASK_0001,P0_COMPDEC_RECIFE_PKG_FR_REC_002,COMPDEC/Defesa Civil PE,P0,1,revisar pacote,pending,true,pacote revisado e anotacao humana,false,true
S17C13_TASK_0002,P0_COMPDEC_RECIFE_PKG_FR_REC_002,COMPDEC/Defesa Civil PE,P0,2,abrir canal oficial,pending,true,canal aberto manualmente pela pessoa,false,true
S17C13_TASK_0003,P0_COMPDEC_RECIFE_PKG_FR_REC_002,COMPDEC/Defesa Civil PE,P0,3,verificar canal,pending,true,confirmacao humana de que o canal cobre o pedido,false,true
S17C13_TASK_0004,P0_COMPDEC_RECIFE_PKG_FR_REC_002,COMPDEC/Defesa Civil PE,P0,4,copiar mensagem,pending,true,mensagem copiada apos revisao,false,true
S17C13_TASK_0005,P0_COMPDEC_RECIFE_PKG_FR_REC_002,COMPDEC/Defesa Civil PE,P0,5,"anexar arquivos revisados, se aplicavel",pending,true,lista de anexos revisada e sensibilidade checada,false,true
S17C13_TASK_0006,P0_COMPDEC_RECIFE_PKG_FR_REC_002,COMPDEC/Defesa Civil PE,P0,6,submeter manualmente,pending,true,evidencia literal do envio manual,false,true
S17C13_TASK_0007,P0_COMPDEC_RECIFE_PKG_FR_REC_002,COMPDEC/Defesa Civil PE,P0,7,registrar data/hora,pending,true,data/hora literal informada pela pessoa,false,true
S17C13_TASK_0008,P0_COMPDEC_RECIFE_PKG_FR_REC_002,COMPDEC/Defesa Civil PE,P0,8,"registrar protocolo, se houver",pending,true,protocolo literal se existir,false,true
S17C13_TASK_0009,P0_COMPDEC_RECIFE_PKG_FR_REC_002,COMPDEC/Defesa Civil PE,P0,9,salvar comprovante ou resposta futura fora de outputs_public,pending,true,path local privado ou local_runs protegido,false,true
S17C13_TASK_0010,P0_COMPDEC_RECIFE_PKG_FR_REC_002,COMPDEC/Defesa Civil PE,P0,10,rodar intake-response quando houver resposta,pending,true,arquivo real e hash calculado no intake futuro,false,true
S17C13_TASK_0011,P0_DRM_RJ_PKG_FR_PET_001,DRM-RJ/NADE,P0,1,revisar pacote,pending,true,pacote revisado e anotacao humana,false,true
S17C13_TASK_0012,P0_DRM_RJ_PKG_FR_PET_001,DRM-RJ/NADE,P0,2,abrir canal oficial,pending,true,canal aberto manualmente pela pessoa,false,true
S17C13_TASK_0013,P0_DRM_RJ_PKG_FR_PET_001,DRM-RJ/NADE,P0,3,verificar canal,pending,true,confirmacao humana de que o canal cobre o pedido,false,true
S17C13_TASK_0014,P0_DRM_RJ_PKG_FR_PET_001,DRM-RJ/NADE,P0,4,copiar mensagem,pending,true,mensagem copiada apos revisao,false,true
S17C13_TASK_0015,P0_DRM_RJ_PKG_FR_PET_001,DRM-RJ/NADE,P0,5,"anexar arquivos revisados, se aplicavel",pending,true,lista de anexos revisada e sensibilidade checada,false,true
S17C13_TASK_0016,P0_DRM_RJ_PKG_FR_PET_001,DRM-RJ/NADE,P0,6,submeter manualmente,pending,true,evidencia literal do envio manual,false,true
S17C13_TASK_0017,P0_DRM_RJ_PKG_FR_PET_001,DRM-RJ/NADE,P0,7,registrar data/hora,pending,true,data/hora literal informada pela pessoa,false,true
S17C13_TASK_0018,P0_DRM_RJ_PKG_FR_PET_001,DRM-RJ/NADE,P0,8,"registrar protocolo, se houver",pending,true,protocolo literal se existir,false,true
S17C13_TASK_0019,P0_DRM_RJ_PKG_FR_PET_001,DRM-RJ/NADE,P0,9,salvar comprovante ou resposta futura fora de outputs_public,pending,true,path local privado ou local_runs protegido,false,true
S17C13_TASK_0020,P0_DRM_RJ_PKG_FR_PET_001,DRM-RJ/NADE,P0,10,rodar intake-response quando houver resposta,pending,true,arquivo real e hash calculado no intake futuro,false,true
