requirement_id,dossier_id,region,candidate_event_name,requirement_type,required_evidence,target_gate,required_source_strength,minimum_acceptance_criteria,current_status,blocking_if_missing,acquisition_path,review_needed,allowed_if_satisfied,forbidden_if_missing,notes
REQ_REC_2021_G1,DOS_REC_2021,RECIFE,"Inundação urbana Recife — maio/julho 2021",EVENT_CONFIRMATION,"Relatório ou comunicado oficial da COMPDEC Recife ou CPRM confirmando evento de inundação no período maio–julho 2021",G1_EVENT_CONFIRMATION,OFFICIAL_DOCUMENTATION,"Documento institucional com data e localização do evento confirmados por fonte primária",MISSING,true,"Solicitação formal à COMPDEC Recife; busca no portal RIGeo CPRM",true,"Avançar para avaliação de evidência temporal e espacial (G2–G4)","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL","Fonte mais provável: COMPDEC Recife (CIVIL_DEFENSE_RECORD). CPRM como corroboração independente. Licença UNKNOWN bloqueia uso de qualquer dado recebido."
REQ_REC_2021_G3,DOS_REC_2021,RECIFE,"Inundação urbana Recife — maio/julho 2021",TEMPORAL_EVIDENCE,"Asset Sentinel-2 L2A com data dentro de 14 dias do evento confirmado e cobertura de nuvem aceitável sobre a área de Recife",G3_TEMPORAL_ALIGNMENT,OPERATIONAL_ALGORITHMIC,"Data do asset Sentinel-2 dentro da janela do evento; cobertura de nuvem inferior a 30% sobre a área de patches",MISSING,true,"Consulta ao Copernicus Data Space; filtro por área Recife e período mai–jul 2021; verificação de cobertura de nuvem",true,"Avaliação de alinhamento temporal entre evento e asset disponível","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION","G3 depende de G1: evento deve ser confirmado antes de buscar asset temporal. Dado bruto Sentinel permanece local-only. Licença Copernicus Open."
REQ_REC_2021_G4,DOS_REC_2021,RECIFE,"Inundação urbana Recife — maio/julho 2021",SPATIAL_EVIDENCE,"Geometria ou polígono de área afetada pelo evento com sobreposição confirmada sobre pelo menos um patch do corpus REV-P",G4_SPATIAL_ALIGNMENT,OFFICIAL_DOCUMENTATION,"Mapa ou polígono de área afetada com CRS documentado e sobreposição verificada por revisor humano sobre patches do corpus",MISSING,true,"Solicitação de mapa de área afetada à COMPDEC; verificação de sobreposição com patches por revisor humano",true,"Vínculo patch-evento pode ser avaliado formalmente","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL","G4 requer revisão supervisora (G7) para confirmação de sobreposição. DINOv2 não fecha G4."
REQ_REC_2021_G7,DOS_REC_2021,RECIFE,"Inundação urbana Recife — maio/julho 2021",REVIEW_GATE,"Revisão por pesquisador ou especialista documentando que a evidência satisfaz os gates G1–G6 e que o vínculo patch-evento é metodologicamente defensável",G7_REVIEW_GATE,EXPERT_ANNOTATION,"Registro de revisão em review_gate_reference_registry.csv com decisão documentada e materiais revisados listados",MISSING,true,"Executar apenas após satisfação de G1–G6; registrar em review_gate_reference_registry.csv",true,"Avançar para corroboração independente (G8) e decisão de promoção (G9)","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL;FLOOD_DETECTION_SOLO","G7 é gate obrigatório — nenhuma promoção sem revisão supervisora documentada."
REQ_REC_2021_G9,DOS_REC_2021,RECIFE,"Inundação urbana Recife — maio/julho 2021",PROMOTION_DECISION,"Decisão formal de promoção a referência operacional após satisfação de G1–G8",G9_PROMOTION_DECISION,DIRECT_OBSERVATION,"Todos os gates G1–G8 satisfeitos; decisão registrada em reference_promotion_decision_registry.csv",MISSING,true,"Executar apenas após satisfação de todos os gates anteriores",true,"Evento pode ser promovido a referência operacional e eventualmente suportar revisão do Protocolo B","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL;FLOOD_DETECTION_SOLO;FLOOD_PREDICTION","G9 não pode ser fechado sem todos os gates anteriores. Nenhum evento desta etapa está próximo de G9."
REQ_REC_2022_G1,DOS_REC_2022,RECIFE,"Inundação urbana Recife — 2022",EVENT_CONFIRMATION,"Relatório ou comunicado oficial da COMPDEC Recife confirmando evento específico de inundação em 2022 com data e localização",G1_EVENT_CONFIRMATION,OFFICIAL_DOCUMENTATION,"Documento institucional com data específica do evento e localização; período anual deve ser refinado para data ou janela específica",MISSING,true,"Solicitação formal à COMPDEC Recife; pode ser bundled com solicitação de 2021",true,"Refinamento do período anual para evento específico; avaliação de evidência temporal e espacial","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL","Período anual é placeholder. Evento específico dentro de 2022 deve ser identificado antes de qualquer avaliação de alinhamento temporal."
REQ_REC_2022_G3,DOS_REC_2022,RECIFE,"Inundação urbana Recife — 2022",TEMPORAL_EVIDENCE,"Asset Sentinel-2 L2A com data dentro de 14 dias do evento específico identificado em 2022",G3_TEMPORAL_ALIGNMENT,OPERATIONAL_ALGORITHMIC,"Data do asset Sentinel-2 dentro da janela do evento específico; cobertura de nuvem aceitável",MISSING,true,"Consulta ao Copernicus Data Space após identificação do evento específico",true,"Avaliação de alinhamento temporal","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION","Depende de G1: evento específico deve ser confirmado antes."
REQ_REC_2022_G4,DOS_REC_2022,RECIFE,"Inundação urbana Recife — 2022",SPATIAL_EVIDENCE,"Geometria ou polígono de área afetada com sobreposição sobre patches do corpus",G4_SPATIAL_ALIGNMENT,OFFICIAL_DOCUMENTATION,"Mapa ou polígono com CRS e sobreposição verificada por revisor humano",MISSING,true,"Solicitação de mapa à COMPDEC após confirmação de evento específico",true,"Vínculo patch-evento pode ser avaliado","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL","Requer G1 e G7."
REQ_REC_2022_G7,DOS_REC_2022,RECIFE,"Inundação urbana Recife — 2022",REVIEW_GATE,"Revisão supervisora documentada de evidência reunida para evento específico de 2022",G7_REVIEW_GATE,EXPERT_ANNOTATION,"Registro em review_gate_reference_registry.csv",MISSING,true,"Após satisfação de G1–G6",true,"Avançar para G8 e G9","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL","Obrigatório."
REQ_REC_2022_G9,DOS_REC_2022,RECIFE,"Inundação urbana Recife — 2022",PROMOTION_DECISION,"Decisão formal de promoção após satisfação de G1–G8",G9_PROMOTION_DECISION,DIRECT_OBSERVATION,"Todos os gates G1–G8 satisfeitos",MISSING,true,"Após todos os gates",true,"Promoção a referência operacional","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL;FLOOD_DETECTION_SOLO;FLOOD_PREDICTION","Não atingível no estado atual."
