completion_id,metric,value,status,notes
CR_v2al_000,inputs_read,8,RECORDED,docs/tcc_exports/protocolo_c_v2ak_metodologia_draft.md|docs/tcc_exports/protocolo_c_v2ak_resultados_draft.md|docs/tcc_exports/protocolo_c_v2ak_discussao_draft.md|docs/tcc_exports/protocolo_c_v2ak_limitacoes_trabalhos_futuros_draft.md|docs/tcc_exports/protocolo_c_v2ak_orientador_briefing.md|datasets/protocolo_c/v2ak_writeup_traceability_matrix.csv|datasets/protocolo_c/v2ak_claim_usage_audit.csv|datasets/protocolo_c/v2ak_safe_language_glossary.csv
CR_v2al_001,manuscript_candidates_found,517,RECORDED,Scan-only; safe_to_autowrite is always false.
CR_v2al_002,markdown_bundles_created,4,RECORDED,docs/tcc_exports/v2al_manuscript_integration/v2al_metodologia_section_candidate.md|docs/tcc_exports/v2al_manuscript_integration/v2al_resultados_section_candidate.md|docs/tcc_exports/v2al_manuscript_integration/v2al_discussao_section_candidate.md|docs/tcc_exports/v2al_manuscript_integration/v2al_limitacoes_trabalhos_futuros_section_candidate.md
CR_v2al_003,latex_bundles_created,4,RECORDED,docs/tcc_exports/v2al_manuscript_integration/v2al_metodologia_section_candidate.tex|docs/tcc_exports/v2al_manuscript_integration/v2al_resultados_section_candidate.tex|docs/tcc_exports/v2al_manuscript_integration/v2al_discussao_section_candidate.tex|docs/tcc_exports/v2al_manuscript_integration/v2al_limitacoes_trabalhos_futuros_section_candidate.tex
CR_v2al_004,captions_exported,7,RECORDED,Governance/review captions only.
CR_v2al_005,patch_plan_steps,350,RECORDED,Manual patch plan; no automatic manuscript edit.
CR_v2al_006,claims_audited,6,RECORDED,Claim alignment audit over v2al bundles.
CR_v2al_007,claim_violations,0,PASS,Unauthorized operational claims must remain zero.
CR_v2al_008,safe_language_regression_failures,0,PASS,Fail-closed safe-language regression.
CR_v2al_009,main_manuscript_overwritten,false,GUARDRAIL_OK,No automatic manuscript overwrite; outputs are v2al_ only.
CR_v2al_010,next_action_rank_1,MANUAL_TCC_INTEGRATION_REVIEW,SAFE_NEXT_ACTION,Manual integration review only.
CR_v2al_011,final_decision,safe_manuscript_integration_package_ready_no_operational_promotion,NO_OPERATIONAL_PROMOTION,No science altered; v2ak/v2aj inputs read-only.
