risk_id,target_id,severity,risk_type,evidence,mitigation,status,blocks_next_step
MV2_DATA_05_RISK_01,GLOBAL,ALTA,RISK_TEMPORAL_WINDOW_INVENTED,preencher janela temporal sem evidencia (data inventada),intake preserva vazios; janela sem fonte -> INVALID; nunca inventa data,MITIGADO_FAIL_CLOSED,true
MV2_DATA_05_RISK_02,GLOBAL,ALTA,RISK_TEMPORAL_WINDOW_TOO_BROAD,janela ampla demais captura cena errada,"janela >45d sem justificativa -> REVIEW_REQUIRED, nunca STRONG",MITIGADO_FAIL_CLOSED,true
MV2_DATA_05_RISK_03,GLOBAL,ALTA,RISK_FUTURE_DATE,data futura tratada como aquisicao,classify_datetime INVALID_FUTURE -> TEMPORAL_EVIDENCE_INVALID,MITIGADO_FAIL_CLOSED,true
MV2_DATA_05_RISK_04,GLOBAL,MEDIA,RISK_START_AFTER_END,start posterior a end,window_days<0 -> INVALID,MITIGADO_FAIL_CLOSED,true
MV2_DATA_05_RISK_05,GLOBAL,ALTA,RISK_SOURCE_MISSING,janela aceita sem fonte,source/source_ref ausentes -> INVALID; STRONG exige source_ref,MITIGADO_FAIL_CLOSED,true
MV2_DATA_05_RISK_06,GLOBAL,MEDIA,RISK_REVIEW_STATUS_MISSING,janela promovida a STRONG sem review,review_status nao aprovado -> no maximo PARTIAL,MITIGADO_FAIL_CLOSED,true
MV2_DATA_05_RISK_07,GLOBAL,ALTA,RISK_EVENT_DATE_AS_SCENE_DATE,usar data do evento como data da cena Sentinel,event_date e campo separado; janela exige start/end proprios + source,MITIGADO_FAIL_CLOSED,true
MV2_DATA_05_RISK_08,GLOBAL,ALTA,RISK_EXPORT_DATE_AS_ACQUISITION_DATE,usar data de export GEE como data de aquisicao,export_task_hint e separado; janela de aquisicao exige evidencia propria,MITIGADO_FAIL_CLOSED,true
MV2_DATA_05_RISK_09,GLOBAL,ALTA,RISK_STAC_PROBE_WITH_WEAK_TEMPORALITY,habilitar STAC probe com temporalidade fraca,GEE/STAC so habilitam com promocao STRONG/PARTIAL,MITIGADO_FAIL_CLOSED,true
MV2_DATA_05_RISK_10,GLOBAL,ALTA,RISK_DAY10_FALSE_UNLOCK,tratar intake temporal como desbloqueio do Dia 10,can_unlock_day10_now=false sempre; corpus_day10_unlocked=false,MITIGADO_FAIL_CLOSED,true
MV2_DATA_05_RISK_11,GLOBAL,ALTA,RISK_SANDBOX_FALSE_UNLOCK,abrir sandbox/treino com base no intake,sandbox_unlocked=false; can_train=false,MITIGADO_FAIL_CLOSED,true
