case_id,section_order,section_key,section_text,review_only,automated_review
CASE_PET_C3E253E01A,0,identificacao,"Caso CASE_PET_C3E253E01A — regiao PET, perigo FLOOD_LANDSLIDE, janela 2022-02-12 to 2022-02-20.",true,true
CASE_PET_C3E253E01A,1,evidencia_externa,Fonte observacional externa: EXTERNAL_SOURCE_ABSENT_LOCAL. Exigida para qualquer afirmacao operacional.,true,true
CASE_PET_C3E253E01A,2,contexto_hidromet,Contexto hidrometeorologico (INMET): HYDROMET_CONTEXT_AVAILABLE_REVIEW_ONLY. Apenas contexto; nao valida o evento.,true,true
CASE_PET_C3E253E01A,3,papel_dino,DINO: DINO_NOT_PRESENT_CONTEXT_ONLY. Representacao estrutural review-only; nunca prova de evento.,true,true
CASE_PET_C3E253E01A,4,vinculo_patch,Vinculo patch/evento: PATCH_LINK_ABSENT.,true,true
CASE_PET_C3E253E01A,5,revisao_automatizada,Decisao do supervisor automatizado: AUTOMATED_SUPERVISOR_VALIDATED_FOR_REVIEW_ONLY_USE; validado para uso review-only: true.,true,true
CASE_PET_C3E253E01A,6,status_prova,Prova review-only: REVIEW_ONLY_PROOF_COMPLETE; status de validacao: VALIDATED_FOR_REVIEW_ONLY_USE.,true,true
CASE_PET_C3E253E01A,7,seguranca_claim,"Uso review-only: sem promocao automatica de C3 (contagem zero), C4 permanece fechado, sem referencia operacional confirmada, sem rotulos, alvos ou negativos formais. Ausencia nao e tratada como negativo.",true,true
CASE_PET_A96F79E34C,0,identificacao,"Caso CASE_PET_A96F79E34C — regiao PET, perigo FLOOD_LANDSLIDE, janela 2022-02-13 to 2022-02-21.",true,true
CASE_PET_A96F79E34C,1,evidencia_externa,Fonte observacional externa: EXTERNAL_SOURCE_ABSENT_LOCAL. Exigida para qualquer afirmacao operacional.,true,true
CASE_PET_A96F79E34C,2,contexto_hidromet,Contexto hidrometeorologico (INMET): HYDROMET_CONTEXT_AVAILABLE_REVIEW_ONLY. Apenas contexto; nao valida o evento.,true,true
CASE_PET_A96F79E34C,3,papel_dino,DINO: DINO_NOT_PRESENT_CONTEXT_ONLY. Representacao estrutural review-only; nunca prova de evento.,true,true
CASE_PET_A96F79E34C,4,vinculo_patch,Vinculo patch/evento: PATCH_LINK_ABSENT.,true,true
CASE_PET_A96F79E34C,5,revisao_automatizada,Decisao do supervisor automatizado: AUTOMATED_SUPERVISOR_VALIDATED_FOR_REVIEW_ONLY_USE; validado para uso review-only: true.,true,true
CASE_PET_A96F79E34C,6,status_prova,Prova review-only: REVIEW_ONLY_PROOF_COMPLETE; status de validacao: VALIDATED_FOR_REVIEW_ONLY_USE.,true,true
CASE_PET_A96F79E34C,7,seguranca_claim,"Uso review-only: sem promocao automatica de C3 (contagem zero), C4 permanece fechado, sem referencia operacional confirmada, sem rotulos, alvos ou negativos formais. Ausencia nao e tratada como negativo.",true,true
CASE_PET_85AA83E768,0,identificacao,"Caso CASE_PET_85AA83E768 — regiao PET, perigo FLOOD_LANDSLIDE, janela 2022-02-15 to 2022-02-23.",true,true
CASE_PET_85AA83E768,1,evidencia_externa,Fonte observacional externa: EXTERNAL_SOURCE_ABSENT_LOCAL. Exigida para qualquer afirmacao operacional.,true,true
CASE_PET_85AA83E768,2,contexto_hidromet,Contexto hidrometeorologico (INMET): HYDROMET_CONTEXT_AVAILABLE_REVIEW_ONLY. Apenas contexto; nao valida o evento.,true,true
CASE_PET_85AA83E768,3,papel_dino,DINO: DINO_NOT_PRESENT_CONTEXT_ONLY. Representacao estrutural review-only; nunca prova de evento.,true,true
CASE_PET_85AA83E768,4,vinculo_patch,Vinculo patch/evento: PATCH_LINK_ABSENT.,true,true
CASE_PET_85AA83E768,5,revisao_automatizada,Decisao do supervisor automatizado: AUTOMATED_SUPERVISOR_VALIDATED_FOR_REVIEW_ONLY_USE; validado para uso review-only: true.,true,true
CASE_PET_85AA83E768,6,status_prova,Prova review-only: REVIEW_ONLY_PROOF_COMPLETE; status de validacao: VALIDATED_FOR_REVIEW_ONLY_USE.,true,true
CASE_PET_85AA83E768,7,seguranca_claim,"Uso review-only: sem promocao automatica de C3 (contagem zero), C4 permanece fechado, sem referencia operacional confirmada, sem rotulos, alvos ou negativos formais. Ausencia nao e tratada como negativo.",true,true
CASE_PET_3BB6F6D1E4,0,identificacao,"Caso CASE_PET_3BB6F6D1E4 — regiao PET, perigo FLOOD_LANDSLIDE, janela 2022-02-21 to 2022-03-01.",true,true
CASE_PET_3BB6F6D1E4,1,evidencia_externa,Fonte observacional externa: EXTERNAL_SOURCE_ABSENT_LOCAL. Exigida para qualquer afirmacao operacional.,true,true
CASE_PET_3BB6F6D1E4,2,contexto_hidromet,Contexto hidrometeorologico (INMET): HYDROMET_CONTEXT_AVAILABLE_REVIEW_ONLY. Apenas contexto; nao valida o evento.,true,true
CASE_PET_3BB6F6D1E4,3,papel_dino,DINO: DINO_NOT_PRESENT_CONTEXT_ONLY. Representacao estrutural review-only; nunca prova de evento.,true,true
CASE_PET_3BB6F6D1E4,4,vinculo_patch,Vinculo patch/evento: PATCH_LINK_ABSENT.,true,true
