exclusion_id,sar_target_id,exclusion_type,exclusion_reason_pt,applies_now,applies_in_future_execution,required_check_future,fail_closed_outcome_pt
EXC_00001,SAR_0001,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00002,SAR_0002,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00003,SAR_0003,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00004,SAR_0004,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00005,SAR_0005,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00006,SAR_0006,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00007,SAR_0007,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00008,SAR_0008,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00009,SAR_0009,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00010,SAR_0010,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00011,SAR_0011,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00012,SAR_0012,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00013,SAR_0013,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00014,SAR_0014,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00015,SAR_0015,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00016,SAR_0016,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00017,SAR_0017,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00018,SAR_0018,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00019,SAR_0019,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00020,SAR_0020,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00021,SAR_0021,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00022,SAR_0022,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00023,SAR_0023,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00024,SAR_0024,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00025,SAR_0025,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00026,SAR_0026,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00027,SAR_0027,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00028,SAR_0028,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00029,SAR_0029,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00030,SAR_0030,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00031,SAR_0031,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00032,SAR_0032,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00033,SAR_0033,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00034,SAR_0034,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00035,SAR_0035,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00036,SAR_0036,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00037,SAR_0037,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00038,SAR_0038,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00039,SAR_0039,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00040,SAR_0040,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00041,SAR_0041,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00042,SAR_0042,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00043,SAR_0043,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00044,SAR_0044,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00045,SAR_0045,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00046,SAR_0046,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00047,SAR_0047,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00048,SAR_0048,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00049,SAR_0049,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00050,SAR_0050,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
EXC_00051,SAR_0051,temporal_window_missing,sem janela pre/pos-evento; SAR nao pode ser recortado no tempo,true,false,false,"se o criterio ocorrer, excluir do canario e nao promover"
