backlog_id,screening_id,region,source_name,source_family,institution,access_mode,search_status,gates_this_source_could_support,acquisition_tracker_ref,notes
BKL_REC_2021_DC,SCR_REC_2021_FLOOD,RECIFE,Defesa Civil Municipal Recife — Relatório 2021,CIVIL_DEFENSE_RECORD,COMPDEC Recife,FORMAL_REQUEST,NOT_STARTED,"G1_EVENT_CONFIRMATION;G2_SOURCE_AVAILABILITY;G4_SPATIAL_ALIGNMENT;G7_REVIEW_GATE;G8_INDEPENDENT_CORROBORATION",ACQ_REC_DC_001,Solicitação formal ainda não iniciada. Template disponível em docs/templates/protocolo_c_solicitacao_fonte_observacional.md. Licença UNKNOWN — deve ser clarificada antes de qualquer uso.
BKL_REC_2021_CPRM,SCR_REC_2021_FLOOD,RECIFE,CPRM — Laudo pós-evento geológico Recife 2021,OFFICIAL_OBSERVED_FLOOD_MAP,Serviço Geológico do Brasil (CPRM),PUBLIC_PORTAL_REVIEW,NOT_STARTED,"G1_EVENT_CONFIRMATION;G2_SOURCE_AVAILABILITY;G5_SOURCE_STRENGTH;G6_UNCERTAINTY_AND_LIMITATIONS;G8_INDEPENDENT_CORROBORATION",ACQ_REC_CPRM_001,Portal RIGeo CPRM é público. Licença UNKNOWN — verificar termos de reutilização antes de qualquer uso.
BKL_REC_2021_SENT2,SCR_REC_2021_FLOOD,RECIFE,Sentinel-2 L2A pós-evento Recife 2021,SENTINEL_EVENT_IMAGE,ESA/Copernicus,PUBLIC_DOWNLOAD,NOT_STARTED,"G3_TEMPORAL_ALIGNMENT;G4_SPATIAL_ALIGNMENT;G5_SOURCE_STRENGTH",ACQ_REC_SENT2_001,Licença Copernicus Open (reutilização pública permitida). Dado bruto deve permanecer local-only. Requer anotação humana para fechar G4 e G5.
BKL_REC_2021_GFM,SCR_REC_2021_FLOOD,RECIFE,Copernicus GFM — produto de mapeamento de inundação 2021,OPERATIONAL_FLOOD_PRODUCT,Copernicus Emergency Management Service (CEMS),PUBLIC_DOWNLOAD,NOT_STARTED,"G2_SOURCE_AVAILABILITY;G4_SPATIAL_ALIGNMENT;G6_UNCERTAINTY_AND_LIMITATIONS",ACQ_REC_GFM_001,Produto algorítmico — não pode declarar ground truth sozinho. Incerteza deve ser documentada (G6). Licença pública mas redistribuição restrita.
BKL_REC_2022_DC,SCR_REC_2022_FLOOD,RECIFE,Defesa Civil Municipal Recife — Relatório 2022,CIVIL_DEFENSE_RECORD,COMPDEC Recife,FORMAL_REQUEST,NOT_STARTED,"G1_EVENT_CONFIRMATION;G2_SOURCE_AVAILABILITY;G4_SPATIAL_ALIGNMENT;G7_REVIEW_GATE;G8_INDEPENDENT_CORROBORATION",ACQ_REC_DC_002,Pode ser bundled na mesma solicitação de 2021 à COMPDEC. Licença UNKNOWN — deve ser clarificada.
BKL_PET_2022_DC,SCR_PET_2022_FEB,PETROPOLIS,Defesa Civil Municipal Petrópolis — Relatório Fevereiro 2022,CIVIL_DEFENSE_RECORD,Defesa Civil Municipal Petrópolis,FORMAL_REQUEST,NOT_STARTED,"G1_EVENT_CONFIRMATION;G2_SOURCE_AVAILABILITY;G4_SPATIAL_ALIGNMENT;G7_REVIEW_GATE;G8_INDEPENDENT_CORROBORATION",ACQ_PET_DC_001,Solicitação formal ainda não iniciada. Evento de alta visibilidade aumenta probabilidade de documentação disponível. Separação inundação-deslizamento obrigatória na revisão.
BKL_PET_2022_CPRM,SCR_PET_2022_FEB,PETROPOLIS,CPRM — Laudo pós-evento geológico Petrópolis Fevereiro 2022,OFFICIAL_OBSERVED_FLOOD_MAP,Serviço Geológico do Brasil (CPRM),PUBLIC_PORTAL_REVIEW,NOT_STARTED,"G1_EVENT_CONFIRMATION;G2_SOURCE_AVAILABILITY;G5_SOURCE_STRENGTH;G6_UNCERTAINTY_AND_LIMITATIONS;G8_INDEPENDENT_CORROBORATION",ACQ_PET_CPRM_001,CPRM publicou análise pós-evento do fevereiro de 2022. Portal RIGeo público. Licença UNKNOWN — verificar termos.
BKL_PET_2022_SENT2,SCR_PET_2022_FEB,PETROPOLIS,Sentinel-2 L2A pós-evento Petrópolis Fevereiro 2022,SENTINEL_EVENT_IMAGE,ESA/Copernicus,PUBLIC_DOWNLOAD,NOT_STARTED,"G3_TEMPORAL_ALIGNMENT;G4_SPATIAL_ALIGNMENT;G5_SOURCE_STRENGTH",ACQ_PET_SENT2_001,Cobertura de nuvem em fevereiro é risco metodológico significativo. Complementação com SAR recomendada. Licença Copernicus Open.
BKL_CUR_2022_DC,SCR_CUR_2022,CURITIBA,Defesa Civil Municipal Curitiba — Relatório 2022,CIVIL_DEFENSE_RECORD,Defesa Civil Municipal Curitiba,FORMAL_REQUEST,NOT_STARTED,"G1_EVENT_CONFIRMATION;G2_SOURCE_AVAILABILITY;G4_SPATIAL_ALIGNMENT;G7_REVIEW_GATE;G8_INDEPENDENT_CORROBORATION",ACQ_CUR_DC_001,Pode cobrir também 2023 na mesma solicitação. Curitiba tem registros bem organizados. Licença UNKNOWN — deve ser clarificada.
BKL_CUR_2022_SENT2,SCR_CUR_2022,CURITIBA,Sentinel-2 L2A pós-evento Curitiba 2022,SENTINEL_EVENT_IMAGE,ESA/Copernicus,PUBLIC_DOWNLOAD,NOT_STARTED,"G3_TEMPORAL_ALIGNMENT;G4_SPATIAL_ALIGNMENT;G5_SOURCE_STRENGTH",ACQ_CUR_SENT2_001,Contexto urbano com boa cobertura Sentinel. Licença Copernicus Open.
