id_critica,categoria,critica,severidade,fatalidade,artefato_relacionado,evidencia_no_repositorio,risco_metodologico,resposta_recomendada,acao_corretiva,prioridade,status
C01,n_amostral,"n=12 (4/4/4) e estatisticamente vazio; apenas 6 pares intra-cidade por cidade; sem IC, permutacao ou bootstrap.",critica,fatal,outputs_public/metrics/revp_validacao_label_free_evidencia_estrutural_mv1.json,contagem_por_cidade 4/4/4; total_pares intra=6 na matriz topologica,Overclaim estatistico a partir de amostra ilustrativa,Manter rotulo de piloto exploratorio; nunca reivindicar inferencia,Expandir para >=30 e idealmente 59 patches e reportar permutacao/bootstrap,P1,controlado_como_piloto
C02,n_amostral,"Ausencia de teste de significancia, intervalo de confianca ou permutacao nas distancias topologicas.",alta,corrigivel,outputs_public/execution_reports/revp_validacao_label_free_evidencia_estrutural_mv1.md,Secao 10/11 reporta medias sem incerteza,Leitura de separacao sem suporte estatistico,Adicionar teste de permutacao e IC quando o corpus expandir,Calcular significancia das distancias intra vs inter,P2,aberto
C03,dinov2_sentinel,DINOv2 (pre-treino RGB natural) aplicado a Sentinel multiespectral sem checagem de dominio nem controle nulo.,alta,fatal,outputs_public/execution_reports/revp_validacao_label_free_evidencia_estrutural_mv1.md,Secao 13: checagem de dominio descrita apenas como piloto,Embeddings podem capturar artefato espectral em vez de semantica de cena,Bloquear qualquer claim estrutural ate validacao de dominio,Executar sanity check DINOv2-Sentinel com controle nulo e augmentacoes,P1,aberto
C04,dinov2_sentinel,"Nao esta documentado como Sentinel foi convertido para a entrada do encoder (bandas, normalizacao, composicao RGB).",media,corrigivel,manifests/dino_inputs/revp_v1fu_dino_sentinel_input_manifest/dino_sentinel_input_manifest_v1fu.csv,Inventario DINO sem coluna de composicao de bandas/normalizacao,Encoder nao reproduzivel sem a receita de entrada,Documentar pipeline Sentinel para entrada do encoder,"Registrar bandas, normalizacao e CRS de entrada",P2,aberto
C05,ground_truth,Ground truth operacional ausente; nenhuma geometria de evento observado adquirida apos cadeia longa.,critica,limitacao_aceitavel,outputs_public/metrics/revp_protocolo_ground_truth_fail_closed_mv1.json,ground_truth_operacional_status=ausente; G2/G3 bloqueados,Sem GT nao ha validacao operacional possivel,Manter declarado como ausente; nunca simular GT,Aquisicao de geometria de evento observado (CEMADEN/Charter/Defesa Civil),P1,declarado
C06,ground_truth,Gates G0/G1 marcados como parcial podem ser lidos como progresso rumo a treino.,media,corrigivel,outputs_public/tables/revp_gates_readiness_treino_mv1.csv,G0/G1 status=parcial com bloqueia_treino=true,Ambiguidade entre rastreabilidade de patch e prontidao de treino,Reforcar em texto que parcial nao equivale a liberavel,Anotar explicitamente que parcial mantem bloqueio,P2,controlado
C07,negativos_formais,Ausencia de negativos formais; politica exige evidencia explicita de nao-inundacao que nao existe.,alta,limitacao_aceitavel,docs/metodologia_cientifica/revp_politica_evidencia_negativa_mv1.md,negativos_formais=ausente; G6 bloqueado,Tentacao de criar pseudo-negativos por ausencia,Manter G6 bloqueado ate fonte de nao-ocorrencia observada,Definir fonte independente de nao-ocorrencia,P1,declarado
C08,negativos_formais,"Risco unknown=negative guardado apenas por guardrail textual, sem checagem programatica que falhe se violado.",media,fatal,outputs_public/tables/revp_guardrails_validacao_label_free_mv1.csv,Guardrail 'unknown nao vira negativo' em prosa/CSV,"Se relaxado, gera classe 0 espuria",Converter guardrail em teste automatizado,Adicionar assert que falha se unknown for usado como negativo,P1,controlado
C09,negativos_formais,Risco de Curitiba virar negativo por default; Curitiba e 1/3 do n e serve de contraste estrutural.,alta,fatal,outputs_public/tables/revp_matriz_topologica_cidades_mv1.csv,Curitiba usada como contraste; guardrail textual,Contraste regional lido implicitamente como rotulo negativo,Nunca apresentar Curitiba como sem-evento=negativo,Bloquear programaticamente cidade como classe negativa,P1,controlado
C10,evidencia_externa,Risco de evidencia contextual virar label; hoje guardado por score_evidencia_eh_label=false.,media,fatal,outputs_public/execution_reports/revp_validacao_label_free_evidencia_estrutural_mv1.md,Secao 12: score_evidencia_eh_label sempre false,Promocao de probe contextual a alvo supervisionado,Manter evidencia contextual apenas como probe externo,Manter campo de label sempre false com teste,P1,controlado
C11,evidencia_externa,Downloads externos incompletos: CEMADEN exige solicitacao formal; APAC/Copernicus bloqueados; ANA sem serie por estacao.,alta,corrigivel,outputs_public/tables/revp_integracao_marco_label_free_evidencias_externas_navegacao_mv1.csv,FONTE_NAC_001 requer_solicitacao_formal; FONTE_NAC_005/INT_001 bloqueados,Lacuna de fonte independente para ground truth,Solicitacao formal/LAI e consulta HidroWeb por estacao,Emitir pedidos formais e completar serie ANA do Capibaribe,P1,parcial
C12,evidencia_externa,SGB/CPRM disponivel apenas como PDF do mapa; SIG vetorial completo (1.8 GB) nao baixado.,media,corrigivel,outputs_public/execution_reports/revp_navegacao_downloads_evidencias_externas_mv1.md,Secao 13: SIG vetorial nao baixado por tamanho,Suscetibilidade sem vetor leve dificulta uso auditavel,Obter recorte vetorial leve do municipio-alvo,Solicitar/derivar vetor leve da carta SGB,P2,aberto
C13,geometria,"Nenhuma geometria de evento observado; apenas contexto territorial (malhas IBGE, bacias GeoCuritiba).",alta,limitacao_aceitavel,outputs_public/execution_reports/revp_navegacao_downloads_evidencias_externas_mv1.md,Secao 11: todas as geometrias com overlay bloqueado,Sem footprint observado nao ha overlay patch-evento,Adquirir/digitalizar footprint de evento observado,Encaminhar digitalizacao de footprint a revisao humana,P1,declarado
C14,crs,Geometria REC_002 reprojetada de EPSG:32725 para 4326; CRS misto sem validacao vetorial fechada.,media,corrigivel,outputs_public/execution_reports/revp_navegacao_downloads_evidencias_externas_mv1.md,GEO_FONTE_REC_002 origem EPSG:32725 para EPSG:4326,Erro de reprojecao pode deslocar geometria antes de overlay,Validar CRS e transformacao antes de qualquer overlay,Auditar reprojecao com pontos de controle,P2,aberto
C15,temporalidade,156/164 patches sem metadados temporais; 0 com 3 ou mais datas uteis; Trilha A morta.,alta,limitacao_aceitavel,outputs_public/metrics/revp_auditoria_prontidao_temporal_assets_mv1.json,METADADOS_TEMPORAIS_AUSENTES=156; patches_com_3_ou_mais_datas=0,Sem serie temporal nao ha deslocamento temporal,Manter Trilha A bloqueada e declarada,Registrar datas Sentinel por patch ao expandir,P1,declarado
C16,temporalidade,"Os 12 embeddings nao tem data de aquisicao confirmada; topologia pode refletir condicao de aquisicao, nao cidade.",alta,fatal,outputs_public/metrics/revp_auditoria_prontidao_temporal_assets_mv1.json,Inventario DINO sem data_aquisicao; auditoria registra ausencia,Confounding temporal sobre o unico resultado numerico,Nao promover o resultado ate controlar data por patch,Registrar data de aquisicao dos 12 e controlar,P1,aberto
C17,cloud_cover,162/164 patches sem fracao de nuvem por patch; nuvem e confound visual direto para o encoder.,alta,fatal,outputs_public/metrics/revp_auditoria_prontidao_temporal_assets_mv1.json,METADADOS_NUVEM_AUSENTES=162,Nuvem pode dominar o embedding em vez da cena,Nao promover o resultado ate controlar nuvem por patch,Registrar fracao de nuvem por patch dos 12,P1,aberto
C18,circularidade,"Politica anti-leakage formalizada, mas matriz label-feature por amostra ainda nao preenchida.",media,fatal,docs/metodologia_cientifica/revp_politica_anti_leakage_mv1.md,G7 bloqueado; matriz label-feature ausente por nao haver amostra,Circularidade entre fonte de label e fonte de feature,Manter G7 bloqueado; preencher matriz por candidato,Instanciar matriz label-feature quando surgir candidato,P1,controlado
C19,circularidade,REC_00019 aparece como amostra estrutural e e candidato positivo historico forte; risco de circularidade futura.,media,corrigivel,outputs_public/tables/revp_vizinhos_embeddings_label_free_mv1.csv,MV1_LABEL_FREE_0009=REC_00019 na topologia,Mesma feature que sustenta topologia viraria fonte de label,Marcar REC_00019 para separacao explicita feature/label,Sinalizar REC_00019 na matriz anti-leakage,P2,aberto
