id_item_revisao,tipo_item,cidade,regiao,fonte_ou_artefato,categoria,evidencia_disponivel,geometria_disponivel,crs_disponivel,janela_temporal_disponivel,risco_circularidade,risco_landslide_vs_flood,pode_virar_label_agora,pode_apoiar_ground_truth_futuro,gates_potencialmente_afetados,gates_bloqueados,acao_humana_necessaria,prioridade_revisao,observacao_metodologica
REV_EVENTO_001,evento_candidato,Recife,Nordeste,EV_FONTE_REC_002,desastre_hidrometeorologico_composto,true,true,true,true,medio,alto,false,true,G4_fonte_label_independente;G5_revisao_humana_completa;G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G0_patch_id_valido;G1_asset_id_valido;G7_anti_leakage_aprovado,G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G4_fonte_label_independente;G5_revisao_humana_completa;G6_politica_negativo_satisfeita;G7_anti_leakage_aprovado;G8_liberado_para_treino_true,"revisar fonte, separar landslide vs flood, confirmar geometria, janela e independência",alta,Digitalizacao candidata nao revisada (review_status=provided_unreviewed). Produto pode misturar scars de deslizamento com area de inundacao: NAO assumir flood extent.
REV_EVENTO_002,evento_candidato,Petropolis,Sudeste,EV_FONTE_PET_001,deslizamento,true,false,false,true,medio,alto,false,true,G4_fonte_label_independente;G5_revisao_humana_completa;G2_janela_temporal_fechada;G0_patch_id_valido;G1_asset_id_valido;G7_anti_leakage_aprovado,G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G4_fonte_label_independente;G5_revisao_humana_completa;G6_politica_negativo_satisfeita;G7_anti_leakage_aprovado;G8_liberado_para_treino_true,"revisar fonte, separar landslide vs flood, confirmar geometria, janela e independência",media,Evento de DESLIZAMENTO. Nao confundir com flood extent. Proveniencia: v1if_official_source_download_log.csv (OBS_PET_001).
REV_EVENTO_003,evento_candidato,Petropolis,Sudeste,EV_FONTE_PET_002,deslizamento,true,false,false,true,medio,alto,false,true,G4_fonte_label_independente;G5_revisao_humana_completa;G2_janela_temporal_fechada;G0_patch_id_valido;G1_asset_id_valido;G7_anti_leakage_aprovado,G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G4_fonte_label_independente;G5_revisao_humana_completa;G6_politica_negativo_satisfeita;G7_anti_leakage_aprovado;G8_liberado_para_treino_true,"revisar fonte, separar landslide vs flood, confirmar geometria, janela e independência",media,Artefato pesado: permanece em local_only. Conteudo vetorial nao confirmado; requer inspecao manual antes de qualquer uso geometrico.
REV_EVENTO_004,evento_candidato,Petropolis,Sudeste,EV_FONTE_PET_003,deslizamento,true,false,false,true,medio,alto,false,true,G4_fonte_label_independente;G5_revisao_humana_completa;G2_janela_temporal_fechada;G0_patch_id_valido;G1_asset_id_valido;G7_anti_leakage_aprovado,G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G4_fonte_label_independente;G5_revisao_humana_completa;G6_politica_negativo_satisfeita;G7_anti_leakage_aprovado;G8_liberado_para_treino_true,"revisar fonte, separar landslide vs flood, confirmar geometria, janela e independência",media,Um de 11 anexos por bairro (extraidos do ZIP OBS_PET_002). Evento de deslizamento; nao flood.
REV_EVENTO_005,evento_candidato,Curitiba,Sul,EV_FONTE_CUR_001,alagamento,parcial,false,false,true,medio,baixo,false,true,G4_fonte_label_independente;G5_revisao_humana_completa;G2_janela_temporal_fechada;G0_patch_id_valido;G1_asset_id_valido;G7_anti_leakage_aprovado,G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G4_fonte_label_independente;G5_revisao_humana_completa;G6_politica_negativo_satisfeita;G7_anti_leakage_aprovado;G8_liberado_para_treino_true,"revisar fonte, separar landslide vs flood, confirmar geometria, janela e independência",media,Classificada como CONTEXT_ONLY_NO_GEOMETRY na passada v2cd. Nenhuma coordenada extraivel; nao sustenta geometria.
REV_EVENTO_006,evento_candidato,Petropolis,Sudeste,EV_FONTE_NAC_006,deslizamento,parcial,false,false,false,medio,alto,false,true,G4_fonte_label_independente;G5_revisao_humana_completa;G0_patch_id_valido;G1_asset_id_valido;G7_anti_leakage_aprovado,G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G4_fonte_label_independente;G5_revisao_humana_completa;G6_politica_negativo_satisfeita;G7_anti_leakage_aprovado;G8_liberado_para_treino_true,"revisar fonte, separar landslide vs flood, confirmar geometria, janela e independência",media,"Log v1if (OBS_PET_003): NO_URL, requer solicitacao formal DRM-RJ/NADE."
REV_EVENTO_007,evento_candidato,Petropolis,Internacional,EV_FONTE_INT_001,deslizamento,true,false,false,false,medio,alto,false,true,G4_fonte_label_independente;G5_revisao_humana_completa;G0_patch_id_valido;G1_asset_id_valido;G7_anti_leakage_aprovado,G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G4_fonte_label_independente;G5_revisao_humana_completa;G6_politica_negativo_satisfeita;G7_anti_leakage_aprovado;G8_liberado_para_treino_true,"revisar fonte, separar landslide vs flood, confirmar geometria, janela e independência",media,"ID exato da ativacao (EMSR) para Petropolis nao foi confirmado na busca; nao inventar. Produto pode delimitar deslizamento, nao flood."
REV_EVENTO_008,evento_candidato,Petropolis,Internacional,EV_FONTE_INT_002,desastre_hidrometeorologico_composto,parcial,false,false,true,medio,alto,false,true,G4_fonte_label_independente;G5_revisao_humana_completa;G2_janela_temporal_fechada;G0_patch_id_valido;G1_asset_id_valido;G7_anti_leakage_aprovado,G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G4_fonte_label_independente;G5_revisao_humana_completa;G6_politica_negativo_satisfeita;G7_anti_leakage_aprovado;G8_liberado_para_treino_true,"revisar fonte, separar landslide vs flood, confirmar geometria, janela e independência",media,"NHESS vol. 23, p. 1157, 2023. Usar como referencia documental; nao tratar figuras do artigo como geometria auditavel."
REV_GEOMETRIA_001,geometria_contextual,Petropolis,Sudeste,GEO_ARQ_IBGE_PET,Polygon,true,true,true,false,medio,baixo,false,true,G4_fonte_label_independente;G5_revisao_humana_completa;G3_geometria_espacial_fechada;G0_patch_id_valido;G1_asset_id_valido;G7_anti_leakage_aprovado,G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G4_fonte_label_independente;G5_revisao_humana_completa;G6_politica_negativo_satisfeita;G7_anti_leakage_aprovado;G8_liberado_para_treino_true,"revisar se a geometria é contexto, suscetibilidade ou evento observado antes de qualquer uso patch-level",alta,"Limite municipal oficial via API de malhas do IBGE; contexto territorial, nao evento."
REV_GEOMETRIA_002,geometria_contextual,Recife,Nordeste,GEO_ARQ_IBGE_REC,Polygon,true,true,true,false,medio,baixo,false,true,G4_fonte_label_independente;G5_revisao_humana_completa;G3_geometria_espacial_fechada;G0_patch_id_valido;G1_asset_id_valido;G7_anti_leakage_aprovado,G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G4_fonte_label_independente;G5_revisao_humana_completa;G6_politica_negativo_satisfeita;G7_anti_leakage_aprovado;G8_liberado_para_treino_true,"revisar se a geometria é contexto, suscetibilidade ou evento observado antes de qualquer uso patch-level",alta,"Limite municipal oficial via API de malhas do IBGE; contexto territorial, nao evento."
