checklist_id,recife_package_id,decision_stage,review_question,required_evidence,current_evidence,acceptable_decision,current_recommendation,cannot_infer,can_create_ground_truth,can_create_patch_truth,can_create_label,can_create_negative,can_train_model,request_pack_is_not_evidence,human_review_dossier_is_not_ground_truth,charter_raster_is_not_vector_geometry,ana_stage_is_not_precipitation,apac_pdf_is_not_station_series,inmet_proxy_is_not_local_station,candidate_reference_is_not_final_truth,raw_data_versioned
CHK_v2bk_001,ARP_v2az_0005,C5_HUMAN_REVIEW,O mapa Charter realmente cobre Recife?,Produto Charter 758 com extensao espacial em Recife,Mapa raster presente; produto 'Recife/PE',ACCEPT_FOR_CANDIDATE_REFERENCE|KEEP_PENDING|REJECT_FOR_NOW|REQUEST_MORE_EVIDENCE|MARK_HAZARD_AMBIGUOUS,KEEP_PENDING,Confirmar visualmente; nao inferir cobertura.,false,false,false,false,false,true,true,true,true,true,true,true,false
CHK_v2bk_002,ARP_v2az_0005,C5_HUMAN_REVIEW,"A feicao e deslizamento, inundacao, dano ou multihazard?",Legenda/classes do produto,Identificado como LANDSLIDE_SCARS (landslide scars); falta confirmacao oficial,ACCEPT_FOR_CANDIDATE_REFERENCE|KEEP_PENDING|REJECT_FOR_NOW|REQUEST_MORE_EVIDENCE|MARK_HAZARD_AMBIGUOUS,MARK_HAZARD_AMBIGUOUS,Landslide scar nao e flood extent; aguardar confirmacao CENAD.,false,false,false,false,false,true,true,true,true,true,true,true,false
CHK_v2bk_003,ARP_v2az_0005,C5_HUMAN_REVIEW,O produto e raster ou vetor?,Tipo de arquivo do produto,Raster (PNG) presente; vetor nao confirmado,ACCEPT_FOR_CANDIDATE_REFERENCE|KEEP_PENDING|REJECT_FOR_NOW|REQUEST_MORE_EVIDENCE|MARK_HAZARD_AMBIGUOUS,REQUEST_MORE_EVIDENCE,Raster nao e geometria vetorial.,false,false,false,false,false,true,true,true,true,true,true,true,false
CHK_v2bk_004,ARP_v2az_0005,C5_HUMAN_REVIEW,Existe CRS?,Metadado de CRS/EPSG,CRS ABSENT_OR_UNKNOWN,ACCEPT_FOR_CANDIDATE_REFERENCE|KEEP_PENDING|REJECT_FOR_NOW|REQUEST_MORE_EVIDENCE|MARK_HAZARD_AMBIGUOUS,REQUEST_MORE_EVIDENCE,"Sem CRS legivel, geometria nao promove.",false,false,false,false,false,true,true,true,true,true,true,true,false
CHK_v2bk_005,ARP_v2az_0005,C5_HUMAN_REVIEW,A geometria pode ser revisada manualmente?,Vetor + CRS revisaveis,Validade geometrica: NOT_AVAILABLE,ACCEPT_FOR_CANDIDATE_REFERENCE|KEEP_PENDING|REJECT_FOR_NOW|REQUEST_MORE_EVIDENCE|MARK_HAZARD_AMBIGUOUS,KEEP_PENDING,Apenas mapa revisavel; geometria depende de vetor/CRS.,false,false,false,false,false,true,true,true,true,true,true,true,false
CHK_v2bk_006,ARP_v2az_0005,C5_HUMAN_REVIEW,A evidencia temporal local existe?,Serie de chuva local Recife/RMR na janela,Status temporal: NO_SERIES_AVAILABLE; A301 PRECIP_FULL_GAP,ACCEPT_FOR_CANDIDATE_REFERENCE|KEEP_PENDING|REJECT_FOR_NOW|REQUEST_MORE_EVIDENCE|MARK_HAZARD_AMBIGUOUS,REQUEST_MORE_EVIDENCE,Cemaden/APAC local ainda necessarios.,false,false,false,false,false,true,true,true,true,true,true,true,false
CHK_v2bk_007,ARP_v2az_0005,C5_HUMAN_REVIEW,ANA cota e apenas contexto hidrologico?,Papel da serie ANA,ANA Capibaribe (Sao Lourenco da Mata/RMR) presente,ACCEPT_FOR_CANDIDATE_REFERENCE|KEEP_PENDING|REJECT_FOR_NOW|REQUEST_MORE_EVIDENCE|MARK_HAZARD_AMBIGUOUS,KEEP_PENDING,Cota nao e precipitacao nem flood extent.,false,false,false,false,false,true,true,true,true,true,true,true,false
CHK_v2bk_008,ARP_v2az_0005,C5_HUMAN_REVIEW,"APAC PDF mensal e suficiente para C1, mas nao C2 completo?",Natureza do PDF APAC,APAC mensal presente,ACCEPT_FOR_CANDIDATE_REFERENCE|KEEP_PENDING|REJECT_FOR_NOW|REQUEST_MORE_EVIDENCE|MARK_HAZARD_AMBIGUOUS,KEEP_PENDING,"Agregado mensal: contexto de C1, nao serie de estacao para C2.",false,false,false,false,false,true,true,true,true,true,true,true,false
CHK_v2bk_009,ARP_v2az_0005,C6_CANDIDATE_REFERENCE,Cemaden/APAC local ainda e necessario?,Serie local de chuva,Sim; pendente de download manual/solicitacao,ACCEPT_FOR_CANDIDATE_REFERENCE|KEEP_PENDING|REJECT_FOR_NOW|REQUEST_MORE_EVIDENCE|MARK_HAZARD_AMBIGUOUS,REQUEST_MORE_EVIDENCE,C2 so completa com serie local.,false,false,false,false,false,true,true,true,true,true,true,true,false
CHK_v2bk_010,ARP_v2az_0005,C6_CANDIDATE_REFERENCE,Ha base para candidate reference?,C1 suportado + C3 pass + C4 revisavel,C1=TEMPORALITY_SUPPORTED_FOR_HUMAN_REVIEW; C3=PASS; C4=MAP_PRESENT_PENDING_VECTOR_CRS,ACCEPT_FOR_CANDIDATE_REFERENCE|KEEP_PENDING|REJECT_FOR_NOW|REQUEST_MORE_EVIDENCE|MARK_HAZARD_AMBIGUOUS,KEEP_PENDING,Manter CANDIDATE_REFERENCE_PENDING_HUMAN_REVIEW.,false,false,false,false,false,true,true,true,true,true,true,true,false
CHK_v2bk_011,ARP_v2az_0005,C6_CANDIDATE_REFERENCE,Ha base para ground truth final?,Todos os gates resolvidos + revisao humana + vetor/CRS + serie local,"Nao: C2 parcial, C4 sem vetor/CRS, C7 bloqueado",ACCEPT_FOR_CANDIDATE_REFERENCE|KEEP_PENDING|REJECT_FOR_NOW|REQUEST_MORE_EVIDENCE|MARK_HAZARD_AMBIGUOUS,KEEP_PENDING,Nao. Ground truth final permanece proibido (C7 BLOCKED).,false,false,false,false,false,true,true,true,true,true,true,true,false
