science_readiness_gate_id,gate_name,gate_status,passes,blocking_reason,required_next_action,review_only
S17C22_SCIGATE_0001,sensor_artifact_real,pass,true,not_applicable,manter rastreabilidade,true
S17C22_SCIGATE_0002,sensor_artifact_hash_verified,pass,true,not_applicable,manter manifesto,true
S17C22_SCIGATE_0003,sensor_replay_verified,pass,true,not_applicable,manter replay,true
S17C22_SCIGATE_0004,pre_event_feature_only,pass,true,not_applicable,manter separacao temporal,true
S17C22_SCIGATE_0005,fallback_policy_pending,blocked,false,fonte fallback exige revisao de politica antes de ciencia,revisar politica de fonte fallback,true
S17C22_SCIGATE_0006,event_geometry_missing,blocked,false,geometria do evento observado ainda ausente,obter artefato de evento com geometria,true
S17C22_SCIGATE_0007,phenomenon_gate_missing,blocked,false,separacao de fenomeno ainda nao satisfeita,obter evidencia de fenomeno,true
S17C22_SCIGATE_0008,patch_candidate_policy_missing,blocked,false,politica formal de patch candidato ausente,definir politica de patch candidato,true
S17C22_SCIGATE_0009,ground_reference_missing,blocked,false,artefatos de evento para Ground Reference ausentes,adquirir Ground Reference,true
S17C22_SCIGATE_0010,training_blocked,blocked,false,treino bloqueado ate ciencia e ground reference,manter bloqueio,true
S17C22_SCIGATE_0011,score_v7_blocked,blocked,false,score v7 bloqueado ate politica e ground reference,manter bloqueio,true
S17C22_SCIGATE_0012,17b_blocked,blocked,false,17B bloqueado ate evento e politica,manter bloqueio,true
