gate_id,turning_point_level,gate_name,required_condition,observed_value,gate_passed,severity,blocking_reason,recommended_action,notes
V2BH_GATE_665597f671f8,TP2_CHARTER_DIGITIZED_POLYGON_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP2G_01_OFFICIAL_PRODUCT_EXISTS,tp2g_01_official_product_exists,passed=true,true,blocking,,Human review required,TP2 candidate is not final ground truth.
V2BH_GATE_d9a725633f80,TP2_CHARTER_DIGITIZED_POLYGON_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP2G_02_OFFICIAL_PRODUCT_HASHED,tp2g_02_official_product_hashed,passed=true,true,blocking,,Human review required,TP2 candidate is not final ground truth.
V2BH_GATE_a09abcf7ca7e,TP2_CHARTER_DIGITIZED_POLYGON_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP2G_03_CARTOGRAPHIC_CUES_INSPECTED,tp2g_03_cartographic_cues_inspected,passed=true,true,blocking,,Human review required,TP2 candidate is not final ground truth.
V2BH_GATE_b59533963de7,TP2_CHARTER_DIGITIZED_POLYGON_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP2G_04_GEOREFERENCING_METHOD_AVAILABLE,tp2g_04_georeferencing_method_available,passed=true,true,blocking,,Human review required,TP2 candidate is not final ground truth.
V2BH_GATE_21ff26353814,TP2_CHARTER_DIGITIZED_POLYGON_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP2G_05_OBSERVED_SCARS_DETECTED_OR_DIGITIZED,tp2g_05_observed_scars_detected_or_digitized,passed=true,true,blocking,,Human review required,TP2 candidate is not final ground truth.
V2BH_GATE_9fa10d015f20,TP2_CHARTER_DIGITIZED_POLYGON_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP2G_06_SCARS_GEOREFERENCED,tp2g_06_scars_georeferenced,passed=true,true,blocking,,Human review required,TP2 candidate is not final ground truth.
V2BH_GATE_a347509d2ade,TP2_CHARTER_DIGITIZED_POLYGON_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP2G_07_EVENT_POLYGON_VALID,tp2g_07_event_polygon_valid,passed=true,true,blocking,,Human review required,TP2 candidate is not final ground truth.
V2BH_GATE_dd5e4ca7ef6e,TP2_CHARTER_DIGITIZED_POLYGON_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP2G_08_EVENT_POLYGON_CRS_RECORDED,tp2g_08_event_polygon_crs_recorded,passed=true,true,blocking,,Human review required,TP2 candidate is not final ground truth.
V2BH_GATE_44d181f0a4eb,TP2_CHARTER_DIGITIZED_POLYGON_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP2G_09_NOT_PATCH_BOUNDARY_DUPLICATE,tp2g_09_not_patch_boundary_duplicate,passed=true,true,safety,,Human review required,TP2 candidate is not final ground truth.
V2BH_GATE_7752121407d1,TP2_CHARTER_DIGITIZED_POLYGON_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP2G_10_TP2_FEED_READY,tp2g_10_tp2_feed_ready,passed=true,true,blocking,,Human review required,TP2 candidate is not final ground truth.
V2BH_GATE_bcbbee92b179,TP2_CHARTER_DIGITIZED_POLYGON_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP2G_11_HUMAN_REVIEW_REQUIRED,tp2g_11_human_review_required,passed=true,true,safety,,Human review required,TP2 candidate is not final ground truth.
V2BH_GATE_ff8976e2bcdd,TP2_CHARTER_DIGITIZED_POLYGON_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP2G_12_NO_LABEL_CREATED,tp2g_12_no_label_created,passed=true,true,safety,,Human review required,TP2 candidate is not final ground truth.
V2BH_GATE_be6ecbe593cc,TP2_CHARTER_DIGITIZED_POLYGON_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP2G_13_NO_MODEL_TRAINED,tp2g_13_no_model_trained,passed=true,true,safety,,Human review required,TP2 candidate is not final ground truth.
