target_rank,patch_id,asset_id,asset_ref,source_asset_ref,sensor_family,sensor_source_ref_public_or_redacted,source_type,spectral_eligible,support_only,evidence_strength,review_status,blocked_reason
1,REC_00019,e07eacbc8a366650,e07eacbc8a366650,<repo_local>/data/sentinel/patch_recife_00019.tif,SENTINEL_2,v2at:SENTINEL2_MSI(obs 2022-05-24); manifest:DINO_V1FU_SENTINEL_00092; asset:<repo_local>/data/sentinel/patch_recife_00019.tif,SENTINEL_TIF_ASSET,true,false,MEDIUM,NEEDS_REVIEW,EXPLICIT_S2_PRODUCT_ID_ABSENT_NEEDS_HUMAN_CONFIRM
2,REC_00183,37c34f5a6f1e21e2,37c34f5a6f1e21e2,<repo_local>/data/sentinel/patch_recife_00183.tif,SENTINEL_2,v2at:SENTINEL2_MSI(obs 2022-05-24); manifest:DINO_V1FU_SENTINEL_00093; asset:<repo_local>/data/sentinel/patch_recife_00183.tif,SENTINEL_TIF_ASSET,true,false,MEDIUM,NEEDS_REVIEW,EXPLICIT_S2_PRODUCT_ID_ABSENT_NEEDS_HUMAN_CONFIRM
3,REC_00204,f7d34b2045dd441d,f7d34b2045dd441d,<repo_local>/data/sentinel/patch_recife_00204.tif,SENTINEL_2,v2at:SENTINEL2_MSI(obs 2022-05-24); manifest:DINO_V1FU_SENTINEL_00094; asset:<repo_local>/data/sentinel/patch_recife_00204.tif,SENTINEL_TIF_ASSET,true,false,MEDIUM,NEEDS_REVIEW,EXPLICIT_S2_PRODUCT_ID_ABSENT_NEEDS_HUMAN_CONFIRM
4,REC_00205,bc6e6d18b88e7293,bc6e6d18b88e7293,<repo_local>/data/sentinel/patch_recife_00205.tif,SENTINEL_2,v2at:SENTINEL2_MSI(obs 2022-05-24); manifest:DINO_V1FU_SENTINEL_00095; asset:<repo_local>/data/sentinel/patch_recife_00205.tif,SENTINEL_TIF_ASSET,true,false,MEDIUM,NEEDS_REVIEW,EXPLICIT_S2_PRODUCT_ID_ABSENT_NEEDS_HUMAN_CONFIRM
5,REC_00227,7e4673aa5e1b50e0,7e4673aa5e1b50e0,<repo_local>/data/sentinel/patch_recife_00227.tif,SENTINEL_2,v2at:SENTINEL2_MSI(obs 2022-05-24); manifest:DINO_V1FU_SENTINEL_00096; asset:<repo_local>/data/sentinel/patch_recife_00227.tif,SENTINEL_TIF_ASSET,true,false,MEDIUM,NEEDS_REVIEW,EXPLICIT_S2_PRODUCT_ID_ABSENT_NEEDS_HUMAN_CONFIRM
6,PET_00016,19a5de5df7bd0cf8,19a5de5df7bd0cf8,<repo_local>/data/sentinel/patch_petropolis_00016.tif,UNKNOWN,manifest:DINO_V1FU_SENTINEL_00044; asset:<repo_local>/data/sentinel/patch_petropolis_00016.tif,SENTINEL_TIF_ASSET,false,false,WEAK,UNKNOWN_BLOCKED,NO_SENTINEL_2_DECLARATION
7,PET_00104,6641fb7c86ae0cbc,6641fb7c86ae0cbc,<repo_local>/data/sentinel/patch_petropolis_00104.tif,UNKNOWN,manifest:DINO_V1FU_SENTINEL_00045; asset:<repo_local>/data/sentinel/patch_petropolis_00104.tif,SENTINEL_TIF_ASSET,false,false,WEAK,UNKNOWN_BLOCKED,NO_SENTINEL_2_DECLARATION
8,PET_00119,b041e9a668bd0924,b041e9a668bd0924,<repo_local>/data/sentinel/patch_petropolis_00119.tif,UNKNOWN,manifest:DINO_V1FU_SENTINEL_00046; asset:<repo_local>/data/sentinel/patch_petropolis_00119.tif,SENTINEL_TIF_ASSET,false,false,WEAK,UNKNOWN_BLOCKED,NO_SENTINEL_2_DECLARATION
9,PET_00140,0e48288ff44594e1,0e48288ff44594e1,<repo_local>/data/sentinel/patch_petropolis_00140.tif,UNKNOWN,manifest:DINO_V1FU_SENTINEL_00047; asset:<repo_local>/data/sentinel/patch_petropolis_00140.tif,SENTINEL_TIF_ASSET,false,false,WEAK,UNKNOWN_BLOCKED,NO_SENTINEL_2_DECLARATION
10,PET_00240,97982ae9e9aa55b2,97982ae9e9aa55b2,<repo_local>/data/sentinel/patch_petropolis_00240.tif,UNKNOWN,manifest:DINO_V1FU_SENTINEL_00048; asset:<repo_local>/data/sentinel/patch_petropolis_00240.tif,SENTINEL_TIF_ASSET,false,false,WEAK,UNKNOWN_BLOCKED,NO_SENTINEL_2_DECLARATION
