search_id,search_root,file_path,file_name,file_extension,file_size_bytes,last_modified,match_type,matched_pattern,line_count_if_text,csv_row_count_if_csv,sha256,is_exact_expected_artifact_name,is_possible_embedded_artifact,forensic_status,blocking_reason,allowed_claim,forbidden_claim
SEARCH_v2ez_00001,C:\Users\gabriela\Documents\REV-P,C:\Users\gabriela\Documents\REV-P\datasets\protocol_c_hydromet_evidence_packet_registry_v1tg.csv,protocol_c_hydromet_evidence_packet_registry_v1tg.csv,.csv,3365,2026-06-02T16:19:46,name,evidence_packet_registry,10,9,45be48710f2e07bdfcde1661e091af1f5b10d4d18a39061c49f1a183f2664c73,false,false,FORENSIC_EMBEDDED_CSV_CANDIDATE,,"auditoria forense somente para revisao; identifica recuperabilidade sem criar ground truth operacional, rotulos, negativos, treinamento, deteccao ou predicao",ground truth operacional|rotulo binario|negativo formal|conjunto supervisionado|liberacao para treinamento|alegacao de deteccao|alegacao de predicao|decisao humana automatica
SEARCH_v2ez_00002,C:\Users\gabriela\Documents\REV-P,C:\Users\gabriela\Documents\REV-P\datasets\protocol_c_hydromet_review_integration_guardrail_audit_v1tl.csv,protocol_c_hydromet_review_integration_guardrail_audit_v1tl.csv,.csv,762,2026-06-02T16:19:50,content,evidence_packet_registry,10,9,19e0636419d76a6dcbb928e3d4b6a82ee3b6723246c766352256130e1341250f,false,true,FORENSIC_TEXT_REFERENCE_FOUND,referencia textual nao e conteudo recuperavel,"auditoria forense somente para revisao; identifica recuperabilidade sem criar ground truth operacional, rotulos, negativos, treinamento, deteccao ou predicao",ground truth operacional|rotulo binario|negativo formal|conjunto supervisionado|liberacao para treinamento|alegacao de deteccao|alegacao de predicao|decisao humana automatica
SEARCH_v2ez_00003,C:\Users\gabriela\Documents\REV-P,C:\Users\gabriela\Documents\REV-P\datasets\protocol_c_state_machine_registry_v1rn.csv,protocol_c_state_machine_registry_v1rn.csv,.csv,1863,2026-06-01T15:32:20,content,observed_event_registry,6,5,109b99250d5404b6e376cef8b13bae9a445fe65ba39659ea99b13ae6ebbc68d1,false,true,FORENSIC_TEXT_REFERENCE_FOUND,referencia textual nao e conteudo recuperavel,"auditoria forense somente para revisao; identifica recuperabilidade sem criar ground truth operacional, rotulos, negativos, treinamento, deteccao ou predicao",ground truth operacional|rotulo binario|negativo formal|conjunto supervisionado|liberacao para treinamento|alegacao de deteccao|alegacao de predicao|decisao humana automatica
SEARCH_v2ez_00004,C:\Users\gabriela\Documents\REV-P,C:\Users\gabriela\Documents\REV-P\datasets\recife_ground_reference_observed_event_registry_v1ov.csv,recife_ground_reference_observed_event_registry_v1ov.csv,.csv,2464,2026-05-31T04:58:02,name,observed_event_registry,5,4,e5c5835e0cb3572e638f1d83f5b726d55071cca9a3cfe064e5c2bb9dced61c6a,false,false,FORENSIC_EMBEDDED_CSV_CANDIDATE,,"auditoria forense somente para revisao; identifica recuperabilidade sem criar ground truth operacional, rotulos, negativos, treinamento, deteccao ou predicao",ground truth operacional|rotulo binario|negativo formal|conjunto supervisionado|liberacao para treinamento|alegacao de deteccao|alegacao de predicao|decisao humana automatica
SEARCH_v2ez_00005,C:\Users\gabriela\Documents\REV-P,C:\Users\gabriela\Documents\REV-P\datasets\recife_protocol_c_end_to_end_orchestration_v1pb.csv,recife_protocol_c_end_to_end_orchestration_v1pb.csv,.csv,2173,2026-05-31T09:25:57,content,observed_event_registry,17,16,f099cf2d543254718240f7cacc70485b058668770228fc7196a8b4f87536ce61,false,true,FORENSIC_TEXT_REFERENCE_FOUND,referencia textual nao e conteudo recuperavel,"auditoria forense somente para revisao; identifica recuperabilidade sem criar ground truth operacional, rotulos, negativos, treinamento, deteccao ou predicao",ground truth operacional|rotulo binario|negativo formal|conjunto supervisionado|liberacao para treinamento|alegacao de deteccao|alegacao de predicao|decisao humana automatica
SEARCH_v2ez_00006,C:\Users\gabriela\Documents\REV-P,C:\Users\gabriela\Documents\REV-P\datasets\recife_protocol_c_final_bundle_commit_candidate_files_v1pf.csv,recife_protocol_c_final_bundle_commit_candidate_files_v1pf.csv,.csv,10079,2026-05-31T09:26:20,content,observed_event_registry,81,80,5033ad6d12aa2656bffc897cef9714e1b7d588eb87e123825bd337eb4f3dec53,false,true,FORENSIC_TEXT_REFERENCE_FOUND,referencia textual nao e conteudo recuperavel,"auditoria forense somente para revisao; identifica recuperabilidade sem criar ground truth operacional, rotulos, negativos, treinamento, deteccao ou predicao",ground truth operacional|rotulo binario|negativo formal|conjunto supervisionado|liberacao para treinamento|alegacao de deteccao|alegacao de predicao|decisao humana automatica
SEARCH_v2ez_00007,C:\Users\gabriela\Documents\REV-P,C:\Users\gabriela\Documents\REV-P\datasets\recife_protocol_c_final_bundle_manifest_v1pf.csv,recife_protocol_c_final_bundle_manifest_v1pf.csv,.csv,4204,2026-05-31T09:26:20,content,observed_event_registry,38,37,436fbe9f8eece68b0a60d78daec28cc3c6a7d76b5c5ee7fca94366f85b984284,false,true,FORENSIC_TEXT_REFERENCE_FOUND,referencia textual nao e conteudo recuperavel,"auditoria forense somente para revisao; identifica recuperabilidade sem criar ground truth operacional, rotulos, negativos, treinamento, deteccao ou predicao",ground truth operacional|rotulo binario|negativo formal|conjunto supervisionado|liberacao para treinamento|alegacao de deteccao|alegacao de predicao|decisao humana automatica
SEARCH_v2ez_00008,C:\Users\gabriela\Documents\REV-P,C:\Users\gabriela\Documents\REV-P\datasets\recife_protocol_c_global_invariant_audit_v1pc.csv,recife_protocol_c_global_invariant_audit_v1pc.csv,.csv,10477,2026-05-31T09:26:05,content,observed_event_registry,65,64,8cce7ad3371bb8452e1f2f161abfc3284c9c64293503bb7b849ca34dcacefbe3,false,true,FORENSIC_TEXT_REFERENCE_FOUND,referencia textual nao e conteudo recuperavel,"auditoria forense somente para revisao; identifica recuperabilidade sem criar ground truth operacional, rotulos, negativos, treinamento, deteccao ou predicao",ground truth operacional|rotulo binario|negativo formal|conjunto supervisionado|liberacao para treinamento|alegacao de deteccao|alegacao de predicao|decisao humana automatica
SEARCH_v2ez_00009,C:\Users\gabriela\Documents\REV-P,C:\Users\gabriela\Documents\REV-P\datasets\recife_protocol_c_observed_evidence_manifest_v1pa.csv,recife_protocol_c_observed_evidence_manifest_v1pa.csv,.csv,2058,2026-05-31T04:58:27,content,observed_event_registry,13,12,f9540b79269c55b0e5d9bc66414d810f0e159d1b84827fbdf1ae702b2a9c9cd0,false,true,FORENSIC_TEXT_REFERENCE_FOUND,referencia textual nao e conteudo recuperavel,"auditoria forense somente para revisao; identifica recuperabilidade sem criar ground truth operacional, rotulos, negativos, treinamento, deteccao ou predicao",ground truth operacional|rotulo binario|negativo formal|conjunto supervisionado|liberacao para treinamento|alegacao de deteccao|alegacao de predicao|decisao humana automatica
SEARCH_v2ez_00010,C:\Users\gabriela\Documents\REV-P,C:\Users\gabriela\Documents\REV-P\datasets\recife_protocol_c_observed_evidence_quality_checks_v1pa.csv,recife_protocol_c_observed_evidence_quality_checks_v1pa.csv,.csv,11504,2026-05-31T04:58:27,content,observed_event_registry,79,78,bdeebfc695483aa0d05d838a88dcf0373d23b7374c814d48564c13294c640e31,false,true,FORENSIC_TEXT_REFERENCE_FOUND,referencia textual nao e conteudo recuperavel,"auditoria forense somente para revisao; identifica recuperabilidade sem criar ground truth operacional, rotulos, negativos, treinamento, deteccao ou predicao",ground truth operacional|rotulo binario|negativo formal|conjunto supervisionado|liberacao para treinamento|alegacao de deteccao|alegacao de predicao|decisao humana automatica
SEARCH_v2ez_00011,C:\Users\gabriela\Documents\REV-P,C:\Users\gabriela\Documents\REV-P\datasets\protocolo_c\v2ag_crosswalk_source_inventory.csv,v2ag_crosswalk_source_inventory.csv,.csv,552927,2026-06-04T20:07:26,content,observed_event_registry|evidence_packet_registry,1971,1970,8e622e0fe6d1ae0b18d0d4443f85931b3784f6af2d6f3145008dc48693a73e4c,false,true,FORENSIC_TEXT_REFERENCE_FOUND,referencia textual nao e conteudo recuperavel,"auditoria forense somente para revisao; identifica recuperabilidade sem criar ground truth operacional, rotulos, negativos, treinamento, deteccao ou predicao",ground truth operacional|rotulo binario|negativo formal|conjunto supervisionado|liberacao para treinamento|alegacao de deteccao|alegacao de predicao|decisao humana automatica
SEARCH_v2ez_00012,C:\Users\gabriela\Documents\REV-P,C:\Users\gabriela\Documents\REV-P\datasets\protocolo_c\v2al_manuscript_candidate_registry.csv,v2al_manuscript_candidate_registry.csv,.csv,99157,2026-06-06T10:32:12,content,observed_event_registry|evidence_packet_registry,518,517,d0def180a1ce6531cee33f5a1f83f15f35ebdcf3e607b1fd23da264e6b20983a,false,true,FORENSIC_TEXT_REFERENCE_FOUND,referencia textual nao e conteudo recuperavel,"auditoria forense somente para revisao; identifica recuperabilidade sem criar ground truth operacional, rotulos, negativos, treinamento, deteccao ou predicao",ground truth operacional|rotulo binario|negativo formal|conjunto supervisionado|liberacao para treinamento|alegacao de deteccao|alegacao de predicao|decisao humana automatica
SEARCH_v2ez_00013,C:\Users\gabriela\Documents\REV-P,C:\Users\gabriela\Documents\REV-P\datasets\protocolo_c\v2al_manuscript_patch_plan.csv,v2al_manuscript_patch_plan.csv,.csv,132778,2026-06-06T10:32:14,content,observed_event_registry|evidence_packet_registry,351,350,276fdfba780d3e6121c0fbc0d6749de5089c15814b9cfa0dd1a7f3fa9c1c3536,false,true,FORENSIC_TEXT_REFERENCE_FOUND,referencia textual nao e conteudo recuperavel,"auditoria forense somente para revisao; identifica recuperabilidade sem criar ground truth operacional, rotulos, negativos, treinamento, deteccao ou predicao",ground truth operacional|rotulo binario|negativo formal|conjunto supervisionado|liberacao para treinamento|alegacao de deteccao|alegacao de predicao|decisao humana automatica
SEARCH_v2ez_00014,C:\Users\gabriela\Documents\REV-P,C:\Users\gabriela\Documents\REV-P\datasets\schemas\protocol_c_hydromet_evidence_packet_registry_v1tg_schema.csv,protocol_c_hydromet_evidence_packet_registry_v1tg_schema.csv,.csv,1300,2026-06-02T16:19:46,name,evidence_packet_registry,26,25,5da467b48260cbb41973624fe926a9c3c695b59cb27f3f93611149dd62fcc277,false,false,FORENSIC_EMBEDDED_CSV_CANDIDATE,,"auditoria forense somente para revisao; identifica recuperabilidade sem criar ground truth operacional, rotulos, negativos, treinamento, deteccao ou predicao",ground truth operacional|rotulo binario|negativo formal|conjunto supervisionado|liberacao para treinamento|alegacao de deteccao|alegacao de predicao|decisao humana automatica
SEARCH_v2ez_00015,C:\Users\gabriela\Documents\REV-P,C:\Users\gabriela\Documents\REV-P\datasets\schemas\recife_ground_reference_observed_event_registry_v1ov_schema.csv,recife_ground_reference_observed_event_registry_v1ov_schema.csv,.csv,1718,2026-05-31T04:58:02,name,observed_event_registry,22,21,c326f6eb5cb195a8faf9fc25b6506bdff359fe1ddb5e733f1370d8fb67fa77fe,false,false,FORENSIC_EMBEDDED_CSV_CANDIDATE,,"auditoria forense somente para revisao; identifica recuperabilidade sem criar ground truth operacional, rotulos, negativos, treinamento, deteccao ou predicao",ground truth operacional|rotulo binario|negativo formal|conjunto supervisionado|liberacao para treinamento|alegacao de deteccao|alegacao de predicao|decisao humana automatica
SEARCH_v2ez_00016,C:\Users\gabriela\Documents\REV-P,C:\Users\gabriela\Documents\REV-P\docs\metodologia_cientifica\protocolo_c_status_atual_v1um.md,protocolo_c_status_atual_v1um.md,.md,771,2026-06-04T07:51:58,content,human_review_queue,24,,7d11e34a986123b5561bc2e45478d6d2bbe3c8dbde888ac27e02b4c5d74c9b31,false,true,FORENSIC_TEXT_REFERENCE_FOUND,referencia textual nao e conteudo recuperavel,"auditoria forense somente para revisao; identifica recuperabilidade sem criar ground truth operacional, rotulos, negativos, treinamento, deteccao ou predicao",ground truth operacional|rotulo binario|negativo formal|conjunto supervisionado|liberacao para treinamento|alegacao de deteccao|alegacao de predicao|decisao humana automatica
SEARCH_v2ez_00017,C:\Users\gabriela\Documents\REV-P,C:\Users\gabriela\Documents\REV-P\docs\metodologia_cientifica\protocolo_c_v1um_recife_human_review_locality_only.md,protocolo_c_v1um_recife_human_review_locality_only.md,.md,849,2026-06-04T07:51:58,content,human_review_queue,22,,9fba771aa7545b0b97efbebc250d06ffb78dd5aadc5a733c57db130d6f2e0763,false,true,FORENSIC_TEXT_REFERENCE_FOUND,referencia textual nao e conteudo recuperavel,"auditoria forense somente para revisao; identifica recuperabilidade sem criar ground truth operacional, rotulos, negativos, treinamento, deteccao ou predicao",ground truth operacional|rotulo binario|negativo formal|conjunto supervisionado|liberacao para treinamento|alegacao de deteccao|alegacao de predicao|decisao humana automatica
SEARCH_v2ez_00018,C:\Users\gabriela\Documents\REV-P,C:\Users\gabriela\Documents\REV-P\docs\metodologia_cientifica\revp_v1ov_ground_reference_observed_event_registry.md,revp_v1ov_ground_reference_observed_event_registry.md,.md,1060,2026-05-31T04:58:02,name,observed_event_registry,17,,b85f509ee5ee74c55d090d5f83db6309e60e6369e434324387c9361e4ba6105e,false,false,FORENSIC_EMBEDDED_CSV_CANDIDATE,,"auditoria forense somente para revisao; identifica recuperabilidade sem criar ground truth operacional, rotulos, negativos, treinamento, deteccao ou predicao",ground truth operacional|rotulo binario|negativo formal|conjunto supervisionado|liberacao para treinamento|alegacao de deteccao|alegacao de predicao|decisao humana automatica
