blocker_id,blocker_type,description,blocks_external_submission,blocks_17b,blocks_score_v7,review_only
S17C12_BLOCKER_0001,external_submission_requires_human_opt_in,"Bloqueio preservado pelo orquestrador 17C12; requer acao humana, resposta real, politica ou QA futura antes de promocao.",true,true,true,true
S17C12_BLOCKER_0002,manual_submission_not_performed,"Bloqueio preservado pelo orquestrador 17C12; requer acao humana, resposta real, politica ou QA futura antes de promocao.",true,true,true,true
S17C12_BLOCKER_0003,responses_not_received,"Bloqueio preservado pelo orquestrador 17C12; requer acao humana, resposta real, politica ou QA futura antes de promocao.",false,true,true,true
S17C12_BLOCKER_0004,response_intake_not_executed,"Bloqueio preservado pelo orquestrador 17C12; requer acao humana, resposta real, politica ou QA futura antes de promocao.",false,true,true,true
S17C12_BLOCKER_0005,candidate_specific_artifacts_missing,"Bloqueio preservado pelo orquestrador 17C12; requer acao humana, resposta real, politica ou QA futura antes de promocao.",false,true,true,true
S17C12_BLOCKER_0006,candidate_patch_policy_missing,"Bloqueio preservado pelo orquestrador 17C12; requer acao humana, resposta real, politica ou QA futura antes de promocao.",false,true,true,true
S17C12_BLOCKER_0007,pipeline_adapters_missing,"Bloqueio preservado pelo orquestrador 17C12; requer acao humana, resposta real, politica ou QA futura antes de promocao.",false,true,true,true
S17C12_BLOCKER_0008,official_patch_id_dependency,"Bloqueio preservado pelo orquestrador 17C12; requer acao humana, resposta real, politica ou QA futura antes de promocao.",false,true,true,true
S17C12_BLOCKER_0009,sentinel2_tile_missing,"Bloqueio preservado pelo orquestrador 17C12; requer acao humana, resposta real, politica ou QA futura antes de promocao.",false,true,true,true
S17C12_BLOCKER_0010,embedding_tile_missing,"Bloqueio preservado pelo orquestrador 17C12; requer acao humana, resposta real, politica ou QA futura antes de promocao.",false,true,true,true
S17C12_BLOCKER_0011,sar_runtime_missing,"Bloqueio preservado pelo orquestrador 17C12; requer acao humana, resposta real, politica ou QA futura antes de promocao.",false,true,true,true
S17C12_BLOCKER_0012,qa_not_accepted,"Bloqueio preservado pelo orquestrador 17C12; requer acao humana, resposta real, politica ou QA futura antes de promocao.",false,true,true,true
S17C12_BLOCKER_0013,17b_blocked_until_real_features_and_policy,"Bloqueio preservado pelo orquestrador 17C12; requer acao humana, resposta real, politica ou QA futura antes de promocao.",false,true,true,true
