gate_id,turning_point_level,gate_name,required_condition,observed_value,gate_passed,severity,blocking_reason,recommended_action,notes
V2BA_GATE_25aff42c0226,TP1,TP1_PATCH_BOUNDARY_FILE_PRESENT,Real patch boundary file,false,false,BLOCKER,REAL_GEOMETRY_REQUIRED,Supply/validate real geometry or run controlled replay,Maximum permitted decision is C4_CANDIDATE_REQUIRES_HUMAN_REVIEW.
V2BA_GATE_a182dc940b06,TP1,TP1_PATCH_BOUNDARY_CRS_VALID,Accepted explicit patch CRS,false,false,BLOCKER,REAL_GEOMETRY_REQUIRED,Supply/validate real geometry or run controlled replay,Maximum permitted decision is C4_CANDIDATE_REQUIRES_HUMAN_REVIEW.
V2BA_GATE_0c82a9613f94,TP1,TP1_PATCH_BOUNDARY_GEOMETRY_VALID,Valid polygon/bbox patch boundary,false,false,BLOCKER,REAL_GEOMETRY_REQUIRED,Supply/validate real geometry or run controlled replay,Maximum permitted decision is C4_CANDIDATE_REQUIRES_HUMAN_REVIEW.
V2BA_GATE_0a1d7e22f7e6,TP2,TP2_EVENT_POLYGON_FILE_PRESENT,Real observed-event polygon file,false,false,BLOCKER,REAL_GEOMETRY_REQUIRED,Supply/validate real geometry or run controlled replay,Maximum permitted decision is C4_CANDIDATE_REQUIRES_HUMAN_REVIEW.
V2BA_GATE_e999e81563a8,TP2,TP2_EVENT_POLYGON_CRS_VALID,Accepted explicit event CRS,false,false,BLOCKER,REAL_GEOMETRY_REQUIRED,Supply/validate real geometry or run controlled replay,Maximum permitted decision is C4_CANDIDATE_REQUIRES_HUMAN_REVIEW.
V2BA_GATE_00b2848af415,TP2,TP2_EVENT_POLYGON_GEOMETRY_VALID,Valid observed-event polygon,false,false,BLOCKER,REAL_GEOMETRY_REQUIRED,Supply/validate real geometry or run controlled replay,Maximum permitted decision is C4_CANDIDATE_REQUIRES_HUMAN_REVIEW.
V2BA_GATE_1625d9372354,TP3,TP3_PATCH_EVENT_PAIR_LINKED,Patch and event linked to minimal package,false,false,BLOCKER,REAL_GEOMETRY_REQUIRED,Supply/validate real geometry or run controlled replay,Maximum permitted decision is C4_CANDIDATE_REQUIRES_HUMAN_REVIEW.
V2BA_GATE_9d43c592d6c8,TP3,TP3_PAIR_FEED_READY,Pair feed ready,false,false,BLOCKER,REAL_GEOMETRY_REQUIRED,Supply/validate real geometry or run controlled replay,Maximum permitted decision is C4_CANDIDATE_REQUIRES_HUMAN_REVIEW.
V2BA_GATE_f06b382dbfd1,TP4,TP4_REPLAY_READY,Pair available for v2az replay,false,false,BLOCKER,REAL_GEOMETRY_REQUIRED,Supply/validate real geometry or run controlled replay,Maximum permitted decision is C4_CANDIDATE_REQUIRES_HUMAN_REVIEW.
V2BA_GATE_07e23d4f20f3,TP4,TP4_OVERLAY_NOT_YET_CONFIRMED,Confirmed v2au overlay plus human review,false,false,BLOCKER,OVERLAY_REPLAY_AND_HUMAN_REVIEW_REQUIRED,Supply/validate real geometry or run controlled replay,Maximum permitted decision is C4_CANDIDATE_REQUIRES_HUMAN_REVIEW.
V2BA_GATE_4cc9ef58d787,GUARDRAIL,NO_LABEL_CREATED,No operational label,true,true,PASS,,Preserve guardrail,Maximum permitted decision is C4_CANDIDATE_REQUIRES_HUMAN_REVIEW.
V2BA_GATE_813a44a6002f,GUARDRAIL,NO_MODEL_TRAINED,No model training,true,true,PASS,,Preserve guardrail,Maximum permitted decision is C4_CANDIDATE_REQUIRES_HUMAN_REVIEW.
V2BA_GATE_ef0ac68a93ae,GUARDRAIL,NO_GEOMETRY_INVENTED,Only supplied files parsed,true,true,PASS,,Preserve guardrail,Maximum permitted decision is C4_CANDIDATE_REQUIRES_HUMAN_REVIEW.
