normalized_asset_id,canonical_patch_id,asset_id,region,asset_type,acquisition_date,cloud_cover,cloud_cover_required,cloud_cover_available,patch_asset_link_status,temporal_usability_status,is_clean_temporal_asset,source_files,applied_repair_fields,applied_repair_rules,applied_repair_confidences,rejected_repair_count,lineage_status,guardrail_status
758::unknown,758,unknown,Recife,unknown,unknown,missing,false,false,MISSING_OR_INVALID,BLOCKED_MISSING_ASSET_TYPE,false,local_runs/features/mv1_embedding_index.csv|outputs_public/tables/revp_evidence_packet_registry_v2ea.csv|outputs_public/tables/revp_patch_event_spatial_binding_v2ec.csv|outputs_public/tables/revp_patch_event_temporal_alignment_v2eb.csv,region,EXPLICIT_FIELD_NORMALIZATION,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
AGREGADO_CURITIBA::43_contract_assets,AGREGADO_CURITIBA,43_contract_assets,Curitiba,unknown,unknown,missing,false,false,LINKED,BLOCKED_MISSING_ASSET_TYPE,false,outputs_public/mv2_data_readiness/mv2_12_sentinel_native_raster_backlog.csv,patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST,HIGH_EXPLICIT_FIELD,1,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
AGREGADO_PETROPOLIS::48_contract_assets,AGREGADO_PETROPOLIS,48_contract_assets,Petropolis,unknown,unknown,missing,false,false,LINKED,BLOCKED_MISSING_ASSET_TYPE,false,outputs_public/mv2_data_readiness/mv2_12_sentinel_native_raster_backlog.csv,patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST,HIGH_EXPLICIT_FIELD,1,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
AGREGADO_RECIFE::37_contract_assets,AGREGADO_RECIFE,37_contract_assets,Recife,unknown,unknown,missing,false,false,LINKED,BLOCKED_MISSING_ASSET_TYPE,false,outputs_public/mv2_data_readiness/mv2_12_sentinel_native_raster_backlog.csv,patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST,HIGH_EXPLICIT_FIELD,1,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
ARP_v2az_0005::unknown,ARP_v2az_0005,unknown,Recife,unknown,unknown,missing,false,false,MISSING_OR_INVALID,BLOCKED_MISSING_ASSET_TYPE,false,local_runs/features/mv1_embedding_index.csv|outputs_public/tables/revp_evidence_packet_registry_v2ea.csv|outputs_public/tables/revp_external_patch_pairing_v2cr.csv|outputs_public/tables/revp_patch_event_replay_v2cm.csv|outputs_public/tables/revp_patch_event_spatial_binding_v2ec.csv|outputs_public/tables/revp_patch_event_temporal_alignment_v2eb.csv|outputs_public/tables/revp_tp2_patch_pair_candidates_v2ci.csv,region,EXPLICIT_FIELD_NORMALIZATION,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CH758_OLINDA_20220603_UNTITLED::unknown,CH758_OLINDA_20220603_UNTITLED,unknown,Olinda/PE,unknown,unknown,missing,false,false,MISSING_OR_INVALID,BLOCKED_MISSING_ASSET_TYPE,false,local_runs/features/mv1_embedding_index.csv|outputs_public/tables/revp_evidence_packet_registry_v2ea.csv|outputs_public/tables/revp_patch_event_spatial_binding_v2ec.csv|outputs_public/tables/revp_patch_event_temporal_alignment_v2eb.csv,region,EXPLICIT_FIELD_NORMALIZATION,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CH758_RECIFE_20220602_001::unknown,CH758_RECIFE_20220602_001,unknown,Recife,unknown,unknown,missing,false,false,MISSING_OR_INVALID,BLOCKED_MISSING_ASSET_TYPE,false,local_runs/features/mv1_embedding_index.csv|outputs_public/tables/revp_evidence_packet_registry_v2ea.csv|outputs_public/tables/revp_patch_event_spatial_binding_v2ec.csv|outputs_public/tables/revp_patch_event_temporal_alignment_v2eb.csv,region,EXPLICIT_FIELD_NORMALIZATION,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CTB_2022_01_15_16::unknown,CTB_2022_01_15_16,unknown,Curitiba,unknown,unknown,missing,false,false,MISSING_OR_INVALID,BLOCKED_MISSING_ASSET_TYPE,false,local_runs/features/mv1_embedding_index.csv,region,EXPLICIT_FIELD_NORMALIZATION,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CTB_2023_10_28_30::unknown,CTB_2023_10_28_30,unknown,Curitiba,unknown,unknown,missing,false,false,MISSING_OR_INVALID,BLOCKED_MISSING_ASSET_TYPE,false,local_runs/features/mv1_embedding_index.csv,region,EXPLICIT_FIELD_NORMALIZATION,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CTB_2024_02_18_20::unknown,CTB_2024_02_18_20,unknown,Curitiba,unknown,unknown,missing,false,false,MISSING_OR_INVALID,BLOCKED_MISSING_ASSET_TYPE,false,local_runs/features/mv1_embedding_index.csv,region,EXPLICIT_FIELD_NORMALIZATION,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
