id,fonte_tipo,nome_arquivo_necessario,instituicao,regiao,motivo_cientifico,gate_desbloqueado,serve_para,url_ou_portal,status_atual,baixavel,obs
EXT_001,Sentinel-2,GeoTIFFs Level-2A por patch — 128 recortes espectrais com bandas B02/B03/B04/B08/B11,ESA/Copernicus,Todas,Baseline espectral real (NDWI/NDVI/NDBI/stats por banda) e extração DINOv2 do canal espectral nativo,DIA_10 G1,baseline_espectral reprodutibilidade,https://scihub.copernicus.eu ou https://dataspace.copernicus.eu,LOCAL_ONLY_INACESSIVEL — arquivos físicos encontrados mas 0 legíveis como GeoTIFF espectral; PIL lê como PNG renderizado,nao,Requer exportação nova via GEE ou download Copernicus com scene ID auditável por patch
EXT_002,Sentinel-2,Scene ID / Product ID de geração de cada recorte (log GEE export),ESA/Copernicus via GEE,Todas,Fecha lineage asset→cena; destrava data de aquisição; permite cloud cover confirmado,DIA_02 DIA_03 G1,temporalidade lineage cloud_cover reprodutibilidade,GEE export log ou arquivo de metadados de exportação,AUSENTE — nenhum scene_id nos 128 assets do manifesto,nao,Requer recuperação do log original de exportação GEE; possível via histórico de tasks GEE da usuária
EXT_003,Sentinel-2,Cloud cover por recorte — fração de nuvem real por patch,ESA/Copernicus,Todas,Controla confound visual do encoder DINOv2; exigido por Trilha A,G2 DIA_03,cloud_cover temporalidade,Copernicus Hub / GEE asset metadata,AUSENTE — 162/164 patches sem cloud cover,sim_se_scene_id_disponivel,Derivável do GEE se o scene ID for recuperado
EXT_004,Copernicus_EMS,Mapa de satélite ativação Charter758 — polígono de inundação Recife mai/2022 (vetor ou GeoTIFF),Copernicus EMS,Recife,Única evidência observacional de área inundada que pode fechar geometria de evento REC_2022,G2 G3 DIA_18,evidencia_observacional geometria_evento,https://emergency.copernicus.eu/mapping/ems-product-component/EMSR601_AOI01_GRA_PRODUCT_r1_RTP01/1,BAIXADO PNG — vetor/SHP não disponível gratuitamente; raster PNG baixado em quarentena local,parcial,Vetor exige acesso premium Copernicus EMS; alternativa: digitalizar manualmente do raster PNG
EXT_005,Defesa_Civil,Pontos GPS de vistoria Defesa Civil Recife mai/2022 (CSV lat/lon ou shapefile),Defesa Civil Recife,Recife,400 pontos de vistoria existem mas conflitam com charter758 — precisam de revisão humana,G2 G3,geometria_evento evidencia_observacional,Secretaria de Defesa Civil de Recife (LAI ou email direto),PARCIALMENTE_PRESENTE — GeoJSON dos pontos existe em quarentena local mas is_reviewed=false; conflito espacial documentado em v2bs,parcial,Pontos existem localmente; requer revisão humana para validar qual geometria usar
EXT_006,CEMADEN,Série de alertas/relatórios por evento (Recife mai/2022 / Petrópolis fev/2022 / Curitiba jan/2022),CEMADEN,Todas,Confirmação temporal e de fenômeno por fonte independente,G4 G5,evidencia_documental fonte_independente,https://www.cemaden.gov.br/,BLOQUEADO — CEMADEN exige solicitação formal/LAI para dados históricos detalhados; cartas de solicitação criadas em v2bk,nao,Envia solicitação formal via LAI (Lei 12.527/2011); 30 dias de prazo legal
EXT_007,APAC,Dados pluviométricos e de alerta — eventos Recife 2022,APAC (PE),Recife,Fonte independente regional para janela temporal Recife,G4,evidencia_documental temporalidade,https://www.apac.pe.gov.br/,PDF informativo baixado (CONTEXT_ONLY); série por estação não disponibilizada publicamente,parcial,PDF em quarentena local; série requer contato direto com APAC
EXT_008,ANA_HidroWeb,Série histórica Capibaribe — estação 39187800 (Recife) — dados horários/diários por evento,ANA,Recife,Cota do Capibaribe durante eventos; prova hidrométrica independente,G4,evidencia_documental temporalidade,https://www.snirh.gov.br/hidroweb/,BAIXADO VAZIO — estação 39187800 sem dados 2022 no download realizado; HidroWeb pode ter dados por consulta diferente,parcial,Tentar download série tipo diário ou reenviar consulta com intervalo explícito
EXT_009,DRM_RJ,Mapeamento de cicatrizes/áreas atingidas Petrópolis fev/2022,DRM-RJ,Petrópolis,Evidência territorial formal de movimento de massa (cohort separado de flood),G2 G3,geometria_evento evidencia_observacional,http://www.drm.rj.gov.br/,AUSENTE — DRM-RJ não acessado; cohort Petrópolis = MASS_MOVEMENT separado de flood,nao,Contato DRM-RJ; atenção: massa ≠ inundação — coorte separado
EXT_010,CPRM_SGB,Vetor leve de suscetibilidade Recife — carta SGB recorte municipal,SGB/CPRM,Recife,Baseline territorial de vulnerabilidade espacial para análise label-free (não é evento),probe_externo,qa_espacial,https://rigeo.sgb.gov.br/,BLOQUEADO — SIG vetorial completo 1.8 GB; carta PDF disponível; recorte municipal ausente,parcial,Solicitar recorte GeoJSON/SHP do município ao SGB ou derivar do PDF via digitalização
