source_id,region,institution,source_name,priority,expected_geometry,expected_temporal_precision,url,url_is_direct_download,download_allowed,manual_search_required,expected_evidence_level,notes
S13ASRC_000,recife,Defesa Civil Recife (CODECIR),ocorrencias oficiais de alagamento com coordenada,high,point|csv|geojson,day|period,https://www2.recife.pe.gov.br/codecir,false,false,true,strong_observed_flood_point|moderate_official_occurrence_point,"prioridade para ocorrencia ocorrida, data e lat/lon; risco nao serve como evento observado"
S13ASRC_001,recife,APAC,alagamentos/inundacoes observados e bacias afetadas,high,polygon|bbox|csv,day|period,https://www.apac.pe.gov.br,false,false,true,strong_observed_flood_polygon|moderate_official_flood_bbox,buscar mancha/area efetivamente inundada; alerta hidrometeorologico sozinho nao serve
S13ASRC_002,recife,Prefeitura do Recife Dados Abertos,bases abertas de alagamento/ocorrencia,high,csv|geojson|shapefile_zip,day|period,http://dados.recife.pe.gov.br,false,false,true,strong_observed_flood_point|moderate_official_occurrence_point,preferir CSV/GeoJSON oficial com data e coordenadas
S13ASRC_003,recife,CPRM/SGB,relatorios tecnicos de inundacao/risco,medium,polygon|pdf|shapefile_zip,day|period|unknown,https://www.sgb.gov.br,false,false,true,moderate_official_flood_bbox|weak_risk_area_context,setor de risco nao e evento observado; footprint observado precisa estar explicito
S13ASRC_004,recife,S2iD Defesa Civil Nacional,registros oficiais de desastre,medium,point|csv|pdf,day|period,https://s2id.mi.gov.br,false,false,true,moderate_official_occurrence_point,registro municipal/federal ajuda temporalmente; precisa de geometria explicita para patch
S13ASRC_005,petropolis,CPRM/SGB,footprint ou relatorio tecnico 2022 Petropolis,high,polygon|bbox|pdf|shapefile_zip,day|period,https://www.sgb.gov.br,false,false,true,strong_observed_flood_polygon|moderate_official_flood_bbox,buscar area atingida em 2022; setor de risco isolado fica fraco
S13ASRC_006,petropolis,Defesa Civil Petropolis,ocorrencias oficiais 2022 com coordenada,high,point|csv|geojson,day|period,https://www.petropolis.rj.gov.br,false,false,true,strong_observed_flood_point|moderate_official_occurrence_point,precisa coordenada ou geometria e data do evento
S13ASRC_007,petropolis,Prefeitura de Petropolis,boletins e dados abertos de ocorrencias,medium,csv|pdf|geojson,day|period,https://www.petropolis.rj.gov.br,false,false,true,moderate_official_occurrence_point,boletim sem coordenada fica documental
S13ASRC_008,petropolis,INEA/RJ,mancha/area atingida por inundacao,high,polygon|geojson|shapefile_zip,day|period,https://www.inea.rj.gov.br,false,false,true,strong_observed_flood_polygon|moderate_official_flood_bbox,preferir vetor oficial com CRS e periodo
S13ASRC_009,petropolis,S2iD Defesa Civil Nacional,registros oficiais de desastre 2022,medium,point|csv|pdf,day|period,https://s2id.mi.gov.br,false,false,true,moderate_official_occurrence_point,registro sem geometria fica contexto documental
S13ASRC_010,curitiba,GeoCuritiba/IPPUC,ocorrencias/areas de alagamento georreferenciadas,high,geojson|shapefile_zip|csv,day|period|unknown,https://geocuritiba.ippuc.org.br,false,false,true,strong_observed_flood_polygon|moderate_official_occurrence_point,risco/suscetibilidade nao vira evento; buscar camada de ocorrencia
S13ASRC_011,curitiba,Defesa Civil Curitiba/PR,ocorrencias oficiais de alagamento com coordenada,high,point|csv|geojson,day|period,https://www.curitiba.pr.gov.br/defesacivil,false,false,true,strong_observed_flood_point|moderate_official_occurrence_point,precisa data e coordenada de ocorrencia
S13ASRC_012,curitiba,Prefeitura de Curitiba,dados abertos de alagamento/inundacao,high,csv|geojson|shapefile_zip,day|period,https://www.curitiba.pr.gov.br,false,false,true,strong_observed_flood_point|moderate_official_occurrence_point,preferir arquivo aberto direto com geometria
S13ASRC_013,curitiba,IAT/Aguas Parana,"mancha, bacia ou registro hidrologico",medium,polygon|csv|pdf|shapefile_zip,day|period|unknown,https://www.iat.pr.gov.br,false,false,true,moderate_official_flood_bbox,cota/estacao sem footprint fica administrativo
S13ASRC_014,curitiba,S2iD Defesa Civil Nacional,registros oficiais de desastre,medium,point|csv|pdf,day|period,https://s2id.mi.gov.br,false,false,true,moderate_official_occurrence_point,"ajuda como fonte oficial, mas exige geometria explicita para patch"
