risk_id,related_asset_id,related_patch_id,related_scene_id,severity,risk_type,evidence,mitigation,blocks_next_step
MV2_14_RISK_01,ALL,ALL,ALL,ALTA,RISK_SCENE_WITHOUT_PATCH,cenas com scene_id sem patch/asset,"10 cenas T23KPR sem patch do corpus; review_required, auto_join=false",true
MV2_14_RISK_02,ALL,ALL,ALL,ALTA,RISK_PATCH_WITHOUT_SCENE,128 bindings espaciais sem cena recuperada,128 bindings espaciais sem cena recuperada,true
MV2_14_RISK_03,ALL,ALL,ALL,CRITICA,RISK_TILE_AUTO_JOIN,unir cena a patch por tile/zona,Petropolis em CANDIDATE_REVIEW só por zona; auto_joins_performed=0,true
MV2_14_RISK_04,ALL,ALL,ALL,MEDIA,RISK_FILENAME_INFERENCE,inferir scene_id de filename fraco,candidatos textuais marcados confidence=LOW; nunca viram verdade,true
MV2_14_RISK_05,ALL,ALL,ALL,ALTA,RISK_FUTURE_DATETIME,datetime futuro aceito como válido,datas 2026-* descartadas como INVALID_FUTURE,true
MV2_14_RISK_06,ALL,ALL,ALL,ALTA,RISK_CITY_REGION_PROXY,"48 em CANDIDATE_REVIEW (hipótese região+zona, nunca vínculo)",região nunca estabelece lineage; no máximo CANDIDATE_REVIEW,true
MV2_14_RISK_07,ALL,ALL,ALL,MEDIA,RISK_CLOUD_COVER_MISSING,cloud_cover ausente,cloud_cover ausente nos 128 bindings do corpus,true
MV2_14_RISK_08,ALL,ALL,ALL,ALTA,RISK_EXPORT_PROVENANCE_MISSING,sem proveniência de export GEE,0 export task vinculado a patch do corpus,true
MV2_14_RISK_09,ALL,ALL,ALL,CRITICA,RISK_STAC_BEFORE_LINEAGE,STAC antes de fechar lineage,can_stac_dry_run=0; can_stac_real=0,true
MV2_14_RISK_10,ALL,ALL,ALL,CRITICA,RISK_DAY10_FALSE_UNLOCK,Dia 10 desbloqueado sem raster,can_unlock_day10_now=false em todos,true
MV2_14_RISK_11,ALL,ALL,ALL,CRITICA,RISK_RASTER_DOWNLOAD_WITHOUT_BINDING,baixar raster sem binding forte,0 binding forte; download bloqueado,true
MV2_14_RISK_12,ALL,ALL,ALL,ALTA,RISK_PNG_AS_RASTER,PNG/NPZ/render como raster nativo,has_native_raster=false sempre,true
MV2_14_RISK_13,ALL,ALL,ALL,CRITICA,RISK_UNKNOWN_AS_NEGATIVE,80 NOT_FOUND nunca viram negativo,80 NOT_FOUND nunca viram negativo,true
