question_id,region,candidate_event_name,target_gate,search_question,expected_answer_type,evidence_needed,acceptable_source_family,current_answer_status,blocking_if_unanswered,next_action,allowed_if_answered,forbidden_if_unanswered,notes
QST_REC_G1_01,RECIFE,"Inundação urbana Recife — maio/julho 2021",G1_EVENT_CONFIRMATION,"A COMPDEC Recife possui relatório de ocorrência de inundação urbana no período maio–julho de 2021 com data e localização confirmadas?",EVENT_CONFIRMATION,"Relatório ou comunicado oficial com data; localização do evento; tipo de fenômeno (inundação)","CIVIL_DEFENSE_RECORD;OFFICIAL_OBSERVED_FLOOD_MAP",UNANSWERED,true,"Preparar e enviar PKG_REC_COMPDEC_2021_2022 à COMPDEC Recife","Avaliação de alinhamento temporal (G3) e espacial (G4) com base em data e localização confirmadas","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL;FLOOD_DETECTION_SOLO;FLOOD_PREDICTION","Pergunta prioritária — nenhum gate subsequente pode ser fechado sem confirmação do evento."
QST_REC_G1_02,RECIFE,"Inundação urbana Recife — maio/julho 2021",G1_EVENT_CONFIRMATION,"O portal RIGeo do CPRM possui laudo pós-evento geológico para Recife/Pernambuco cobrindo eventos de 2021?",EVENT_CONFIRMATION,"Laudo CPRM com análise de evento; data e localização documentadas","OFFICIAL_OBSERVED_FLOOD_MAP;TECHNICAL_REPORT",UNANSWERED,false,"Acessar portal RIGeo CPRM e buscar por laudos de 2021 em Pernambuco","Corroboração independente (G8) e avaliação de força de fonte (G5)","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL","Corroboration source — complementa COMPDEC; não substitui confirmação primária."
QST_REC_G3_01,RECIFE,"Inundação urbana Recife — maio/julho 2021",G3_TEMPORAL_ALIGNMENT,"Existe imagem Sentinel-2 L2A com cobertura de nuvem aceitável sobre a área de Recife dentro de 14 dias do evento confirmado em 2021?",EVENT_DATE,"Metadados de imagem Sentinel-2 com data; porcentagem de cobertura de nuvem; tile identificado",SENTINEL_EVENT_IMAGE,UNANSWERED,true,"Acessar Copernicus Data Space e filtrar por tile de Recife no período mai–jul 2021; verificar cobertura de nuvem","Avaliação de alinhamento temporal entre evento e asset disponível","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL","Depende de QST_REC_G1_01 — data do evento deve ser confirmada antes de buscar asset temporal."
QST_REC_G4_01,RECIFE,"Inundação urbana Recife — maio/julho 2021",G4_SPATIAL_ALIGNMENT,"A COMPDEC Recife possui mapa ou polígono de área afetada pelo evento de 2021 com CRS documentado e cobertura sobre os patches do corpus REV-P?",SPATIAL_GEOMETRY,"Polígono ou shapefile de área afetada; CRS explícito; sobreposição com patches verificável",CIVIL_DEFENSE_RECORD,UNANSWERED,true,"Incluir solicitação de dado espacial no PKG_REC_COMPDEC_2021_2022; especificar formato e CRS na solicitação","Avaliação de sobreposição com patches por revisor humano; vínculo patch-evento pode ser avaliado","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL;FLOOD_DETECTION_SOLO","G4 requer revisão supervisora (G7) para confirmação de sobreposição — DINOv2 não fecha G4."
QST_REC_G6_01,RECIFE,"Inundação urbana Recife — maio/julho 2021",G6_UNCERTAINTY_AND_LIMITATIONS,"O produto GFM/CEMS para a área de Recife no período de 2021 inclui metadados de confiança ou documentação de incerteza?",UNCERTAINTY_DESCRIPTION,"Metadados do produto GFM com campos de confiança; documentação de limitações de detecção",OPERATIONAL_FLOOD_PRODUCT,UNANSWERED,false,"Verificar portal CEMS; analisar metadados do produto GFM se disponível","Uso do produto como contexto operacional com incerteza documentada (não como ground truth)","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION","Produto algorítmico não pode declarar ground truth sozinho — incerteza é condição para qualquer uso."
QST_REC_G7_01,RECIFE,"ALL_EVENTS",G7_REVIEW_GATE,"A evidência reunida para eventos de Recife pode ser organizada para revisão por pesquisador ou especialista em hidrologia/SIG urbano?",REVIEW_GATE_INPUT,"Conjunto de evidências documentadas prontas para revisão; revisor identificado; registro em review_gate_reference_registry.csv","CIVIL_DEFENSE_RECORD;OFFICIAL_OBSERVED_FLOOD_MAP",UNANSWERED,true,"Apenas após satisfação de G1–G6; organizar materiais para revisão","Avançar para corroboração independente (G8) e decisão de promoção (G9)","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL;FLOOD_DETECTION_SOLO","G7 é gate obrigatório para Recife. Nenhuma promoção sem revisão supervisora documentada."
QST_PET_G1_01,PETROPOLIS,"Evento Petrópolis — fevereiro 2022",G1_EVENT_CONFIRMATION,"O portal RIGeo do CPRM possui laudo pós-evento geológico para Petrópolis de fevereiro 2022 com separação entre inundação e deslizamento documentada?",EVENT_CONFIRMATION,"Laudo CPRM com análise do evento de fevereiro 2022; separação de processos documentada","OFFICIAL_OBSERVED_FLOOD_MAP;TECHNICAL_REPORT",PARTIAL,true,"Acessar portal RIGeo CPRM e buscar laudo de fevereiro 2022 em Petrópolis; verificar se laudo distingue inundação de deslizamento","Confirmação parcial do evento e avaliação de força de fonte (G5); separação de processo estabelecida","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL;FLOOD_DETECTION_SOLO","PARTIAL porque contexto nacional confirma evento mas laudo local ainda não foi acessado. Separação inundação-deslizamento é condição obrigatória."
QST_PET_G1_02,PETROPOLIS,"Evento Petrópolis — fevereiro 2022",G1_EVENT_CONFIRMATION,"A Defesa Civil Municipal de Petrópolis possui registros estruturados do evento de fevereiro 2022 distinguindo área de inundação de área de deslizamento?",EVENT_CONFIRMATION,"Relatório de ocorrência com data; localização; tipo de processo por área",CIVIL_DEFENSE_RECORD,UNANSWERED,true,"Preparar e enviar PKG_PET_DC_FEV2022 à Defesa Civil Petrópolis","Confirmação primária do evento com separação de processo; avaliação espacial (G4) com base em área de inundação","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL","Solicitar explicitamente distinção entre área de inundação e área de deslizamento — sem separação o evento não pode ser usado como referência para inundação."
QST_PET_G3_01,PETROPOLIS,"Evento Petrópolis — fevereiro 2022",G3_TEMPORAL_ALIGNMENT,"Existe imagem Sentinel-2 L2A com cobertura de nuvem aceitável sobre a área de Petrópolis dentro de 14 dias do evento de fevereiro 2022?",EVENT_DATE,"Metadados de imagem Sentinel-2 com data; cobertura de nuvem; tile identificado; avaliação de necessidade de SAR",SENTINEL_EVENT_IMAGE,UNANSWERED,true,"Consultar Copernicus Data Space; filtrar tile de Petrópolis em fevereiro 2022; verificar cobertura de nuvem; avaliar Sentinel-1 SAR como alternativa","Avaliação de alinhamento temporal entre evento e asset disponível","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL","Risco de cobertura de nuvem em fevereiro é significativo. SAR pode ser necessário mas não está em backlog atual — risco deve ser documentado."
QST_PET_G4_01,PETROPOLIS,"Evento Petrópolis — fevereiro 2022",G4_SPATIAL_ALIGNMENT,"Existe mapa ou polígono de área afetada por INUNDAÇÃO (excluindo deslizamento) em fevereiro 2022 em Petrópolis com CRS e cobertura sobre patches do corpus?",SPATIAL_GEOMETRY,"Polígono ou shapefile de área de inundação; CRS explícito; separação de área de deslizamento; sobreposição com patches verificável","CIVIL_DEFENSE_RECORD;OFFICIAL_OBSERVED_FLOOD_MAP",UNANSWERED,true,"Solicitar dado espacial separado por processo na PKG_PET_DC_FEV2022 e PKG_PET_CPRM_PORTAL","Vínculo patch-evento pode ser avaliado para área de inundação especificamente","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL;FLOOD_DETECTION_SOLO","G4 só pode ser fechado para área de inundação — área de deslizamento deve ser excluída. DINOv2 não fecha G4."
