stat_key,stat_value
source_dataset,"dataset_v12_final.csv (n=278, 154 pos/124 neg, full pool)"
n_joined_with_real_dino,109
n_pos_joined,58
n_neg_joined,51
minority_class_joined,51
n_patches_with_real_dino_embedding,23
model_a_features,"rain_decay_index_api_chirps,twi_dinf,slope_deg"
model_b_features,"rain_decay_index_api_chirps,twi_dinf,slope_deg,dino_pca1,dino_pca2"
dino_pca_components_used,2
epv_model_a,17.00
epv_model_b,10.20
epv_budget_rule,"min combo (phys_k in [6,3,2,1] pref. more phys, dino_k in [2,1] pref. more dino) s.t. minority/n_predictors>=10"
penalized_loglik_model_a,-59.3941
penalized_loglik_model_b,-54.0574
lrt_statistic,10.6734
lrt_df,2
lrt_p_value,0.0048
loo_auc_model_a,0.6734
loo_auc_model_b,0.6927
delta_loo_auc_descriptive_only,0.0193
n_unique_patches_with_dino_embedding_used,23
max_points_sharing_one_identical_dino_vector,10
dino_pseudoreplication_caveat,dino_pca1/2 are PER-PATCH not per-point; 109 points map to only 23 unique DINO vectors (up to 10 points share one identical vector) -- effective independent sample size for the DINO dimensions is closer to 23 than 109; physical features do not share this problem (computed per-point)
labels_created,0
used_as_training_feature,false
decision_basis,likelihood_ratio_test_not_delta_auc
decision,DINO_LRT_SIGNIFICANT_BUT_CONFOUNDED_BY_PATCH_LEVEL_PSEUDOREPLICATION
status,AB_TEST_READY_REVIEW_ONLY
