corpus_row_id,patch_id,region,source_file,source_row_index,embedding_id,model_name,declared_embedding_dim,declared_l2_normalized,observed_dim,observed_l2_norm,status,blocking_reason,is_region_medoid,cosine_to_region_medoid,nearest_medoid_region,cosine_to_nearest_medoid,nearest_medoid_matches_own_region,methodological_note
DGOV_V2FG_00001,PET_00291,PET,datasets/dino_petropolis_terrain_overlap_embeddings_v1qw.csv,0,V1QW_EMB_00001,dinov2-with-registers-base,768,true,768,0.99999992,VALID,,false,0.838457,CURITIBA,0.876446,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00002,PET_00396,PET,datasets/dino_petropolis_terrain_overlap_embeddings_v1qw.csv,1,V1QW_EMB_00002,dinov2-with-registers-base,768,true,768,1.00000006,VALID,,false,0.900609,PET,0.900609,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00003,PET_00397,PET,datasets/dino_petropolis_terrain_overlap_embeddings_v1qw.csv,2,V1QW_EMB_00003,dinov2-with-registers-base,768,true,768,0.9999999,VALID,,false,0.812079,RECIFE,0.838237,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00004,PET_00507,PET,datasets/dino_petropolis_terrain_overlap_embeddings_v1qw.csv,3,V1QW_EMB_00004,dinov2-with-registers-base,768,true,768,0.99999986,VALID,,false,0.650785,PET,0.650785,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00005,PET_00579,PET,datasets/dino_petropolis_terrain_overlap_embeddings_v1qw.csv,4,V1QW_EMB_00005,dinov2-with-registers-base,768,true,768,1.00000005,VALID,,false,0.699602,RECIFE,0.755075,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00006,PET_00614,PET,datasets/dino_petropolis_terrain_overlap_embeddings_v1qw.csv,5,V1QW_EMB_00006,dinov2-with-registers-base,768,true,768,1.00000011,VALID,,true,1.0,PET,1.0,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00007,PET_00615,PET,datasets/dino_petropolis_terrain_overlap_embeddings_v1qw.csv,6,V1QW_EMB_00007,dinov2-with-registers-base,768,true,768,0.99999996,VALID,,false,0.72357,PET,0.72357,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00008,PET_00649,PET,datasets/dino_petropolis_terrain_overlap_embeddings_v1qw.csv,7,V1QW_EMB_00008,dinov2-with-registers-base,768,true,768,0.99999999,VALID,,false,0.898101,PET,0.898101,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00009,PET_00720,PET,datasets/dino_petropolis_terrain_overlap_embeddings_v1qw.csv,8,V1QW_EMB_00009,dinov2-with-registers-base,768,true,768,1.00000006,VALID,,false,0.887829,PET,0.887829,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00010,PET_00756,PET,datasets/dino_petropolis_terrain_overlap_embeddings_v1qw.csv,9,V1QW_EMB_00010,dinov2-with-registers-base,768,true,768,1.00000001,VALID,,false,0.903713,PET,0.903713,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
