source_id,source_name,source_class,institution_type,country_scope,spatial_role,temporal_role,geometry_role,license_status,access_mode,expected_data_type,evidence_weight,can_open_candidate,can_promote_alone,notes
ANA_HIDROWEB,ANA HidroWeb hydrological series,official_hydromet,federal_agency,BR,station_point,primary_temporal,point_station,open_public,api_download,hydrological_timeseries,0.90,true,false,Very-high official temporal source; opens/reinforces a candidate but only promotes with spatial-temporal coherence.
ANA_TELEMETRY,ANA telemetry / real-time stage,official_hydromet,federal_agency,BR,station_point,primary_temporal,point_station,open_public,api_download,hydrological_timeseries,0.90,true,false,"Real-time stage telemetry; temporal anchor, never a flood-extent truth."
ATLAS_DIGITAL_DESASTRES,Atlas Digital de Desastres no Brasil,official_disaster_record,federal_agency,BR,municipality,secondary_temporal,municipality_polygon,open_public,portal_download,disaster_record,0.80,true,false,"Municipal disaster context; inventory level, not patch geometry."
CEMADEN_BULLETIN,Cemaden risk bulletins,official_hydromet,federal_agency,BR,municipality,secondary_temporal,none,open_public,document_download,risk_bulletin,0.90,true,false,"Official bulletin; supports temporal/context, not geometry truth."
CEMADEN_MONITORING,Cemaden monitoring / pluviometers,official_hydromet,federal_agency,BR,station_point,primary_temporal,point_station,open_public,api_download,precipitation_timeseries,0.90,true,false,Very-high official monitoring; temporal anchor only.
COPERNICUS_EMS_MAPPING,Copernicus EMS rapid mapping,operational_mapping,international_program,GLOBAL,event_extent,event_dated,polygon_flood_product,open_public,portal_download,flood_extent_product,0.75,true,false,High operational mapping; promotes only with local temporal/spatial coherence.
COPERNICUS_GFM,Copernicus Global Flood Monitoring,operational_mapping,international_program,GLOBAL,event_extent,event_dated,raster_flood,open_public,api_download,flood_extent_raster,0.75,true,false,High operational raster product; not a local label.
EMDAT_CONTEXT,EM-DAT international disaster database,context_low,international_db,GLOBAL,country,secondary_temporal,not_applicable,registration_required,portal_download,disaster_context,0.15,false,false,"Low context; never promotes alone, never a negative by absence."
FBDS_LANDUSE,FBDS land use / land cover,context_low,ngo_research,BR,territorial,static,polygon_landuse,open_public,portal_download,landuse_layer,0.15,false,false,Land-use context; never promotes alone.
INMET_HISTORICAL,INMET historical precipitation,official_hydromet,federal_agency,BR,station_point,primary_temporal,point_station,open_public,bulk_download,precipitation_timeseries,0.90,true,false,Very-high official temporal source; a station series is not a label.
INTERNATIONAL_CHARTER_PRODUCT,International Charter validated product,operational_mapping,international_program,GLOBAL,event_extent,event_dated,polygon_or_raster_product,licensed_attribution,portal_download,disaster_mapping_product,0.75,true,false,"High validated spatial product; reinforces geometry, does not replace the official temporal window."
INTERNATIONAL_CHARTER_QUICKVIEW,International Charter quickview,operational_mapping,international_program,GLOBAL,visual_support,event_dated,quickview_image_only,licensed_attribution,portal_download,quickview_image,0.75,false,false,A quickview is not a verified product; NEVER promotes alone.
MAPBIOMAS_LANDUSE,MapBiomas land use / land cover,context_low,ngo_research,BR,territorial,static,polygon_landuse,open_public,portal_download,landuse_layer,0.15,false,false,Land-use context; never promotes alone.
MEDIA_CONTEXT,Press / media reports,context_low,media,BR,none,secondary_temporal,not_applicable,public_web,manual_intake,narrative_context,0.15,false,false,"Low context; never strong evidence, never promotes alone."
MUNICIPAL_GEOINFO,Municipal geoinfo / terrain / drainage layers,official_geoinfo,municipal_agency,BR,territorial,static,polygon_or_raster_context,open_public,geoservice,municipal_gis,0.60,true,false,"Municipal territorial context (PE3D, drainage, infra); static, not an observed event."
PLANET_DISASTER_DATA,Planet Disaster Data VHR,vhr_optical,commercial_open,GLOBAL,visual_support,event_dated,vhr_imagery,open_for_response,portal_download,vhr_optical_imagery,0.70,true,false,"High visual VHR; geometry reinforcement, not temporal truth."
S2ID_DISASTER_RECORD,S2iD disaster records,official_disaster_record,federal_agency,BR,municipality,secondary_temporal,municipality_polygon,open_public,document_download,disaster_record,0.80,true,false,"Disaster inventory is not disaster geometry; opens a candidate, never promotes alone."
SEN1FLOODS11_BENCHMARK,Sen1Floods11 benchmark,methodological_benchmark,academic,GLOBAL,none,none,benchmark_mask,open_research,dataset_download,sar_flood_benchmark,0.40,false,false,Methodological benchmark only; NEVER becomes local truth.
SGB_RISK_CARTOGRAPHY,SGB/CPRM risk cartography & field surveys,official_geological,federal_agency,BR,territorial,secondary_temporal,polygon_cartographic,open_public,document_download,geological_cartography,0.88,true,false,"Very-high official geological cartography; field-survey points are event anchors, not patch overlays."
SGB_SUSCEPTIBILITY,SGB/CPRM susceptibility maps,official_geological,federal_agency,BR,territorial,static,polygon_susceptibility,open_public,geoservice,susceptibility_map,0.88,true,false,"Territorial susceptibility context; static, not an observed event."
SOCIAL_CONTEXT,Social media reports,context_low,social_media,BR,none,secondary_temporal,not_applicable,public_web,manual_intake,narrative_context,0.15,false,false,"Low context; never strong evidence, never promotes alone."
URBANSARFLOODS_BENCHMARK,UrbanSARFloods benchmark,methodological_benchmark,academic,GLOBAL,none,none,benchmark_mask,open_research,dataset_download,sar_flood_benchmark,0.40,false,false,Methodological benchmark only; NEVER becomes local truth.
VANTOR_OPEN_DATA,Vantor/Maxar Open Data VHR,vhr_optical,commercial_open,GLOBAL,visual_support,event_dated,vhr_imagery,open_for_response,portal_download,vhr_optical_imagery,0.70,true,false,"High visual VHR; reinforces geometry only, never replaces the official temporal window."
