day_id,day_label,planned_objective,real_status,status_reason,evidence_source,blocking_gate,blocking_data,blocking_script,blocking_schema,blocking_test,can_progress_without_data,allowed_next_programming_actions,forbidden_actions,scientific_risk,engineering_risk,priority
8,Dia 8,expandir embeddings para n>=59,PARTIAL,"DINOv2/visuais e subset limitado existem, mas vies regional segue alto",MV2-11_REGIONAL_REBALANCING:regional_representation_coverage.csv,GATE_DINOV2_REVIEW_ONLY,amostra e cobertura regional limitadas,,,,true,QUALITY_DASHBOARD;REPORTING;SCHEMA_HARDENING,STAC_REAL;RASTER_DOWNLOAD;PRIVATE_CROP;SPECTRAL_FEATURE_EXTRACTION;SUPERVISED_BASELINE;TRAINING;SILVER_PROMOTION;NEGATIVE_CREATION;SPLIT_TRAINABLE;SANDBOX_SUPERVISED,risco de exagerar validade estrutural,normalizar evidencias parciais,P1
9,Dia 9,QA embeddings,DONE,QA label-free existe como controle review-only; nao promove label,outputs_public/tables/revp_vizinhos_embeddings_label_free_mv1.csv,GATE_DINOV2_REVIEW_ONLY,,,,,true,TEST_HARDENING;QUALITY_DASHBOARD,STAC_REAL;RASTER_DOWNLOAD;PRIVATE_CROP;SPECTRAL_FEATURE_EXTRACTION;SUPERVISED_BASELINE;TRAINING;SILVER_PROMOTION;NEGATIVE_CREATION;SPLIT_TRAINABLE;SANDBOX_SUPERVISED,DINOv2 nao e evidencia operacional,consolidar testes globais,P2
10,Dia 10,baseline espectral simples,BLOCKED_DATA,"sem raster Sentinel nativo, lineage completo, STAC real, crop ou feature espectral",MV2-14_GEE_LINEAGE_RECOVERY:mv2_14_lineage_summary.json,GATE_DAY10_BLOCKED,native_raster=0;lineage_strong=0;stac_real=0,scripts/mv2_14_validate_gee_lineage_guardrails.py,datasets/schemas/schema_mv2_14_day10_post_lineage_gate.json,tests/test_mv2_14_gee_lineage_recovery.py,false,MANUAL_TEMPLATE_SUPPORT;REVIEW_QUEUE_TOOLING;REPORTING,STAC_REAL;RASTER_DOWNLOAD;PRIVATE_CROP;SPECTRAL_FEATURE_EXTRACTION;SUPERVISED_BASELINE;TRAINING;SILVER_PROMOTION;NEGATIVE_CREATION;SPLIT_TRAINABLE;SANDBOX_SUPERVISED,Dia 10 falso desbloqueio,criar simulador dry-run sem execucao real,P0
11,Dia 11,sanity check vizinhanca,DONE,sanity label-free e vizinhanca existem como analise review-only,outputs_public/tables/revp_vizinhos_embeddings_label_free_mv1.csv,GATE_DINOV2_REVIEW_ONLY,,,,,true,REPORTING;QUALITY_DASHBOARD,STAC_REAL;RASTER_DOWNLOAD;PRIVATE_CROP;SPECTRAL_FEATURE_EXTRACTION;SUPERVISED_BASELINE;TRAINING;SILVER_PROMOTION;NEGATIVE_CREATION;SPLIT_TRAINABLE;SANDBOX_SUPERVISED,vizinhanca nao vira verdade operacional,resumir achados em dashboard,P2
12,Dia 12,confounder de cidade,PARTIAL,confounder regional/cidade esta documentado e permanece risco alto,MV2-11_REGIONAL_REBALANCING:rebalanced_confounder_audit.csv,GATE_CITY_NOT_LABEL,cidade/regiao nao e label,,,,true,QUALITY_DASHBOARD;SCHEMA_HARDENING,STAC_REAL;RASTER_DOWNLOAD;PRIVATE_CROP;SPECTRAL_FEATURE_EXTRACTION;SUPERVISED_BASELINE;TRAINING;SILVER_PROMOTION;NEGATIVE_CREATION;SPLIT_TRAINABLE;SANDBOX_SUPERVISED,usar cidade como proxy de classe,criar checker de claims,P1
13,Dia 13,random baseline,DONE,baseline/controle metodologico existe como referencia nao treinavel,outputs_public/tables/revp_matriz_maturidade_metodologica_mv1.csv,GATE_NO_TRAINING,,,,,true,REPORTING;TEST_HARDENING,STAC_REAL;RASTER_DOWNLOAD;PRIVATE_CROP;SPECTRAL_FEATURE_EXTRACTION;SUPERVISED_BASELINE;TRAINING;SILVER_PROMOTION;NEGATIVE_CREATION;SPLIT_TRAINABLE;SANDBOX_SUPERVISED,baseline confundido com treinamento supervisionado,documentar limites,P2
14,Dia 14,relatorio label-free intermediario,DONE,pacote publico label-free existe e preserva semantica review-only,outputs_public/execution_reports/revp_fechamento_marco_validacao_label_free_evidencia_estrutural_mv1.md,GATE_DINOV2_REVIEW_ONLY,,,,,true,REPORTING;REPRODUCIBILITY_PACKAGE,STAC_REAL;RASTER_DOWNLOAD;PRIVATE_CROP;SPECTRAL_FEATURE_EXTRACTION;SUPERVISED_BASELINE;TRAINING;SILVER_PROMOTION;NEGATIVE_CREATION;SPLIT_TRAINABLE;SANDBOX_SUPERVISED,linguagem publica exagerada,gerar resumo executivo por fase,P1
15,Dia 15,politica de negativos,READY_REVIEW_ONLY,"politica existe, mas sem negativos formais criados",docs/metodologia_cientifica/revp_politica_evidencia_negativa_mv1.md,GATE_NO_NEGATIVES_FORMAL,formal_negatives=0,,,,true,DOCS_FAIL_CLOSED;MANIFEST_VALIDATION,STAC_REAL;RASTER_DOWNLOAD;PRIVATE_CROP;SPECTRAL_FEATURE_EXTRACTION;SUPERVISED_BASELINE;TRAINING;SILVER_PROMOTION;NEGATIVE_CREATION;SPLIT_TRAINABLE;SANDBOX_SUPERVISED,unknown como negativo,validador de claims negativos,P1
16,Dia 16,selecao inicial de negativos,BLOCKED_EVIDENCE,nao existem negativos formais; ausencia nao vira negativo,outputs_public/tables/revp_gates_readiness_treino_mv1.csv,GATE_NO_NEGATIVES_FORMAL,formal_negatives=0,,,,false,REVIEW_QUEUE_TOOLING;DOCS_FAIL_CLOSED,STAC_REAL;RASTER_DOWNLOAD;PRIVATE_CROP;SPECTRAL_FEATURE_EXTRACTION;SUPERVISED_BASELINE;TRAINING;SILVER_PROMOTION;NEGATIVE_CREATION;SPLIT_TRAINABLE;SANDBOX_SUPERVISED,criar negativo por inferencia,fila de revisao manual sem promocao,P0
17,Dia 17,adjudicacao,PARTIAL,"ha filas/revisoes candidatas, mas sem fechamento observacional patch-level",outputs_public/tables/revp_human_review_queue_v2ed.csv,GATE_UNKNOWN_NOT_NEGATIVE,sem fechamento observacional,,,,true,REVIEW_QUEUE_TOOLING;MANUAL_TEMPLATE_SUPPORT,STAC_REAL;RASTER_DOWNLOAD;PRIVATE_CROP;SPECTRAL_FEATURE_EXTRACTION;SUPERVISED_BASELINE;TRAINING;SILVER_PROMOTION;NEGATIVE_CREATION;SPLIT_TRAINABLE;SANDBOX_SUPERVISED,adjudicacao IA virar label,importador manual sem promocao automatica,P1
18,Dia 18,rodada de revisao,BLOCKED_EVIDENCE,sem evidencia manual/observacional suficiente para desbloqueio,outputs_public/tables/revp_dashboard_bloqueio_treino_ground_truth_mv1.csv,GATE_DAY18_BLOCKED,ground_truth_operacional_status=ausente,,,,false,REVIEW_QUEUE_TOOLING;REPORTING,STAC_REAL;RASTER_DOWNLOAD;PRIVATE_CROP;SPECTRAL_FEATURE_EXTRACTION;SUPERVISED_BASELINE;TRAINING;SILVER_PROMOTION;NEGATIVE_CREATION;SPLIT_TRAINABLE;SANDBOX_SUPERVISED,claim operacional indevido,validador de preenchimento manual,P0
19,Dia 19,silver set inicial,BLOCKED_EVIDENCE,silver formal permanece zero,outputs_public/tables/revp_gates_readiness_treino_mv1.csv,GATE_DAY19_BLOCKED,silver_formal=0,,,,false,DOCS_FAIL_CLOSED;MANIFEST_VALIDATION,STAC_REAL;RASTER_DOWNLOAD;PRIVATE_CROP;SPECTRAL_FEATURE_EXTRACTION;SUPERVISED_BASELINE;TRAINING;SILVER_PROMOTION;NEGATIVE_CREATION;SPLIT_TRAINABLE;SANDBOX_SUPERVISED,silver IA como silver formal,registry global de gates,P0
20,Dia 20,pacote reproduzivel externo,PARTIAL,"pacote leve existe, mas reproducibilidade externa ainda depende de dados ausentes",outputs_public/tables/revp_plano_pacote_externo_reprodutibilidade_mv1.csv,GATE_NO_DOWNLOAD,dados externos pesados ausentes,,,,true,REPRODUCIBILITY_PACKAGE;MANIFEST_VALIDATION;REPORTING,STAC_REAL;RASTER_DOWNLOAD;PRIVATE_CROP;SPECTRAL_FEATURE_EXTRACTION;SUPERVISED_BASELINE;TRAINING;SILVER_PROMOTION;NEGATIVE_CREATION;SPLIT_TRAINABLE;SANDBOX_SUPERVISED,pacote sugerir execucao operacional,pacote leve de terceiro,P1
21,Dia 21,splits espaciais,BLOCKED_METHOD,sem labels/silver/splits treinaveis,outputs_public/tables/revp_gates_readiness_treino_mv1.csv,GATE_DAY21_BLOCKED,labels=0;silver=0;can_train=false,,,,false,SCHEMA_HARDENING;TEST_HARDENING,STAC_REAL;RASTER_DOWNLOAD;PRIVATE_CROP;SPECTRAL_FEATURE_EXTRACTION;SUPERVISED_BASELINE;TRAINING;SILVER_PROMOTION;NEGATIVE_CREATION;SPLIT_TRAINABLE;SANDBOX_SUPERVISED,split treinavel sem label,NO_GO automatico para split,P0
22,Dia 22,sandbox supervisionado minimo,BLOCKED_GUARDRAIL,sandbox supervisionado proibido sem silver formal e split treinavel,outputs_public/tables/revp_dashboard_bloqueio_treino_ground_truth_mv1.csv,GATE_DAY22_BLOCKED,can_train=false;silver_formal=0,,,,false,CLI_ORCHESTRATION;TEST_HARDENING,STAC_REAL;RASTER_DOWNLOAD;PRIVATE_CROP;SPECTRAL_FEATURE_EXTRACTION;SUPERVISED_BASELINE;TRAINING;SILVER_PROMOTION;NEGATIVE_CREATION;SPLIT_TRAINABLE;SANDBOX_SUPERVISED,sandbox sem silver,NO_GO automatico para sandbox,P0
