bloqueador,categoria,status,impacto,artefato_que_comprova,acao_necessaria,prioridade,observacao
n_embeddings_12,amostra_label_free,ativo,limita inferência estatística final,outputs_public/metrics/revp_validacao_label_free_evidencia_estrutural_mv1.json,expandir embeddings para pelo menos 30 patches,alta,n=12 é piloto exploratório.
ausencia_multidata_temporal,temporal,ativo,bloqueia Trilha A,outputs_public/metrics/revp_auditoria_prontidao_temporal_assets_mv1.json,registrar múltiplas datas Sentinel por patch,alta,Zero patches elegíveis para deslocamento temporal.
cloud_cover_insuficiente,temporal,ativo,impede filtro temporal confiável,outputs_public/metrics/revp_auditoria_prontidao_temporal_assets_mv1.json,registrar cobertura de nuvem por asset,alta,Metadados de nuvem permanecem incompletos.
sem_ground_truth_patch_level,ground_truth,ativo,bloqueia qualquer amostra supervisionada,outputs_public/tables/revp_dashboard_bloqueio_treino_ground_truth_mv1.csv,"fechar evento, geometria, temporalidade e revisão",critica,Ground truth operacional ausente.
sem_positivos_formais,label,ativo,sem classe positiva formal,outputs_public/metrics/revp_protocolo_ground_truth_fail_closed_mv1.json,obter fonte independente e adjudicação,critica,Não há positivo ouro aprovado.
sem_negativos_formais,negativo,ativo,sem contraste negativo formal,docs/metodologia_cientifica/revp_politica_evidencia_negativa_mv1.md,obter evidência explícita de não inundação,critica,Unknown e ausência não viram negativo.
sem_revisao_humana,revisao,ativo,impede promoção de candidatos,outputs_public/tables/revp_fila_revisao_humana_candidatos_mv1.csv,executar revisão humana/adjudicação,critica,Fila futura não substitui decisão humana.
sem_overlay_patch_evento,espacial,ativo,bloqueia ligação patch-evento,outputs_public/tables/revp_indice_geometrias_externas_candidatas_navegacao_mv1.csv,validar overlay com CRS e geometria de evento,alta,Geometria contextual ainda não fecha evento.
geometrias_contextuais_nao_evento,espacial,ativo,impede uso direto como evento observado,outputs_public/tables/revp_indice_geometrias_externas_candidatas_navegacao_mv1.csv,separar contexto de evento observado,alta,"Limites, bacias e suscetibilidade são contexto."
cemaden_requer_solicitacao_formal,fonte_externa,ativo,dados não disponíveis por download direto,outputs_public/metrics/revp_navegacao_downloads_evidencias_externas_mv1.json,abrir solicitação formal,media,Acesso futuro depende de pedido externo.
apac_sem_download_estatico,fonte_externa,ativo,série não resolvida em arquivo estático,outputs_public/metrics/revp_navegacao_downloads_evidencias_externas_mv1.json,buscar canal oficial alternativo,media,Navegação real bloqueou download direto.
copernicus_sem_produto_vetorial_publico_petropolis,fonte_externa,ativo,não fecha vetor de evento para Petrópolis,outputs_public/metrics/revp_navegacao_downloads_evidencias_externas_mv1.json,solicitar ou localizar produto vetorial oficial,media,Produto público vetorial não foi obtido.
ana_inventario_sem_serie_estacao_filtrada,hidrologia,ativo,não fecha série por estação para evento,outputs_public/tables/revp_indice_arquivos_baixados_evidencias_externas_mv1.csv,filtrar HidroWeb por estação e período,media,Inventário PDF é contexto inicial.
sgb_pdf_contextual_sem_sig_vetorial_baixado,geologia,ativo,não fecha geometria vetorial de evento,outputs_public/tables/revp_indice_arquivos_baixados_evidencias_externas_mv1.csv,obter camada SIG vetorial quando existir,media,PDF de suscetibilidade é contexto.
risco_landslide_vs_flood,ontologia_evento,ativo,pode misturar fenômenos distintos,outputs_public/tables/revp_indice_eventos_externos_candidatos_navegacao_mv1.csv,adjudicar tipologia de evento,alta,Landslide e flood ficam separados.
risco_circularidade,anti_leakage,ativo,pode contaminar fonte de label e feature,docs/metodologia_cientifica/revp_politica_anti_leakage_mv1.md,criar matriz label-feature por item,alta,Fonte independente é gate obrigatório.
feature_table_multimodal_nao_liberada,feature_table,ativo,bloqueia engenharia supervisionada,outputs_public/tables/revp_gates_readiness_treino_mv1.csv,satisfazer G0-G8 antes de avaliar tabela,critica,Tabela antes dos gates criaria risco metodológico.
treino_supervisionado_bloqueado,treino,ativo,bloqueia baselines supervisionados,outputs_public/metrics/revp_protocolo_ground_truth_fail_closed_mv1.json,manter bloqueio até ground truth real,critica,G8 segue bloqueado.
