linkage_id,event_id,patch_id,region,event_date,event_type,evidence_level,spatial_relation,temporal_precision,distance_m,patch_score_v6,patch_score_class_v6,source_confidence,parse_confidence,linkage_confidence,observed_event_strength,can_be_used_for_observational_evaluation,can_be_ground_truth,allowed_for_training,review_only,requires_manual_review,interpretation,limitations
S13CLINK_00000,SUSC13CC_00000,REGION_LEVEL_NO_PATCH_RESOLUTION,recife,,unknown,documentary_only,insufficient_for_patch_link,unknown,,,,medium,low,very_weak,documentary_or_rejected,false,false,false,true,true,Contexto fraco/documental mantido sem resolucao por patch.,"Risco, alerta, administrativo ou documental nao e evento observado."
S13CLINK_00001,SUSC13CC_00001,REGION_LEVEL_NO_PATCH_RESOLUTION,recife,2022-05-24,urban_flooding,moderate_official_flood_bbox,same_region_period_context,period,,,,medium,medium,very_weak,moderate,false,false,false,true,true,Evento observado/moderado sem sobreposicao/proximidade de patch nesta matriz.,Associacao regional/periodo apenas; nao confirma patch.
S13CLINK_00002,SUSC13CC_00002,REGION_LEVEL_NO_PATCH_RESOLUTION,recife,2022-05-24,unknown,weak_risk_area_context,same_region_period_context,period,,,,medium,medium,very_weak,weak,false,false,false,true,true,Contexto fraco/documental mantido sem resolucao por patch.,"Risco, alerta, administrativo ou documental nao e evento observado."
S13CLINK_00003,SUSC13CC_00003,REGION_LEVEL_NO_PATCH_RESOLUTION,recife,,unknown,weak_risk_area_context,insufficient_for_patch_link,unknown,,,,medium,low,very_weak,weak,false,false,false,true,true,Contexto fraco/documental mantido sem resolucao por patch.,"Risco, alerta, administrativo ou documental nao e evento observado."
S13CLINK_00004,SUSC13CC_00006,petropolis_00291,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,1290.6,0.670423,high,medium,low,weak,moderate,true,false,false,true,true,1 ponto(s) rastreavel(is) no buffer aproximado (~550m) do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13CLINK_00005,SUSC13CC_00006,petropolis_00292,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,917.3,0.77154,high,medium,low,weak,moderate,true,false,false,true,true,2 ponto(s) rastreavel(is) no buffer aproximado (~550m) do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13CLINK_00006,SUSC13CC_00006,petropolis_00293,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,776.7,0.799382,high,medium,low,weak,moderate,true,false,false,true,true,2 ponto(s) rastreavel(is) no buffer aproximado (~550m) do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13CLINK_00007,SUSC13CC_00006,petropolis_00326,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,908.0,0.599725,medium,medium,low,weak,moderate,true,false,false,true,true,1 ponto(s) rastreavel(is) no buffer aproximado (~550m) do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13CLINK_00008,SUSC13CC_00006,petropolis_00361,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,1298.4,0.684073,high,medium,low,weak,moderate,true,false,false,true,true,1 ponto(s) rastreavel(is) no buffer aproximado (~550m) do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13CLINK_00009,SUSC13CC_00006,petropolis_00362,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,928.3,0.60653,medium,medium,low,weak,moderate,true,false,false,true,true,1 ponto(s) rastreavel(is) no buffer aproximado (~550m) do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13CLINK_00010,SUSC13CC_00006,petropolis_00467,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,628.4,0.794662,high,medium,low,weak,moderate,true,false,false,true,true,2 ponto(s) rastreavel(is) no buffer aproximado (~550m) do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13CLINK_00011,SUSC13CC_00010,REGION_LEVEL_NO_PATCH_RESOLUTION,recife,,unknown,weak_administrative_context,insufficient_for_patch_link,unknown,,,,medium,low,very_weak,weak,false,false,false,true,true,Contexto fraco/documental mantido sem resolucao por patch.,"Risco, alerta, administrativo ou documental nao e evento observado."
S13CLINK_00012,SUSC13CC_00012,REGION_LEVEL_NO_PATCH_RESOLUTION,petropolis,,unknown,weak_administrative_context,insufficient_for_patch_link,unknown,,,,medium,low,very_weak,weak,false,false,false,true,true,Contexto fraco/documental mantido sem resolucao por patch.,"Risco, alerta, administrativo ou documental nao e evento observado."
S13CLINK_00013,SUSC13CC_00013,REGION_LEVEL_NO_PATCH_RESOLUTION,unknown,,unknown,weak_risk_area_context,insufficient_for_patch_link,unknown,,,,low,low,very_weak,weak,false,false,false,true,true,Contexto fraco/documental mantido sem resolucao por patch.,"Risco, alerta, administrativo ou documental nao e evento observado."
S13CLINK_00014,SUSC13CC_00014,REGION_LEVEL_NO_PATCH_RESOLUTION,recife,,urban_flooding,documentary_only,insufficient_for_patch_link,unknown,,,,low,low,very_weak,documentary_or_rejected,false,false,false,true,true,Contexto fraco/documental mantido sem resolucao por patch.,"Risco, alerta, administrativo ou documental nao e evento observado."
